name,id,set,triads,propriety,lerdahl_instable_modes,unique_step_sizes,IC1,IC2,IC3,IC4,IC5,IC6,IV_sum,num_of_trichords,total_trichords,num_of_triads,consecutive_semitones,subset_of_diatonic,cardinality,step_mean_error,step_mean_error_cents,unevenness,binary_unevenness,subset_of_MOLT,num_of_transpositions,dissonance_min,dissonance_max,dissonance_med,dissonance_mean,violations,role_clarity,motive_strength,lev_penta,lev_dia,stackable_in_3rds,fully_scalar,imperfections,area,inverse_cardinal,prime_form,diatonic_parents,harmonicm_parents,melodicm_parents,unique_diads,total_diads,sameness_quotient,coherence_quotient,note2,note3,note4,note5,unique_n_chords,unique_n_chords_prime,diatonic_n_chords,diagnostic_interval_count,diagnostic_intervals,diagnostic_combinations,necklace_family,necklace_family_members,evenness_of_spread,step_similarity,constituent_similarity,roughness,cardinality_variety_ratio,mode_variance,differences,ambiguities,contradictions,virtual_cardinality,edo,fragment1_name,fragment2_name,step_mean_error_min,step_mean_error_max,runs,smallest_step,step_sizes,fragment1_EOS,fragment2_EOS,rahn_differences,rahn_contradictions,rahn_ambiguities,symmetry_norm,symmetry_distinct,symmetry_manifestations,symmetry_ratio,symmetry_distinct_edges,symmetry_distinct_triads,m2,P5,Mm3,normal,normal_name,normal_as_12edo,normal12_name,normal_as_24edo,normal24_name,tonal_entropy,tonal_conv_rate
31,0,0 1 2 3 4,0,improper,0,2,4,3,2,1,0,0,10,6,10,3,4,FALSE,5,2.24,224,6.8,2.3,1,12,0.30093744,0.623358594,0.329164126,0.407896012,2,0,6,4,5,FALSE,TRUE,5,0.180477662,31,1,0,0,0,4,10,0.5,0.4,1,2,3,4,15,15,15,1,4,7,8 1 1 1 1,1,0.027222222,0.626666667,0.416666667,0.407896012,1,280,20,0,15,9,12,S4-15,S8-1,0,5,2,100,"100,800",0,0,20,15,0,0.183333333,15,26,1.733333333,4,6,4,0,0,"0,1,2,3,4",31-Dec,"0,1,2,3,4",31-Dec,"0,2,4,6,8",24-341,1.765046595,0.799999924
47,1,0 1 2 3 5,0,improper,1,3,3,3,2,1,1,0,10,8,12,5,3,FALSE,5,1.84,184,6,2.033333333,1,12,0.269573378,0.532595706,0.269573378,0.358593969,4,0.4,6,3,4,FALSE,TRUE,4,0.296987167,61,1,0,0,0,5,13,0.2,0.16,1,2,3,5,19,19,21,3,"3,4,5",13,7 2 1 1 1,4,0.020555556,0.693333333,0.592592593,0.358593969,0.711111111,260,32,6,15,8,12,S5-15,S7-1,0,5,3,100,"100,200,700",0.003125,0,32,15,6,0.092105263,19,26,1.368421053,5,8,3,1,0,"0,1,2,3,5",Dec-47,"0,1,2,3,5",Dec-47,"0,2,4,6,10",24-1109,1.927667428,0.600005934
79,2,0 1 2 3 6,0,improper,1,3,3,2,2,1,1,1,10,9,10,5,3,FALSE,5,1.68,168,5.2,1.766666667,2,12,0.220458644,0.473497261,0.220458644,0.321778329,4,0.4,6,3,4,FALSE,FALSE,4,0.397887358,121,1,0,0,0,6,13,0.2,0.08,1,2,3,6,21,21,22,4,"3,4,5,6",15,6 3 1 1 1,4,0.016111111,0.72,0.703703704,0.321778329,0.679365079,240,32,3,20,8,12,S6-15,S6-1,0,5,3,100,"100,300,600",0.008680556,0,32,20,3,0.071428571,21,27,1.285714286,6,9,3,1,0,"0,1,2,3,6",Dec-79,"0,1,2,3,6",Dec-79,"0,2,4,6,12",24-4181,2.000223827,0.600007912
143,3,0 1 2 3 7,1,improper,2,3,3,2,1,1,2,1,10,9,10,5,3,FALSE,5,1.68,168,4.666666667,1.5,2,12,0.196036046,0.446085054,0.196036046,0.305834448,4,0.4,6,3,4,FALSE,FALSE,3,0.45614211,241,1,0,0,0,6,13,0.2,0.2,1,2,3,7,21,21,22,4,"3,4,5,6",15,5 4 1 1 1,4,0.013888889,0.72,0.740740741,0.305834448,0.679365079,220,32,3,17,8,12,S7-15,S5-1,0,5,3,100,"100,400,500",0.01434949,0,32,17,3,0.071428571,21,27,1.285714286,6,9,3,2,1,"0,1,2,3,7",12-143,"0,1,2,3,7",12-143,"0,2,4,6,14",24-16469,2.000223827,0.600007912
55,4,0 1 2 4 5,0,improper,0,3,3,2,2,2,1,0,10,9,10,4,2,FALSE,5,1.84,184,5.333333333,2,2,12,0.271936117,0.484552007,0.271936117,0.333120671,4,0.4,6,3,4,FALSE,TRUE,4,0.296987167,59,1,0,0,0,5,12,0.25,0.32,1,2,4,5,20,20,21,2,"2,5",14,7 2 1 1 1,4,0.017222222,0.693333333,0.592592593,0.333120671,0.711111111,240,30,2,15,8,12,S5-15,S7-1,0,5,4,100,"100,200,700",0.003125,0,30,15,2,0.075,20,26,1.3,5,9,3,1,0,"0,1,2,4,5",Dec-55,"0,1,2,4,5",Dec-55,"0,2,4,8,10",24-1301,1.972446049,0.600007912
87,5,0 1 2 4 6,0,improper,0,3,2,3,1,2,1,1,10,9,12,5,2,FALSE,5,1.44,144,4.533333333,1.633333333,3,12,0.223133459,0.420897081,0.223133459,0.296045351,6,1.2,6,2,3,FALSE,TRUE,4,0.434819391,117,1,0,0,0,6,14,0.1,0.16,1,2,4,6,21,21,23,4,"3,4,5,6",15,6 2 2 1 1,6,0.012222222,0.76,0.666666667,0.296045351,0.657142857,220,36,7,14,7,12,S6-23,S6-1,0,5,3,100,"100,200,600",0.003472222,0,36,14,7,0.071428571,21,27,1.285714286,6,9,2,1,0,"0,1,2,4,6",Dec-87,"0,1,2,4,6",Dec-87,"0,2,4,8,12",24-4373,2.000223827,0.600007912
151,6,0 1 2 4 7,1,improper,0,4,2,2,2,1,2,1,10,10,10,5,2,FALSE,5,1.28,128,4,1.366666667,2,12,0.185203215,0.3787629,0.185203215,0.269113639,6,0.8,6,2,3,FALSE,FALSE,3,0.535719582,233,1,0,0,0,6,17,0.05,0.2,1,2,4,7,22,22,25,5,"2,3,4,5,6",16,5 3 2 1 1,12,0.009444444,0.786666667,0.791666667,0.269113639,0.614814815,200,38,7,13,7,12,S7-23,S5-1,0,5,4,100,"100,200,300,500",0.006696429,0,38,13,7,0.056818182,22,27,1.227272727,6,10,2,2,1,"0,1,2,4,7",12-151,"0,1,2,4,7",12-151,"0,2,4,8,14",24-16661,2.045002448,2
279,7,0 1 2 4 8,1,improper,1,3,2,2,1,3,1,1,10,10,12,5,2,FALSE,5,1.28,128,3.866666667,1.233333333,3,12,0.170362189,0.359708364,0.170362189,0.261523824,6,0.8,6,3,4,FALSE,FALSE,4,0.572651615,285,1,0,0,0,6,16,0.1,0.2,1,2,4,8,22,22,24,4,"2,3,5,6",16,4 4 2 1 1,6,0.008888889,0.786666667,0.814814815,0.261523824,0.633333333,180,36,7,13,7,12,S4-7,S8-17,0,5,3,100,"100,200,400",0.00462963,0,36,13,7,0.079545455,22,29,1.318181818,6,10,2,1,1,"0,1,2,4,8",12-279,"0,1,2,4,8",12-279,"0,2,4,8,16",24-65813,2.00516475,0.600007487
103,8,0 1 2 5 6,0,improper,1,3,3,1,1,2,2,1,10,9,10,4,2,FALSE,5,1.68,168,3.866666667,1.7,3,12,0.222695971,0.398147391,0.222695971,0.2855104,4,1.2,6,3,3,FALSE,FALSE,3,0.397887358,115,1,0,0,0,6,11,0.25,0.32,1,2,5,6,21,21,21,3,"2,3,6",15,6 3 1 1 1,4,0.010555556,0.72,0.703703704,0.2855104,0.711111111,200,30,1,16,7,12,S6-15,S6-1,0,5,4,100,"100,300,600",0.008680556,0,30,16,1,0.071428571,21,27,1.285714286,6,9,3,2,0,"0,1,2,5,6",12-103,"0,1,2,5,6",12-103,"0,2,4,10,12",24-5141,2.000223827,0.600007912
167,9,0 1 2 5 7,0,improper,0,4,2,2,1,1,3,1,10,9,12,5,2,FALSE,5,1.28,128,3.333333333,1.333333333,2,12,0.182644847,0.349039355,0.182644847,0.25653528,6,0.8,6,2,4,FALSE,FALSE,2,0.535719582,229,1,0,0,0,6,16,0.05,0.28,1,2,5,7,21,21,24,5,"2,3,4,5,6",15,5 3 2 1 1,12,0.007222222,0.786666667,0.791666667,0.25653528,0.633333333,180,38,9,9,7,12,S7-29,S5-1,0,5,4,100,"100,200,300,500",0.006696429,0,38,9,9,0.071428571,21,27,1.285714286,6,9,2,3,0,"0,1,2,5,7",12-167,"0,1,2,5,7",12-167,"0,2,4,10,14",24-17429,2.000223827,0.600007912
295,10,0 1 2 5 8,2,improper,0,3,2,1,2,2,2,1,10,10,10,5,2,FALSE,5,1.12,112,3.2,1.1,3,12,0.153633036,0.314823101,0.153633036,0.23730409,6,0.8,6,2,3,FALSE,FALSE,3,0.615297053,457,1,0,0,0,6,13,0.1,0.44,1,2,5,8,22,22,23,4,"2,4,5,6",16,4 3 3 1 1,6,0.006111111,0.813333333,0.814814815,0.23730409,0.657142857,160,36,5,9,7,12,S5-7,S7-9,0,5,3,100,"100,300,400",0.011851852,0.00127551,36,9,5,0.056818182,22,27,1.227272727,6,10,2,2,2,"0,1,2,5,8",12-295,"0,1,2,5,8",12-295,"0,2,4,10,16",24-66581,2.045002448,2
199,11,0 1 2 6 7,0,improper,0,3,3,1,0,1,3,2,10,7,15,4,2,FALSE,5,1.68,168,2.933333333,1.4,4,12,0.197554039,0.357423107,0.197554039,0.266034503,4,0.8,6,3,3,FALSE,FALSE,2,0.45614211,227,1,0,0,0,5,15,0.25,0.52,1,2,6,7,18,18,21,2,"2,4",11,5 4 1 1 1,4,0.007222222,0.72,0.740740741,0.266034503,0.711111111,160,30,8,4,7,12,S7-15,S5-1,0,5,4,100,"100,400,500",0.01434949,0,30,4,8,0.152777778,18,29,1.611111111,5,7,3,3,0,"0,1,2,6,7",12-199,"0,1,2,6,7",12-199,"0,2,4,12,14",24-20501,1.831379085,0.799999445
327,12,0 1 2 6 8,0,improper,0,3,2,2,0,2,2,2,10,8,14,5,2,FALSE,5,1.28,128,2.8,1.166666667,5,12,0.163985747,0.313853619,0.163985747,0.243526621,6,1.2,6,2,3,FALSE,FALSE,3,0.572651615,327,1,0,0,0,5,14,0.2,0.6,1,2,6,8,19,19,22,1,2,10,4 4 2 1 1,6,0.005555556,0.786666667,0.814814815,0.243526621,0.688888889,140,32,6,4,7,12,S6-7,S6-5,0,5,4,100,"100,200,400",0.018518519,0.006944444,32,4,6,0.131578947,19,29,1.526315789,5,8,2,2,0,"0,1,2,6,8",12-327,"0,1,2,6,8",12-327,"0,2,4,12,16",24-69653,1.906113559,0.8
59,13,0 1 3 4 5,0,improper,0,3,3,2,2,2,1,0,10,9,10,4,2,FALSE,5,1.84,184,5.333333333,1.966666667,2,12,0.234586523,0.483766467,0.330839523,0.330962577,4,0,6,3,4,FALSE,TRUE,4,0.296987167,55,0,0,0,0,5,12,0.25,0.32,1,3,4,5,20,20,21,2,"2,5",14,7 2 1 1 1,4,0.017222222,0.693333333,0.592592593,0.330962577,0.711111111,240,30,2,15,8,12,S5-15,S7-1,0,5,4,100,"100,200,700",0.003125,0,30,15,2,0.075,20,26,1.3,5,9,3,1,0,"0,1,3,4,5",Dec-59,"0,1,3,4,5",Dec-59,"0,2,6,8,10",24-1349,1.972446049,0.600007912
91,14,0 1 3 4 6,0,improper,0,3,2,2,3,1,1,1,10,9,10,5,1,FALSE,5,1.44,144,4.533333333,1.7,2,12,0.209631074,0.405940755,0.271866057,0.28618756,6,1.2,6,3,3,FALSE,TRUE,4,0.434819391,109,1,0,1,1,6,11,0.25,0.4,1,3,4,6,21,21,21,3,"4,5,6",15,6 2 2 1 1,6,0.011666667,0.76,0.666666667,0.28618756,0.711111111,200,30,1,14,7,12,S6-27,S6-1,0,5,5,100,"100,200,600",0.001736111,0,30,14,1,0.071428571,21,27,1.285714286,6,9,2,1,0,"0,1,3,4,6",Dec-91,"0,1,3,4,6",Dec-91,"0,2,6,8,12",24-4421,2.000223827,0.600007912
155,15,0 1 3 4 7,2,improper,1,4,2,1,3,2,1,1,10,9,12,5,1,FALSE,5,1.28,128,3.733333333,1.433333333,3,12,0.18114812,0.355310305,0.224375684,0.253733227,6,0.8,6,3,4,FALSE,FALSE,4,0.535719582,217,1,0,0,0,6,14,0.1,0.28,1,3,4,7,21,21,23,4,"2,4,5,6",15,5 3 2 1 1,12,0.008333333,0.786666667,0.791666667,0.253733227,0.657142857,180,36,7,11,7,12,S7-27,S5-1,0,5,5,100,"100,200,300,500",0.004145408,0,36,11,7,0.071428571,21,27,1.285714286,6,9,2,1,2,"0,1,3,4,7",12-155,"0,1,3,4,7",12-155,"0,2,6,8,14",24-16709,2.000223827,0.600007912
283,16,0 1 3 4 8,2,improper,1,3,2,1,2,3,2,0,10,10,12,5,1,FALSE,5,1.28,128,3.6,1.3,2,12,0.169759231,0.332526207,0.20417575,0.243205121,6,1.2,6,2,3,TRUE,FALSE,3,0.572651615,283,1,0,1,1,5,13,0.2,0.32,1,3,4,8,21,21,22,1,2,15,4 4 2 1 1,6,0.007222222,0.786666667,0.814814815,0.243205121,0.688888889,160,32,4,13,7,12,S4-7,S8-17,0,5,4,100,"100,200,400",0.00462963,0,32,13,4,0.083333333,21,28,1.333333333,5,10,2,2,2,"0,1,3,4,8",12-283,"0,1,3,4,8",12-283,"0,2,6,8,16",24-65861,1.977386972,0.600007487
107,17,0 1 3 5 6,0,improper,1,3,2,2,2,1,2,1,10,10,10,5,1,TRUE,5,1.44,144,3.866666667,1.566666667,2,12,0.204992455,0.381070186,0.274463833,0.272781397,6,1.6,6,2,2,FALSE,TRUE,3,0.434819391,107,1,1,1,0,6,11,0.2,0.4,1,3,5,6,22,22,22,2,"4,6",16,6 2 2 1 1,6,0.009444444,0.76,0.666666667,0.272781397,0.688888889,180,32,1,14,7,12,S6-23,S6-1,0,5,4,100,"100,200,600",0.003472222,0,32,14,1,0.056818182,22,27,1.227272727,6,10,2,2,0,"0,1,3,5,6",12-107,"0,1,3,5,6",12-107,"0,2,6,10,12",24-5189,2.045002448,2
171,18,0 1 3 5 7,1,improper,1,3,1,3,1,2,2,1,10,9,10,5,1,TRUE,5,1.04,104,3.066666667,1.2,3,12,0.207256923,0.32346588,0.227285536,0.239195609,8,1.6,6,2,3,FALSE,TRUE,3,0.572651615,213,1,1,0,1,6,13,0.2,0.52,1,3,5,7,21,21,22,4,"1,3,5,6",15,5 2 2 2 1,4,0.005555556,0.826666667,0.740740741,0.239195609,0.679365079,160,32,3,9,6,12,S7-43,S5-1,0,5,3,100,"100,200,500",0.001594388,0,32,9,3,0.071428571,21,27,1.285714286,6,9,1,2,1,"0,1,3,5,7",12-171,"0,1,3,5,7",12-171,"0,2,6,10,14",24-17477,2.000223827,0.600007912
299,19,0 1 3 5 8,3,improper,0,4,1,2,2,2,3,0,10,9,10,5,1,TRUE,5,0.88,88,2.933333333,1.066666667,2,12,0.171993023,0.285520064,0.193577955,0.217593352,8,2,6,1,2,TRUE,FALSE,2,0.652229086,425,1,2,0,0,5,14,0.1,0.56,1,3,5,8,20,20,22,3,"1,3,4",14,4 3 2 2 1,12,0.003888889,0.853333333,0.833333333,0.217593352,0.679365079,140,36,8,3,6,12,S5-11,S7-9,0,5,4,100,"100,200,300,400",0.002962963,0.00127551,36,3,8,0.075,20,26,1.3,5,9,1,3,3,"0,1,3,5,8",12-299,"0,1,3,5,8",12-299,"0,2,6,10,16",24-66629,1.972446049,0.600007912
203,20,0 1 3 6 7,1,improper,1,4,2,1,2,1,2,2,10,8,14,5,1,FALSE,5,1.28,128,2.666666667,1.266666667,5,12,0.185000777,0.317678847,0.22746533,0.237166715,6,1.2,6,2,3,FALSE,FALSE,3,0.535719582,211,1,0,0,0,6,16,0.1,0.52,1,3,6,7,20,20,24,4,"2,3,4,5",12,5 3 2 1 1,12,0.005,0.786666667,0.791666667,0.237166715,0.633333333,140,36,8,4,6,12,S7-23,S5-1,0,5,5,100,"100,200,300,500",0.006696429,0,36,4,8,0.1125,20,29,1.45,6,8,2,2,1,"0,1,3,6,7",12-203,"0,1,3,6,7",12-203,"0,2,6,12,14",24-20549,1.961669115,0.8
331,21,0 1 3 6 8,1,improper,0,4,1,2,2,1,3,1,10,9,10,4,1,TRUE,5,0.88,88,2.533333333,1.033333333,2,12,0.160334959,0.270379797,0.191636869,0.212782471,8,2,6,1,2,FALSE,FALSE,2,0.652229086,421,1,1,1,1,6,13,0.2,0.8,1,3,6,8,21,21,22,4,"1,3,4,6",15,4 3 2 2 1,12,0.002777778,0.853333333,0.833333333,0.212782471,0.679365079,120,32,3,2,6,12,S6-11,S6-5,0,5,5,100,"100,200,300,400",0.00617284,0.006944444,32,2,3,0.071428571,21,27,1.285714286,6,9,1,3,1,"0,1,3,6,8",12-331,"0,1,3,6,8",12-331,"0,2,6,12,16",24-69701,2.000223827,0.600007912
587,22,0 1 3 6 9,1,proper,0,3,1,1,4,1,1,2,10,7,14,5,1,FALSE,5,0.72,72,2.533333333,0.8,5,12,0.137474173,0.241963294,0.173136044,0.203298551,8,2,6,2,3,TRUE,FALSE,4,0.694874525,589,1,0,2,0,6,16,0.2,0.6,1,3,6,9,19,19,21,4,"1,2,4,5",14,3 3 3 2 1,4,0.002777778,0.88,0.888888889,0.203298551,0.707142857,100,32,10,0,6,12,S6-11,S6-9,0,5,3,100,"100,200,300",0.00617284,0,32,0,10,0.157894737,19,31,1.631578947,6,7,1,1,1,"0,1,3,6,9",12-587,"0,1,3,6,9",12-587,"0,2,6,12,18",24-266309,1.850558004,0.8
