,0 2 4 5 6,0 1 2 4 8,0 1 2 5 8,0 1 2 3 6,0 2 5 6 7,0 1 2 3 5,0 1 2 4 6,0 2 5 6 8,0 3 4 6 8,0 2 3 6 8,0 1 2 5 7,0 1 3 5 6,0 1 3 6 9,0 1 2 3 7,0 1 2 6 8,0 1 2 6 7,0 1 3 5 7,0 1 3 4 6,0 1 4 6 8,0 2 3 5 6,0 2 4 6 7,0 1 5 6 7,0 1 2 4 7,0 2 5 6 9,0 3 5 6 7,0 1 4 6 9,0 1 2 4 5,0 2 3 4 6,0 4 5 6 7,0 1 4 5 8,0 2 3 4 8,0 3 4 5 8,0 2 3 4 7,0 2 3 4 5,0 3 4 6 7,0 1 4 5 7,0 2 4 5 8,0 1 4 5 6,0 1 4 7 8,0 1 3 4 5,0 2 4 6 9,0 2 4 7 8,0 2 3 6 9,0 1 3 6 7,0 2 4 6 8,0 3 4 5 7,0 1 2 5 6,0 1 4 6 7,0 2 3 5 8,0 1 3 4 8,0 3 6 7 8,0 3 4 5 6,0 1 2 3 4,0 1 3 6 8,0 1 5 6 8,0 3 5 6 8,0 1 3 4 7,0 2 5 7 8,0 2 3 6 7,0 3 4 7 8,0 3 5 7 8,0 2 3 5 7,0 2 3 7 8,0 1 3 5 8,0 2 4 5 7,0 2 4 7 9
0 2 4 5 6,0.0,-0.021256617541484488,-0.027848201113674836,-0.029155689392140235,-0.03296932446696836,-0.03315901308697214,-0.03642300199337589,-0.037866126360722605,-0.039165772393156495,-0.03917319660115566,-0.042609793292098616,-0.04331797056017109,-0.04403812337010718,-0.04433107851342352,-0.05001851179920214,-0.05992052332934364,-0.06210275223968961,-0.06846717000955116,-0.06852420398756484,-0.06878531737476648,-0.06964413386844151,-0.07062150587454236,-0.07257740430183765,-0.07308351177740599,-0.07340651347852781,-0.07373125177163342,-0.07530982155892851,-0.07937862462418804,-0.08024129360274448,-0.08580333485281091,-0.0865068184777526,-0.08728858022074099,-0.09381014713483327,-0.09421403220781538,-0.09423328948855605,-0.09556248960263222,-0.0962378007541772,-0.09630027602521055,-0.09743147696606502,-0.10023466868521017,-0.10106759630515288,-0.10130030147980851,-0.10131997720953143,-0.10486786528174732,-0.11404273966329834,-0.12205240865656913,-0.12341973209954199,-0.13074059653978237,-0.13260420273633602,-0.13458862489310916,-0.13748918485896952,-0.13961541498947594,-0.14151936322179828,-0.14385742790963574,-0.14886086081852648,-0.14893797897470448,-0.15019664218664974,-0.15346552073943007,-0.1656436765429978,-0.17498104382541152,-0.18435592351993912,-0.1924436923131181,-0.19643784719693902,-0.2569479680028137,-0.26561789823268334,-0.2711871294911088
0 1 2 4 8,0.021256617541484488,0.0,-0.006591583572190349,-0.007899071850655748,-0.011712706925483873,-0.011902395545487651,-0.015166384451891404,-0.016609508819238117,-0.017909154851672007,-0.017916579059671173,-0.02135317575061413,-0.0220613530186866,-0.022781505828622692,-0.023074460971939034,-0.02876189425771765,-0.03866390578785915,-0.040846134698205125,-0.04721055246806667,-0.047267586446080354,-0.04752869983328199,-0.04838751632695702,-0.04936488833305787,-0.05132078676035316,-0.0518268942359215,-0.05214989593704332,-0.052474634230148934,-0.054053204017444026,-0.058122007082703556,-0.05898467606126,-0.06454671731132643,-0.06525020093626811,-0.0660319626792565,-0.07255352959334878,-0.07295741466633089,-0.07297667194707157,-0.07430587206114773,-0.07498118321269272,-0.07504365848372606,-0.07617485942458053,-0.07897805114372568,-0.0798109787636684,-0.08004368393832402,-0.08006335966804694,-0.08361124774026284,-0.09278612212181385,-0.10079579111508465,-0.1021631145580575,-0.10948397899829788,-0.11134758519485154,-0.11333200735162467,-0.11623256731748503,-0.11835879744799145,-0.1202627456803138,-0.12260081036815125,-0.127604243277042,-0.12768136143322,-0.12894002464516524,-0.1322089031979456,-0.14438705900151333,-0.15372442628392702,-0.16309930597845462,-0.17118707477163358,-0.17518122965545452,-0.23569135046132922,-0.24436128069119883,-0.2499305119496243
0 1 2 5 8,0.027848201113674836,0.006591583572190349,0.0,-0.001307488278465399,-0.005121123353293525,-0.0053108119732973025,-0.008574800879701056,-0.010017925247047768,-0.011317571279481659,-0.011324995487480824,-0.01476159217842378,-0.015469769446496251,-0.016189922256432343,-0.016482877399748685,-0.0221703106855273,-0.0320723222156688,-0.034254551126014776,-0.04061896889587632,-0.040676002873890005,-0.040937116261091644,-0.041795932754766674,-0.04277330476086752,-0.044729203188162814,-0.045235310663731154,-0.04555831236485297,-0.045883050657958585,-0.04746162044525368,-0.05153042351051321,-0.05239309248906965,-0.05795513373913608,-0.058658617364077764,-0.05944037910706615,-0.06596194602115843,-0.06636583109414054,-0.06638508837488122,-0.06771428848895739,-0.06838959964050237,-0.06845207491153571,-0.06958327585239019,-0.07238646757153533,-0.07321939519147805,-0.07345210036613367,-0.07347177609585659,-0.07701966416807249,-0.0861945385496235,-0.0942042075428943,-0.09557153098586715,-0.10289239542610754,-0.10475600162266119,-0.10674042377943432,-0.10964098374529468,-0.1117672138758011,-0.11367116210812345,-0.1160092267959609,-0.12101265970485164,-0.12108977786102965,-0.1223484410729749,-0.12561731962575523,-0.13779547542932297,-0.14713284271173668,-0.1565077224062643,-0.16459549119944325,-0.16858964608326418,-0.22909976688913888,-0.2377696971190085,-0.24333892837743396
0 1 2 3 6,0.029155689392140235,0.007899071850655748,0.001307488278465399,0.0,-0.0038136350748281256,-0.004003323694831903,-0.0072673126012356565,-0.008710436968582369,-0.01001008300101626,-0.010017507209015425,-0.01345410389995838,-0.014162281168030852,-0.014882433977966944,-0.015175389121283286,-0.0208628224070619,-0.030764833937203404,-0.03294706284754938,-0.039311480617410924,-0.039368514595424606,-0.039629627982626245,-0.040488444476301275,-0.04146581648240212,-0.043421714909697415,-0.043927822385265755,-0.04425082408638757,-0.044575562379493186,-0.04615413216678828,-0.05022293523204781,-0.05108560421060425,-0.05664764546067068,-0.057351129085612365,-0.05813289082860075,-0.06465445774269303,-0.06505834281567514,-0.06507760009641582,-0.06640680021049199,-0.06708211136203697,-0.06714458663307031,-0.06827578757392479,-0.07107897929306993,-0.07191190691301265,-0.07214461208766827,-0.07216428781739119,-0.07571217588960709,-0.0848870502711581,-0.0928967192644289,-0.09426404270740175,-0.10158490714764214,-0.10344851334419579,-0.10543293550096892,-0.10833349546682929,-0.1104597255973357,-0.11236367382965805,-0.1147017385174955,-0.11970517142638624,-0.11978228958256425,-0.12104095279450951,-0.12430983134728983,-0.13648798715085758,-0.14582535443327127,-0.15520023412779888,-0.16328800292097784,-0.16728215780479877,-0.22779227861067347,-0.2364622088405431,-0.24203144009896854
0 2 5 6 7,0.03296932446696836,0.011712706925483873,0.005121123353293525,0.0038136350748281256,0.0,-0.00018968862000377784,-0.003453677526407531,-0.0048968018937542435,-0.006196447926188134,-0.006203872134187299,-0.009640468825130255,-0.010348646093202726,-0.011068798903138818,-0.01136175404645516,-0.017049187332233776,-0.026951198862375278,-0.02913342777272125,-0.0354978455425828,-0.03555487952059648,-0.03581599290779812,-0.03667480940147315,-0.037652181407573995,-0.03960807983486929,-0.04011418731043763,-0.040437189011559446,-0.04076192730466506,-0.04234049709196015,-0.04640930015721968,-0.047271969135776123,-0.05283401038584255,-0.05353749401078424,-0.054319255753772624,-0.060840822667864905,-0.06124470774084702,-0.061263965021587694,-0.06259316513566386,-0.06326847628720884,-0.06333095155824219,-0.06446215249909666,-0.0672653442182418,-0.06809827183818452,-0.06833097701284015,-0.06835065274256306,-0.07189854081477896,-0.08107341519632998,-0.08908308418960077,-0.09045040763257363,-0.09777127207281401,-0.09963487826936766,-0.1016193004261408,-0.10451986039200116,-0.10664609052250758,-0.10855003875482992,-0.11088810344266738,-0.11589153635155812,-0.11596865450773612,-0.11722731771968138,-0.1204961962724617,-0.13267435207602946,-0.14201171935844314,-0.15138659905297075,-0.1594743678461497,-0.16346852272997064,-0.22397864353584535,-0.23264857376571496,-0.23821780502414042
0 1 2 3 5,0.03315901308697214,0.011902395545487651,0.0053108119732973025,0.004003323694831903,0.00018968862000377784,0.0,-0.003263988906403753,-0.004707113273750466,-0.006006759306184356,-0.0060141835141835215,-0.009450780205126477,-0.010158957473198948,-0.01087911028313504,-0.011172065426451383,-0.016859498712229998,-0.0267615102423715,-0.028943739152717474,-0.03530815692257902,-0.0353651909005927,-0.03562630428779434,-0.03648512078146937,-0.03746249278757022,-0.03941839121486551,-0.03992449869043385,-0.04024750039155567,-0.04057223868466128,-0.042150808471956375,-0.046219611537215904,-0.047082280515772346,-0.052644321765838775,-0.05334780539078046,-0.05412956713376885,-0.06065113404786113,-0.06105501912084324,-0.061074276401583916,-0.06240347651566008,-0.06307878766720507,-0.06314126293823841,-0.06427246387909288,-0.06707565559823803,-0.06790858321818075,-0.06814128839283637,-0.06816096412255929,-0.07170885219477519,-0.0808837265763262,-0.088893395569597,-0.09026071901256985,-0.09758158345281023,-0.09944518964936389,-0.10142961180613702,-0.10433017177199738,-0.1064564019025038,-0.10836035013482614,-0.1106984148226636,-0.11570184773155434,-0.11577896588773234,-0.1170376290996776,-0.12030650765245793,-0.13248466345602566,-0.14182203073843938,-0.15119691043296699,-0.15928467922614595,-0.16327883410996688,-0.22378895491584158,-0.2324588851457112,-0.23802811640413665
0 1 2 4 6,0.03642300199337589,0.015166384451891404,0.008574800879701056,0.0072673126012356565,0.003453677526407531,0.003263988906403753,0.0,-0.0014431243673467126,-0.002742770399780603,-0.0027501946077797684,-0.006186791298722724,-0.006894968566795195,-0.0076151213767312875,-0.00790807652004763,-0.013595509805826245,-0.023497521335967747,-0.02567975024631372,-0.03204416801617527,-0.03210120199418895,-0.03236231538139059,-0.03322113187506562,-0.034198503881166464,-0.03615440230846176,-0.0366605097840301,-0.036983511485151915,-0.03730824977825753,-0.03888681956555262,-0.04295562263081215,-0.04381829160936859,-0.04938033285943502,-0.05008381648437671,-0.050865578227365094,-0.057387145141457374,-0.05779103021443949,-0.05781028749518016,-0.05913948760925633,-0.05981479876080131,-0.059877274031834654,-0.06100847497268913,-0.06381166669183427,-0.06464459431177699,-0.06487729948643262,-0.06489697521615553,-0.06844486328837143,-0.07761973766992245,-0.08562940666319324,-0.0869967301061661,-0.09431759454640648,-0.09618120074296013,-0.09816562289973327,-0.10106618286559363,-0.10319241299610005,-0.10509636122842239,-0.10743442591625985,-0.11243785882515059,-0.11251497698132859,-0.11377364019327385,-0.11704251874605417,-0.1292206745496219,-0.13855804183203563,-0.14793292152656323,-0.1560206903197422,-0.16001484520356313,-0.22052496600943783,-0.22919489623930744,-0.2347641274977329
0 2 5 6 8,0.037866126360722605,0.016609508819238117,0.010017925247047768,0.008710436968582369,0.0048968018937542435,0.004707113273750466,0.0014431243673467126,0.0,-0.0012996460324338904,-0.0013070702404330559,-0.004743666931376012,-0.005451844199448483,-0.006171997009384575,-0.006464952152700917,-0.012152385438479532,-0.022054396968621034,-0.024236625878967008,-0.030601043648828555,-0.030658077626842237,-0.030919191014043876,-0.031778007507718906,-0.03275537951381975,-0.034711277941115046,-0.035217385416683386,-0.0355403871178052,-0.03586512541091082,-0.03744369519820591,-0.04151249826346544,-0.04237516724202188,-0.04793720849208831,-0.048640692117029996,-0.04942245386001838,-0.05594402077411066,-0.056347905847092775,-0.05636716312783345,-0.05769636324190962,-0.0583716743934546,-0.05843414966448794,-0.05956535060534242,-0.06236854232448756,-0.06320146994443028,-0.0634341751190859,-0.06345385084880882,-0.06700173892102472,-0.07617661330257573,-0.08418628229584653,-0.08555360573881939,-0.09287447017905977,-0.09473807637561342,-0.09672249853238656,-0.09962305849824692,-0.10174928862875333,-0.10365323686107568,-0.10599130154891313,-0.11099473445780388,-0.11107185261398188,-0.11233051582592714,-0.11559939437870746,-0.1277775501822752,-0.1371149174646889,-0.1464897971592165,-0.15457756595239547,-0.1585717208362164,-0.2190818416420911,-0.22775177187196072,-0.23332100313038617
0 3 4 6 8,0.039165772393156495,0.017909154851672007,0.011317571279481659,0.01001008300101626,0.006196447926188134,0.006006759306184356,0.002742770399780603,0.0012996460324338904,0.0,-7.424207999165433e-06,-0.003444020898942121,-0.0041521981670145924,-0.0048723509769506845,-0.005165306120267027,-0.010852739406045642,-0.020754750936187144,-0.022936979846533118,-0.029301397616394664,-0.029358431594408346,-0.029619544981609985,-0.030478361475285015,-0.03145573348138586,-0.033411631908681155,-0.033917739384249496,-0.03424074108537131,-0.03456547937847693,-0.03614404916577202,-0.04021285223103155,-0.04107552120958799,-0.04663756245965442,-0.047341046084596106,-0.04812280782758449,-0.05464437474167677,-0.055048259814658884,-0.05506751709539956,-0.05639671720947573,-0.05707202836102071,-0.05713450363205405,-0.05826570457290853,-0.06106889629205367,-0.06190182391199639,-0.06213452908665201,-0.06215420481637493,-0.06570209288859083,-0.07487696727014184,-0.08288663626341264,-0.0842539597063855,-0.09157482414662588,-0.09343843034317953,-0.09542285249995267,-0.09832341246581303,-0.10044964259631944,-0.10235359082864179,-0.10469165551647924,-0.10969508842536999,-0.10977220658154799,-0.11103086979349325,-0.11429974834627357,-0.1264779041498413,-0.13581527143225502,-0.14519015112678263,-0.1532779199199616,-0.15727207480378252,-0.21778219560965723,-0.22645212583952684,-0.2320213570979523
0 2 3 6 8,0.03917319660115566,0.017916579059671173,0.011324995487480824,0.010017507209015425,0.006203872134187299,0.0060141835141835215,0.0027501946077797684,0.0013070702404330559,7.424207999165433e-06,0.0,-0.0034365966909429557,-0.004144773959015427,-0.004864926768951519,-0.0051578819122678615,-0.010845315198046476,-0.02074732672818798,-0.022929555638533952,-0.0292939734083955,-0.02935100738640918,-0.02961212077361082,-0.03047093726728585,-0.031448309273386696,-0.03340420770068199,-0.03391031517625033,-0.03423331687737215,-0.03455805517047776,-0.03613662495777285,-0.04020542802303238,-0.041068097001588824,-0.046630138251655254,-0.04733362187659694,-0.048115383619585325,-0.054636950533677606,-0.05504083560665972,-0.055060092887400394,-0.05638929300147656,-0.057064604153021545,-0.057127079424054886,-0.05825828036490936,-0.061061472084054505,-0.061894399703997224,-0.06212710487865285,-0.062146780608375765,-0.06569466868059166,-0.07486954306214268,-0.08287921205541347,-0.08424653549838633,-0.09156739993862671,-0.09343100613518036,-0.0954154282919535,-0.09831598825781386,-0.10044221838832028,-0.10234616662064262,-0.10468423130848008,-0.10968766421737082,-0.10976478237354882,-0.11102344558549408,-0.1142923241382744,-0.12647047994184213,-0.13580784722425587,-0.14518272691878348,-0.15327049571196244,-0.15726465059578337,-0.21777477140165807,-0.2264447016315277,-0.23201393288995315
