,subject,set,understood task,response,button_bias_Z,decoy_NN_count,decoy_NN_count_correct,decoy_binom,rt set,rt shifted,rt swapped,rt neither,key_r,I7_count,I5_count,I1_count,I11_count,rt shifted-swapped,rt shifted:swapped,# shifted,# swapped,# neither,# 1st button,# 2nd button,# neither button,# 1st button (task),# 2nd button (task),# neither button (task),# button presses (task),# trials,# button presses,# no_neither_trials,rate shifted,rate swapped,rate neither,rate pressed 1st,rate pressed 2nd,rate pressed neither,rate pressed 1st (task),rate pressed 2nd (task),rate pressed neither (task),rate_NN_shifted,rate_NN_swapped,rate shifted - rate swapped,rate shifted - rate swapped (NN),Unnamed: 0,subject_age,Did this strategy change throughout the task?,How did you listen to the task?,"If you have had musical training, how old were you during this period (i.e., age-range)?",What is your first language?,Did you notice any change in the music? Elaborate,Q15 - Parent Topics,Q15 - Topics,How did you arrive at this experiment?,What is your first language (if other)?,"Did you notice any particular changes in the music? In other words, did you base your discriminations on specific features of the melodies?",subject_gender,How did your strategy change throughout the task?,Would you consider yourself a musical person? (0-10),How many years of formal musical training do you have?,Do you play any instruments (with or without formal training)?,Which instruments do you play (if any)?,I understood the instructions of the task,I found the task difficult,What general strategy (if any) did you use to judge the similarity across the melodies?,RecordedDate,sona
0,SSS0002,0 2 4 7 9,True,BBBBBBBA,-1.7320508075688774,8,7,0.03515625,1619.7524999952875,1345.6650000009686,2660.3000000026077,1819.5974999982864,0.7708181447618913,1.75,2.9375,0.0,0.0,-1314.6350000016391,0.5058320490168964,7.0,1.0,8.0,1.0,7.0,8.0,1.0,7.0,8.0,16.0,16.0,16.0,8.0,0.4375,0.0625,0.5,0.0625,0.4375,0.5,0.0625,0.4375,0.5,0.875,0.125,0.375,0.75,2,19,No,Apple Airpods (earphones),9-17,Other (please specify below):,Tone,,,SONA for course credit,Portuguese,Yes,Female,,7.0,6-8,"Yes, but not so well",Piano,Strongly Agree,Agree,Tone,2020-09-28 19:14:58,39501
1,SSS0004,0 2 4 7 9,True,ABAAAAABABAAA,1.1741905314961962,13,9,0.1334228515625,893.804999999702,513.0700001027435,790.4824999859557,1790.1400001719594,0.7669670533505389,1.3333333333333333,3.0555555555555554,0.0,0.0,-277.41249988321215,0.6490592772286029,9.0,4.0,5.0,10.0,3.0,5.0,10.0,3.0,5.0,18.0,18.0,18.0,13.0,0.5,0.2222222222222222,0.2777777777777778,0.5555555555555556,0.16666666666666666,0.2777777777777778,0.5555555555555556,0.16666666666666666,0.2777777777777778,0.6923076923076923,0.3076923076923077,0.2777777777777778,0.3846153846153846,4,19,No,in-ear,12 I think,Other (please specify below):,"major, minor",,Unknown,SONA for course credit,Chinese,No,Female,,6.0,4-5,"Yes, I do alright",piano,Strongly Agree,Strongly Agree,"pitch changes, patterns",2020-09-28 19:03:24,39632
2,SSS0005,0 2 4 7 9,True,BAAABBABBABAABA,0.8256518824103988,15,13,0.003692626953125,1324.7099999862257,1311.4049999858253,1316.4099999994505,2528.4000000101514,0.8001035979667027,1.625,2.5625,0.0,0.0,-5.005000013625249,0.9961979930161368,13.0,2.0,1.0,8.0,7.0,1.0,8.0,7.0,1.0,16.0,16.0,16.0,15.0,0.8125,0.125,0.0625,0.5,0.4375,0.0625,0.5,0.4375,0.0625,0.8666666666666667,0.13333333333333333,0.6875,0.7333333333333334,5,18,Yes,I used in-ear headphones (airpods),from the age of 8 to 16,English,"yes - sometimes there were notes which stood out, or in some cases it felt more cut off at the end",,Unknown,SONA for course credit,,,Female,,10.0,6-8,"Yes, I do alright","violin, piano",Strongly Agree,Strongly Agree,"I tried to remember patterns and higher notes which stood out. Sometimes the test melody brought images to my mind or made me feel a certain emotion, so I tried to see if I saw the same images or felt the same way when I listened to Option 1 and Option 2. I went between these two strategies throughout the study, but I do not know if a specific block affected that. However, sometimes the notes were closer together or more repetitive, which made it more difficult to judge the similarities.",2020-09-16 13:31:19,39476
3,SSS0006,0 2 4 7 9,True,BABBBABBABAABABAAB,1.5318220762345198,18,17,7.2479248046875e-05,381.4149999525398,372.77500005438924,989.9150000419468,980.354999890551,0.8247738940896,1.5263157894736843,2.0,0.0,0.0,-617.1399999875575,0.37657273608198,17.0,1.0,1.0,8.0,10.0,1.0,8.0,10.0,1.0,19.0,19.0,19.0,18.0,0.8947368421052632,0.05263157894736842,0.05263157894736842,0.42105263157894735,0.5263157894736842,0.05263157894736842,0.42105263157894735,0.5263157894736842,0.05263157894736842,0.9444444444444444,0.05555555555555555,0.8421052631578947,0.8888888888888888,6,18,No,"Headphones, in-ear, Airpods",14-17,6,I based my discriminations on the rhythm and the notes played.,,Unknown,SONA for course credit,,,Female,,7.0,2-3,"Yes, I do alright",Clarinet,Agree,Disagree,I try to look for differences in the notes played or the rhythm of the melody based on my hearing.,2020-09-16 13:31:44,39740
4,SSS0007,0 2 4 7 9,True,BABABABBAAABABBBB,0.9144599137184255,17,14,0.0063629150390625,948.2400000561029,1044.9250000528991,783.40999991633,0.0,0.7994159329650535,1.1764705882352942,2.9411764705882355,0.0,0.0,261.51500013656914,1.3338162650010845,14.0,3.0,0.0,7.0,10.0,0.0,7.0,10.0,0.0,17.0,17.0,17.0,17.0,0.8235294117647058,0.17647058823529413,0.0,0.4117647058823529,0.5882352941176471,0.0,0.4117647058823529,0.5882352941176471,0.0,0.8235294117647058,0.17647058823529413,0.6470588235294117,0.6470588235294117,7,19,No,in ear headphones,12-15,Spanish,pitch of the note ,,Unknown,SONA for course credit,Korean,No,Female,around block 4 is when I memorized the beginning and ending of the test melody to compare to the optional melodies ,2.0,2-3,No,Drum,Strongly Agree,Disagree,I look for at least one melody differences,2020-09-28 19:16:23,39756
5,SSS0008,0 2 4 7 9,True,ABABBAABBBAAABBAA,-0.23662840251096373,17,15,0.0011749267578125,422.6100000087172,419.47500000242144,420.1625000569038,801.6499999212101,0.7915621168966465,1.6111111111111112,3.111111111111111,0.0,0.0,-0.6875000544823706,0.9983637281899521,15.0,2.0,1.0,9.0,8.0,1.0,9.0,8.0,1.0,18.0,18.0,18.0,17.0,0.8333333333333334,0.1111111111111111,0.05555555555555555,0.5,0.4444444444444444,0.05555555555555555,0.5,0.4444444444444444,0.05555555555555555,0.8823529411764706,0.11764705882352941,0.7222222222222223,0.7647058823529411,8,19,No,Bose Headphones sound proof,When in high school I was in a wind orchestra (15-19) and now I am studying Music Business.,Spanish,,,,SONA for course credit,,No,Female,,7.0,4-5,"Yes, I do alright","Clarinet, piano, voice",Strongly Agree,Agree,Repeat it in my head or sing it,2020-09-18 18:57:25,40014
6,SSS0009,0 2 4 7 9,True,AAABAAAABAAAAAB,0.17521916101261575,15,6,0.84912109375,777.9649998992682,329.6174999559298,895.020000054501,0.0,0.7923331272644625,2.2666666666666666,2.2666666666666666,0.0,0.0,-565.4025000985712,0.36827947971649594,6.0,9.0,0.0,12.0,3.0,0.0,12.0,3.0,0.0,15.0,15.0,15.0,15.0,0.4,0.6,0.0,0.8,0.2,0.0,0.8,0.2,0.0,0.4,0.6,-0.19999999999999996,-0.19999999999999996,9,18,No,airpods,14-18,Other (please specify below):,higher or lower notes,,Unknown,SONA for course credit,Chinese,Yes,Female,,7.0,4-5,"Yes, I do alright",piano,Strongly Agree,Agree,listen to the middle sections,2020-09-18 19:46:42,39729
7,SSS0010,0 2 4 7 9,True,ABABBABABB,1.5453665891097952,10,5,0.623046875,1160.6075000315905,1051.9700000304729,4346.184999973513,927.6625000350177,0.7991037108212106,1.5,2.857142857142857,0.0,0.0,-3294.2149999430403,0.2420444596897932,5.0,5.0,4.0,4.0,6.0,4.0,4.0,6.0,4.0,14.0,14.0,14.0,10.0,0.35714285714285715,0.35714285714285715,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.5,0.5,0.0,0.0,10,20,No,in ear earphones,,English,,,,SONA for course credit,,No,Female,,4.0,2-3,No,,Agree,Strongly Agree,int0nations and pitch.,2020-10-19 01:24:30,39556
8,SSS0011,0 2 4 7 9,True,BABABAAAAABBABABABB,1.1962674870701449,19,10,0.5,1265.3400000426918,1370.5325000341982,1002.4850000040606,0.0,0.7774378578434981,1.6842105263157894,3.0,0.0,0.0,368.0475000301376,1.3671351691333504,10.0,9.0,0.0,10.0,9.0,0.0,10.0,9.0,0.0,19.0,19.0,19.0,19.0,0.5263157894736842,0.47368421052631576,0.0,0.5263157894736842,0.47368421052631576,0.0,0.5263157894736842,0.47368421052631576,0.0,0.5263157894736842,0.47368421052631576,0.05263157894736842,0.05263157894736842,11,21,No,air pods ,8-13,English,,,,SONA for course credit,,No,Female,,8.0,2-3,"Yes, I do alright",DRUMS,Agree,Strongly Agree,high vs low ,2020-09-23 15:43:41,37276
9,SSS0012,0 2 4 7 9,True,ABABAAABABBA,1.3533392381794225,12,8,0.19384765625,376.34249999793246,324.54749999847263,622.0825000000186,555.7224999992177,0.7971977344928399,1.5714285714285714,3.0,0.0,0.0,-297.535000001546,0.5217113485726779,8.0,4.0,2.0,7.0,5.0,2.0,7.0,5.0,2.0,14.0,14.0,14.0,12.0,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.5,0.35714285714285715,0.14285714285714285,0.5,0.35714285714285715,0.14285714285714285,0.6666666666666666,0.3333333333333333,0.2857142857142857,0.3333333333333333,12,21,Yes,in ear Apple wired headphones,7-11,Spanish,"It's hard to put into words, but sometimes the melodies just felt different. It was very clear when there was a shift from the test melody",,Unknown,SONA for course credit,Chinese,Yes,Male,Sometimes neither option deviated that far away from the test melody. This made it harder to determine which one was a lot different from the test,4.0,0,No,electronic piano,Strongly Agree,Disagree,I compared the test to the first option. If it sounded really different I knew it was my option,2020-09-28 19:40:50,38684
