,index,rt,stimulus,key_press,name_x,trial_type,trial_index,time_elapsed,internal_node_id,response,certainty,char,set,transposition,order,shift_amount,shift_position,probe_pitches,shifted_pitches,swapped_pitches,shift_direction,question_num,has_decoy,subject,sona_x,block,time,malformed,option_1,option_2,chose,Unnamed: 0,subject_age,Did this strategy change throughout the task?,How did you listen to the task?,"If you have had musical training, how old were you during this period (i.e., age-range)?",What is your first language?,Did you notice any change in the music? Elaborate,Q15 - Parent Topics,Q15 - Topics,How did you arrive at this experiment?,What is your first language (if other)?,"Did you notice any particular changes in the music? In other words, did you base your discriminations on specific features of the melodies?",subject_gender,How did your strategy change throughout the task?,Would you consider yourself a musical person? (0-10),How many years of formal musical training do you have?,Do you play any instruments (with or without formal training)?,Which instruments do you play (if any)?,I understood the instructions of the task,I found the task difficult,What general strategy (if any) did you use to judge the similarity across the melodies?,RecordedDate,sona_y,understood task,I7_count,I5_count,I1_count,I11_count,name_y,id,triads,propriety,lerdahl_instable_modes,unique_step_sizes,IC1,IC2,IC3,IC4,IC5,IC6,IV_sum,num_of_trichords,total_trichords,num_of_triads,consecutive_semitones,subset_of_diatonic,cardinality,step_mean_error,step_mean_error_cents,unevenness,binary_unevenness,subset_of_MOLT,num_of_transpositions,dissonance_min,dissonance_max,dissonance_med,dissonance_mean,violations,role_clarity,motive_strength,lev_penta,lev_dia,stackable_in_3rds,fully_scalar,imperfections,area,inverse_cardinal,prime_form,diatonic_parents,harmonicm_parents,melodicm_parents,unique_diads,total_diads,sameness_quotient,coherence_quotient,note2,note3,note4,note5,unique_n_chords,unique_n_chords_prime,diatonic_n_chords,diagnostic_interval_count,diagnostic_intervals,diagnostic_combinations,necklace_family,necklace_family_members,evenness_of_spread,step_similarity,constituent_similarity,roughness,cardinality_variety_ratio,mode_variance,differences,ambiguities,contradictions,virtual_cardinality,edo,fragment1_name,fragment2_name,step_mean_error_min,step_mean_error_max,runs,smallest_step,step_sizes,fragment1_EOS,fragment2_EOS,rahn_differences,rahn_contradictions,rahn_ambiguities,symmetry_norm,symmetry_distinct,symmetry_manifestations,symmetry_ratio,symmetry_distinct_edges,symmetry_distinct_triads,m2,P5,Mm3,normal,normal_name,normal_as_12edo,normal12_name,normal_as_24edo,normal24_name,tonal_entropy,key_r,section
0,327,1596.2699999799952,"[A] option 1, [L] option 2, [G] neither",76,choice,html-keyboard-response,87,179083,0.0-87.0,2nd,high,L,0 1 4 6 9,-3,"['swapped', 'shifted']",1,7,3 -3 -2 1 -3 6 3 1 9 1 -2 9,3 -3 -2 1 -3 6 3 2 9 1 -2 9,3 -3 -2 1 -3 3 6 1 9 1 -2 9,up,71,False,SSS0005,39476,3,2020-09-16 16:51:03.698000+00:00,,swapped,shifted,shifted,5,18,Yes,I used in-ear headphones (airpods),from the age of 8 to 16,English,"yes - sometimes there were notes which stood out, or in some cases it felt more cut off at the end",,Unknown,SONA for course credit,,,Female,,10.0,6-8,"Yes, I do alright","violin, piano",Strongly Agree,Strongly Agree,"I tried to remember patterns and higher notes which stood out. Sometimes the test melody brought images to my mind or made me feel a certain emotion, so I tried to see if I saw the same images or felt the same way when I listened to Option 1 and Option 2. I went between these two strategies throughout the study, but I do not know if a specific block affected that. However, sometimes the notes were closer together or more repetitive, which made it more difficult to judge the similarities.",2020-09-16 13:31:19,39476,True,0,0,1,1,595,28,3,proper,0,3,1,1,3,2,2,1,10,9,10,4,1,False,5,0.72,72,2.266666667,0.9,3,12,0.136788727,0.221214934,0.214908105,0.194973657,8,1.6,6,1,3,False,False,3,0.694874525,613,1,0,1,0,6,11,0.25,0.96,1,4,6,9,21,21,21,3,"1,2,6",15,3 3 3 2 1,4,0.001666667,0.88,0.888888889,0.194973657,0.711111111,80,30,1,0,5,12,S6-13,S6-9,0,5,4,100,"100,200,300",0.00617284,0.0,30,0,1,0.071428571,21,27,1.285714286,6,9,1,2,3,"0,1,4,6,9",12-595,"0,1,4,6,9",12-595,"0,2,8,12,18",24-266501,2.000223827,0.48285944951690124,0.0
1,377,1068.3000000426546,"[A] option 1, [L] option 2, [G] neither",65,choice,html-keyboard-response,197,396837,0.0-197.0,1st,high,A,0 2 4 5 6,-1,"['shifted', 'swapped']",-1,7,1 -1 5 4 5 3 4 -1 5 4 -1 4,1 -1 5 4 5 3 4 -2 5 4 -1 4,1 -1 5 4 5 4 3 -1 5 4 -1 4,down,171,False,SSS0005,39476,5,2020-09-16 17:07:03.179000+00:00,,shifted,swapped,shifted,5,18,Yes,I used in-ear headphones (airpods),from the age of 8 to 16,English,"yes - sometimes there were notes which stood out, or in some cases it felt more cut off at the end",,Unknown,SONA for course credit,,,Female,,10.0,6-8,"Yes, I do alright","violin, piano",Strongly Agree,Strongly Agree,"I tried to remember patterns and higher notes which stood out. Sometimes the test melody brought images to my mind or made me feel a certain emotion, so I tried to see if I saw the same images or felt the same way when I listened to Option 1 and Option 2. I went between these two strategies throughout the study, but I do not know if a specific block affected that. However, sometimes the notes were closer together or more repetitive, which made it more difficult to judge the similarities.",2020-09-16 13:31:19,39476,True,0,3,4,0,117,43,0,improper,1,3,2,3,1,2,1,1,10,9,12,5,2,False,5,1.44,144,4.533333333,1.566666667,3,12,0.18600656,0.416308076,0.290885485,0.289611233,6,0.4,6,2,3,False,True,4,0.434819391,87,0,0,0,0,6,14,0.1,0.16,2,4,5,6,21,21,23,4,"3,4,5,6",15,6 2 2 1 1,6,0.012222222,0.76,0.666666667,0.289611233,0.657142857,220,36,7,14,7,12,S6-23,S6-1,0,5,3,100,"100,200,600",0.003472222,0.0,36,14,7,0.071428571,21,27,1.285714286,6,9,2,1,0,"0,2,4,5,6",12-117,"0,2,4,5,6",12-117,"0,4,8,10,12",24-5393,2.000223827,0.5789280355387452,0.0
2,376,917.3350000055507,"[A] option 1, [L] option 2, [G] neither",65,choice,html-keyboard-response,186,376380,0.0-186.0,1st,high,A,0 2 4 5 6,2,"['swapped', 'shifted']",1,6,2 4 2 7 6 2 8 6 2 6 2 6,2 4 2 7 6 2 9 6 2 6 2 6,2 4 2 7 6 8 2 6 2 6 2 6,up,161,False,SSS0005,39476,5,2020-09-16 17:07:03.179000+00:00,,swapped,shifted,swapped,5,18,Yes,I used in-ear headphones (airpods),from the age of 8 to 16,English,"yes - sometimes there were notes which stood out, or in some cases it felt more cut off at the end",,Unknown,SONA for course credit,,,Female,,10.0,6-8,"Yes, I do alright","violin, piano",Strongly Agree,Strongly Agree,"I tried to remember patterns and higher notes which stood out. Sometimes the test melody brought images to my mind or made me feel a certain emotion, so I tried to see if I saw the same images or felt the same way when I listened to Option 1 and Option 2. I went between these two strategies throughout the study, but I do not know if a specific block affected that. However, sometimes the notes were closer together or more repetitive, which made it more difficult to judge the similarities.",2020-09-16 13:31:19,39476,True,0,1,1,0,117,43,0,improper,1,3,2,3,1,2,1,1,10,9,12,5,2,False,5,1.44,144,4.533333333,1.566666667,3,12,0.18600656,0.416308076,0.290885485,0.289611233,6,0.4,6,2,3,False,True,4,0.434819391,87,0,0,0,0,6,14,0.1,0.16,2,4,5,6,21,21,23,4,"3,4,5,6",15,6 2 2 1 1,6,0.012222222,0.76,0.666666667,0.289611233,0.657142857,220,36,7,14,7,12,S6-23,S6-1,0,5,3,100,"100,200,600",0.003472222,0.0,36,14,7,0.071428571,21,27,1.285714286,6,9,2,1,0,"0,2,4,5,6",12-117,"0,2,4,5,6",12-117,"0,4,8,10,12",24-5393,2.000223827,0.7098313777150932,0.0
3,375,1508.9000000152737,"[A] option 1, [L] option 2, [G] neither",76,choice,html-keyboard-response,175,355605,0.0-175.0,2nd,high,L,0 2 4 5 6,0,"['swapped', 'shifted']",-1,7,12 6 5 6 2 5 12 0 4 6 0 12,12 6 5 6 2 5 12 -1 4 6 0 12,12 6 5 6 2 12 5 0 4 6 0 12,down,151,False,SSS0005,39476,5,2020-09-16 17:07:03.179000+00:00,,swapped,shifted,shifted,5,18,Yes,I used in-ear headphones (airpods),from the age of 8 to 16,English,"yes - sometimes there were notes which stood out, or in some cases it felt more cut off at the end",,Unknown,SONA for course credit,,,Female,,10.0,6-8,"Yes, I do alright","violin, piano",Strongly Agree,Strongly Agree,"I tried to remember patterns and higher notes which stood out. Sometimes the test melody brought images to my mind or made me feel a certain emotion, so I tried to see if I saw the same images or felt the same way when I listened to Option 1 and Option 2. I went between these two strategies throughout the study, but I do not know if a specific block affected that. However, sometimes the notes were closer together or more repetitive, which made it more difficult to judge the similarities.",2020-09-16 13:31:19,39476,True,1,0,2,0,117,43,0,improper,1,3,2,3,1,2,1,1,10,9,12,5,2,False,5,1.44,144,4.533333333,1.566666667,3,12,0.18600656,0.416308076,0.290885485,0.289611233,6,0.4,6,2,3,False,True,4,0.434819391,87,0,0,0,0,6,14,0.1,0.16,2,4,5,6,21,21,23,4,"3,4,5,6",15,6 2 2 1 1,6,0.012222222,0.76,0.666666667,0.289611233,0.657142857,220,36,7,14,7,12,S6-23,S6-1,0,5,3,100,"100,200,600",0.003472222,0.0,36,14,7,0.071428571,21,27,1.285714286,6,9,2,1,0,"0,2,4,5,6",12-117,"0,2,4,5,6",12-117,"0,4,8,10,12",24-5393,2.000223827,0.5856512771648771,0.0
4,371,1718.894999998156,"[A] option 1, [L] option 2, [G] neither",65,choice,html-keyboard-response,131,270624,0.0-131.0,1st,high,A,0 2 4 5 6,3,"['shifted', 'swapped']",-1,6,7 8 3 5 7 8 3 7 3 7 15 5,7 8 3 5 7 8 2 7 3 7 15 5,7 8 3 5 7 3 8 7 3 7 15 5,down,111,False,SSS0005,39476,5,2020-09-16 17:07:03.179000+00:00,probe doesn't include all set's notes.,shifted,swapped,shifted,5,18,Yes,I used in-ear headphones (airpods),from the age of 8 to 16,English,"yes - sometimes there were notes which stood out, or in some cases it felt more cut off at the end",,Unknown,SONA for course credit,,,Female,,10.0,6-8,"Yes, I do alright","violin, piano",Strongly Agree,Strongly Agree,"I tried to remember patterns and higher notes which stood out. Sometimes the test melody brought images to my mind or made me feel a certain emotion, so I tried to see if I saw the same images or felt the same way when I listened to Option 1 and Option 2. I went between these two strategies throughout the study, but I do not know if a specific block affected that. However, sometimes the notes were closer together or more repetitive, which made it more difficult to judge the similarities.",2020-09-16 13:31:19,39476,True,0,2,2,0,117,43,0,improper,1,3,2,3,1,2,1,1,10,9,12,5,2,False,5,1.44,144,4.533333333,1.566666667,3,12,0.18600656,0.416308076,0.290885485,0.289611233,6,0.4,6,2,3,False,True,4,0.434819391,87,0,0,0,0,6,14,0.1,0.16,2,4,5,6,21,21,23,4,"3,4,5,6",15,6 2 2 1 1,6,0.012222222,0.76,0.666666667,0.289611233,0.657142857,220,36,7,14,7,12,S6-23,S6-1,0,5,3,100,"100,200,600",0.003472222,0.0,36,14,7,0.071428571,21,27,1.285714286,6,9,2,1,0,"0,2,4,5,6",12-117,"0,2,4,5,6",12-117,"0,4,8,10,12",24-5393,2.000223827,0.7026951533534331,0.0
5,365,946.799999976065,"[A] option 1, [L] option 2, [G] neither",76,choice,html-keyboard-response,65,135811,0.0-65.0,2nd,high,L,0 2 4 5 6,-3,"['shifted', 'swapped']",1,7,3 -3 -1 2 3 2 -1 -3 9 3 -3 3,3 -3 -1 2 3 2 -1 -2 9 3 -3 3,3 -3 -1 2 3 -1 2 -3 9 3 -3 3,up,51,False,SSS0005,39476,5,2020-09-16 17:07:03.179000+00:00,probe doesn't include all set's notes.,shifted,swapped,swapped,5,18,Yes,I used in-ear headphones (airpods),from the age of 8 to 16,English,"yes - sometimes there were notes which stood out, or in some cases it felt more cut off at the end",,Unknown,SONA for course credit,,,Female,,10.0,6-8,"Yes, I do alright","violin, piano",Strongly Agree,Strongly Agree,"I tried to remember patterns and higher notes which stood out. Sometimes the test melody brought images to my mind or made me feel a certain emotion, so I tried to see if I saw the same images or felt the same way when I listened to Option 1 and Option 2. I went between these two strategies throughout the study, but I do not know if a specific block affected that. However, sometimes the notes were closer together or more repetitive, which made it more difficult to judge the similarities.",2020-09-16 13:31:19,39476,True,0,0,2,0,117,43,0,improper,1,3,2,3,1,2,1,1,10,9,12,5,2,False,5,1.44,144,4.533333333,1.566666667,3,12,0.18600656,0.416308076,0.290885485,0.289611233,6,0.4,6,2,3,False,True,4,0.434819391,87,0,0,0,0,6,14,0.1,0.16,2,4,5,6,21,21,23,4,"3,4,5,6",15,6 2 2 1 1,6,0.012222222,0.76,0.666666667,0.289611233,0.657142857,220,36,7,14,7,12,S6-23,S6-1,0,5,3,100,"100,200,600",0.003472222,0.0,36,14,7,0.071428571,21,27,1.285714286,6,9,2,1,0,"0,2,4,5,6",12-117,"0,2,4,5,6",12-117,"0,4,8,10,12",24-5393,2.000223827,0.3813643641125269,0.0
6,364,2023.9049999509007,"[A] option 1, [L] option 2, [G] neither",71,choice,html-keyboard-response,54,115464,0.0-54.0,neither,high,G,0 2 4 5 6,0,"['shifted', 'swapped']",-1,6,12 6 12 5 6 4 0 5 12 5 2 6,12 6 12 5 6 4 -1 5 12 5 2 6,12 6 12 5 6 0 4 5 12 5 2 6,down,41,False,SSS0005,39476,5,2020-09-16 17:07:03.179000+00:00,,shifted,swapped,neither,5,18,Yes,I used in-ear headphones (airpods),from the age of 8 to 16,English,"yes - sometimes there were notes which stood out, or in some cases it felt more cut off at the end",,Unknown,SONA for course credit,,,Female,,10.0,6-8,"Yes, I do alright","violin, piano",Strongly Agree,Strongly Agree,"I tried to remember patterns and higher notes which stood out. Sometimes the test melody brought images to my mind or made me feel a certain emotion, so I tried to see if I saw the same images or felt the same way when I listened to Option 1 and Option 2. I went between these two strategies throughout the study, but I do not know if a specific block affected that. However, sometimes the notes were closer together or more repetitive, which made it more difficult to judge the similarities.",2020-09-16 13:31:19,39476,True,3,1,1,0,117,43,0,improper,1,3,2,3,1,2,1,1,10,9,12,5,2,False,5,1.44,144,4.533333333,1.566666667,3,12,0.18600656,0.416308076,0.290885485,0.289611233,6,0.4,6,2,3,False,True,4,0.434819391,87,0,0,0,0,6,14,0.1,0.16,2,4,5,6,21,21,23,4,"3,4,5,6",15,6 2 2 1 1,6,0.012222222,0.76,0.666666667,0.289611233,0.657142857,220,36,7,14,7,12,S6-23,S6-1,0,5,3,100,"100,200,600",0.003472222,0.0,36,14,7,0.071428571,21,27,1.285714286,6,9,2,1,0,"0,2,4,5,6",12-117,"0,2,4,5,6",12-117,"0,4,8,10,12",24-5393,2.000223827,0.5271463981940225,0.0
7,338,1289.1950000193901,"[A] option 1, [L] option 2, [G] neither",65,choice,html-keyboard-response,208,416629,0.0-208.0,1st,high,A,0 2 4 5 6,-2,"['swapped', 'shifted']",1,6,0 4 3 4 3 0 4 -2 4 0 3 -2,0 4 3 4 3 0 5 -2 4 0 3 -2,0 4 3 4 3 4 0 -2 4 0 3 -2,up,181,False,SSS0005,39476,3,2020-09-16 16:51:03.698000+00:00,probe doesn't include all set's notes.,swapped,shifted,swapped,5,18,Yes,I used in-ear headphones (airpods),from the age of 8 to 16,English,"yes - sometimes there were notes which stood out, or in some cases it felt more cut off at the end",,Unknown,SONA for course credit,,,Female,,10.0,6-8,"Yes, I do alright","violin, piano",Strongly Agree,Strongly Agree,"I tried to remember patterns and higher notes which stood out. Sometimes the test melody brought images to my mind or made me feel a certain emotion, so I tried to see if I saw the same images or felt the same way when I listened to Option 1 and Option 2. I went between these two strategies throughout the study, but I do not know if a specific block affected that. However, sometimes the notes were closer together or more repetitive, which made it more difficult to judge the similarities.",2020-09-16 13:31:19,39476,True,0,1,3,0,117,43,0,improper,1,3,2,3,1,2,1,1,10,9,12,5,2,False,5,1.44,144,4.533333333,1.566666667,3,12,0.18600656,0.416308076,0.290885485,0.289611233,6,0.4,6,2,3,False,True,4,0.434819391,87,0,0,0,0,6,14,0.1,0.16,2,4,5,6,21,21,23,4,"3,4,5,6",15,6 2 2 1 1,6,0.012222222,0.76,0.666666667,0.289611233,0.657142857,220,36,7,14,7,12,S6-23,S6-1,0,5,3,100,"100,200,600",0.003472222,0.0,36,14,7,0.071428571,21,27,1.285714286,6,9,2,1,0,"0,2,4,5,6",12-117,"0,2,4,5,6",12-117,"0,4,8,10,12",24-5393,2.000223827,0.37743992321624176,0.0
8,334,1833.2449999870732,"[A] option 1, [L] option 2, [G] neither",76,choice,html-keyboard-response,164,329288,0.0-164.0,2nd,high,L,0 2 4 5 6,-1,"['swapped', 'shifted']",1,6,4 3 5 1 5 3 1 11 -1 3 11 3,4 3 5 1 5 3 2 11 -1 3 11 3,4 3 5 1 5 1 3 11 -1 3 11 3,up,141,False,SSS0005,39476,3,2020-09-16 16:51:03.698000+00:00,,swapped,shifted,shifted,5,18,Yes,I used in-ear headphones (airpods),from the age of 8 to 16,English,"yes - sometimes there were notes which stood out, or in some cases it felt more cut off at the end",,Unknown,SONA for course credit,,,Female,,10.0,6-8,"Yes, I do alright","violin, piano",Strongly Agree,Strongly Agree,"I tried to remember patterns and higher notes which stood out. Sometimes the test melody brought images to my mind or made me feel a certain emotion, so I tried to see if I saw the same images or felt the same way when I listened to Option 1 and Option 2. I went between these two strategies throughout the study, but I do not know if a specific block affected that. However, sometimes the notes were closer together or more repetitive, which made it more difficult to judge the similarities.",2020-09-16 13:31:19,39476,True,0,0,1,0,117,43,0,improper,1,3,2,3,1,2,1,1,10,9,12,5,2,False,5,1.44,144,4.533333333,1.566666667,3,12,0.18600656,0.416308076,0.290885485,0.289611233,6,0.4,6,2,3,False,True,4,0.434819391,87,0,0,0,0,6,14,0.1,0.16,2,4,5,6,21,21,23,4,"3,4,5,6",15,6 2 2 1 1,6,0.012222222,0.76,0.666666667,0.289611233,0.657142857,220,36,7,14,7,12,S6-23,S6-1,0,5,3,100,"100,200,600",0.003472222,0.0,36,14,7,0.071428571,21,27,1.285714286,6,9,2,1,0,"0,2,4,5,6",12-117,"0,2,4,5,6",12-117,"0,4,8,10,12",24-5393,2.000223827,0.5296349360493153,0.0
9,378,1404.9600000143982,"[A] option 1, [L] option 2, [G] neither",65,choice,html-keyboard-response,208,417532,0.0-208.0,1st,high,A,0 2 4 5 6,3,"['swapped', 'shifted']",-1,7,3 9 8 5 8 9 15 7 15 8 9 15,3 9 8 5 8 9 15 6 15 8 9 15,3 9 8 5 8 15 9 7 15 8 9 15,down,181,False,SSS0005,39476,5,2020-09-16 17:07:03.179000+00:00,,swapped,shifted,swapped,5,18,Yes,I used in-ear headphones (airpods),from the age of 8 to 16,English,"yes - sometimes there were notes which stood out, or in some cases it felt more cut off at the end",,Unknown,SONA for course credit,,,Female,,10.0,6-8,"Yes, I do alright","violin, piano",Strongly Agree,Strongly Agree,"I tried to remember patterns and higher notes which stood out. Sometimes the test melody brought images to my mind or made me feel a certain emotion, so I tried to see if I saw the same images or felt the same way when I listened to Option 1 and Option 2. I went between these two strategies throughout the study, but I do not know if a specific block affected that. However, sometimes the notes were closer together or more repetitive, which made it more difficult to judge the similarities.",2020-09-16 13:31:19,39476,True,1,0,3,0,117,43,0,improper,1,3,2,3,1,2,1,1,10,9,12,5,2,False,5,1.44,144,4.533333333,1.566666667,3,12,0.18600656,0.416308076,0.290885485,0.289611233,6,0.4,6,2,3,False,True,4,0.434819391,87,0,0,0,0,6,14,0.1,0.16,2,4,5,6,21,21,23,4,"3,4,5,6",15,6 2 2 1 1,6,0.012222222,0.76,0.666666667,0.289611233,0.657142857,220,36,7,14,7,12,S6-23,S6-1,0,5,3,100,"100,200,600",0.003472222,0.0,36,14,7,0.071428571,21,27,1.285714286,6,9,2,1,0,"0,2,4,5,6",12-117,"0,2,4,5,6",12-117,"0,4,8,10,12",24-5393,2.000223827,0.5271463981940225,0.0
