,subject,subject_age,Did this strategy change throughout the task?,How did you listen to the task?,"If you have had musical training, how old were you during this period (i.e., age-range)?",What is your first language?,Did you notice any change in the music? Elaborate,Q15 - Parent Topics,Q15 - Topics,How did you arrive at this experiment?,What is your first language (if other)?,"Did you notice any particular changes in the music? In other words, did you base your discriminations on specific features of the melodies?",subject_gender,How did your strategy change throughout the task?,Would you consider yourself a musical person? (0-10),How many years of formal musical training do you have?,Do you play any instruments (with or without formal training)?,Which instruments do you play (if any)?,I understood the instructions of the task,I found the task difficult,What general strategy (if any) did you use to judge the similarity across the melodies?,RecordedDate,sona
0,SSS0000,28,No,headphones ,6yrs old to 26yrs old ,Other (please specify below):,on the harmony or accidental notes ,,Unknown,Other,,,Female,,8,9+,"Yes, I do alright","guitar, violon ",Strongly Agree,Neither Agree nor Disagree,I tried to identify a similar pattern ,2020-09-15 23:21:15,Levannah
1,SSS0001,18,No,"over the ears, beats, solo 2",15-17,English,"Sometimes a note would be played that sounded like it didn't belong in the melody, so when listening to the options, I would listen for that specific note",,Unknown,SONA for course credit,,Yes,Female,,4,2-3,"Yes, I do alright",piano,Strongly Agree,Agree,how high or low a standout note was,2020-09-18 16:30:59,39521
2,SSS0002,19,No,Apple Airpods (earphones),9-17,Other (please specify below):,Tone,,,SONA for course credit,Portuguese,Yes,Female,,7,6-8,"Yes, but not so well",Piano,Strongly Agree,Agree,Tone,2020-09-28 19:14:58,39501
3,SSS0003,19,No,over ear,9-16,English,off notes,,Unknown,SONA for course credit,,,Male,,7,4-5,"Yes, I do alright",,Strongly Agree,Agree,,2020-09-15 23:39:30,40085
4,SSS0004,19,No,in-ear,12 I think,Other (please specify below):,"major, minor",,Unknown,SONA for course credit,Chinese,No,Female,,6,4-5,"Yes, I do alright",piano,Strongly Agree,Strongly Agree,"pitch changes, patterns",2020-09-28 19:03:24,39632
5,SSS0005,18,Yes,I used in-ear headphones (airpods),from the age of 8 to 16,English,"yes - sometimes there were notes which stood out, or in some cases it felt more cut off at the end",,Unknown,SONA for course credit,,,Female,,10,6-8,"Yes, I do alright","violin, piano",Strongly Agree,Strongly Agree,"I tried to remember patterns and higher notes which stood out. Sometimes the test melody brought images to my mind or made me feel a certain emotion, so I tried to see if I saw the same images or felt the same way when I listened to Option 1 and Option 2. I went between these two strategies throughout the study, but I do not know if a specific block affected that. However, sometimes the notes were closer together or more repetitive, which made it more difficult to judge the similarities.",2020-09-16 13:31:19,39476
6,SSS0006,18,No,"Headphones, in-ear, Airpods",14-17,6,I based my discriminations on the rhythm and the notes played.,,Unknown,SONA for course credit,,,Female,,7,2-3,"Yes, I do alright",Clarinet,Agree,Disagree,I try to look for differences in the notes played or the rhythm of the melody based on my hearing.,2020-09-16 13:31:44,39740
7,SSS0007,19,No,in ear headphones,12-15,Spanish,pitch of the note ,,Unknown,SONA for course credit,Korean,No,Female,around block 4 is when I memorized the beginning and ending of the test melody to compare to the optional melodies ,2,2-3,No,Drum,Strongly Agree,Disagree,I look for at least one melody differences,2020-09-28 19:16:23,39756
8,SSS0008,19,No,Bose Headphones sound proof,When in high school I was in a wind orchestra (15-19) and now I am studying Music Business.,Spanish,,,,SONA for course credit,,No,Female,,7,4-5,"Yes, I do alright","Clarinet, piano, voice",Strongly Agree,Agree,Repeat it in my head or sing it,2020-09-18 18:57:25,40014
9,SSS0009,18,No,airpods,14-18,Other (please specify below):,higher or lower notes,,Unknown,SONA for course credit,Chinese,Yes,Female,,7,4-5,"Yes, I do alright",piano,Strongly Agree,Agree,listen to the middle sections,2020-09-18 19:46:42,39729
