StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q16,Q17,Q14,Q18,Q3_NPS_GROUP,Q3,Q4,Q13,Q5,Q6,Q9,Q19,Q15,Q10,Q20,Q11,Q8_1,Q8_2,Q16,sub,sona
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How old are you?,What is your gender?,How did you arrive at this experiment?,"If you chose ""Other"", please specify below:",What is your first language?,"If you chose ""Other"", please specify below:",Would you consider yourself a musical person? - Group,Would you consider yourself a musical person?,How many years of formal musical training do you have?,"If you have had musical training, how old were you during this period (i.e., age-range)?",Do you play any instruments (with or without formal training),Which instruments do you play (if any)?,What general strategy (if any) did you use to judge the similarity across the melodies?,"Did you notice any particular changes in the music? In other words, did you base your discriminations on specific features of the melodies?","If you answered ""yes"" to the question above, please elaborate below",Did this strategy change throughout the task?,"If you answered ""yes"" to the question above, please elaborate below one which (approximate) block you changed your strategy, and how.","Did you listen to the task using headphones or speakers? Please indicate style (in-ear, over-the-ear, studio monitors, etc.), make, and model to the best of your ability",Please indicate your choice below - I understood the instructions of the task,Please indicate your choice below - I found the task difficult,"I feel that I have been adequately debriefed about the nature of the study. The investigator hasexplained the purposes of the research to me, and I feel that any questions I have asked weresatisfactorily answered.",sub,sona
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID2_NPS_GROUP""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID16""}","{""ImportId"":""sub""}","{""ImportId"":""sona""}"
2020-10-12 19:24:13,2020-10-12 19:39:25,IP Address,216.165.95.142,100,912,True,2020-10-12 19:39:26,R_6sPpZrpzw8z2pCV,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,18,Male,SONA for course credit,,English,,Passive,7,6-8,11-17,"Yes, I do alright","clarinet, tenor saxophone","I would nod along to the test melodies. If I noticed something in the first choice and wasn't sure if it was a difference, I would attempt to confirm it in the second. Other than that, my strategy mostly entailed ""feeling it out""",Yes,the highest and lowest notes as well as particularly significant chromatic notes stuck out to me. Melodies which seemed to be in one key were easier to judge also,Yes,"My strategy developed gradually, but if I had to pinpoint, I would say around the 4th block. This is when I began to focus more on key/chromatic notes",speakers,Strongly Agree,Agree,Agree,SSS0060,40068
2020-10-12 19:44:58,2020-10-12 19:46:13,IP Address,71.105.242.85,100,75,True,2020-10-12 19:46:13,R_1i8nUkfNtDyzf56,,,,,40.694000244140625,-73.9900970458984375,anonymous,EN,21,Female,SONA for course credit,,English,,Detractor,1,0,,"Yes, but not so well",saxophone,listening to the pitch,No,,No,,over the ear,Strongly Agree,Strongly Disagree,Agree,SSS0090,39516
2020-10-12 20:08:55,2020-10-12 20:10:18,IP Address,108.21.58.240,100,83,True,2020-10-12 20:10:19,R_2rrAVaYB7SfSL0m,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,19,Female,SONA for course credit,,English,,Detractor,0,0,,No,,I didn't really have a strategy and just played it by ear.,Yes,"Sometimes i would like like the tone is off, maybe a little higher or lower than the original",No,,Bose headphones,Strongly Agree,Strongly Agree,Agree,SSS0423,40042
2020-10-12 20:37:49,2020-10-12 20:39:12,IP Address,113.11.17.73,100,83,True,2020-10-12 20:39:13,R_33vbHTMyHTFhu0p,,,,,23.746002197265625,90.381988525390625,anonymous,EN,23,Male,SONA for course credit,,Other (please specify below):,Bengali,Passive,7,0,,"Yes, but not so well",Guitar,,No,,,,,,,Agree,SSS0020,40152
2020-10-12 20:56:40,2020-10-12 20:58:53,IP Address,72.226.99.81,100,133,True,2020-10-12 20:58:54,R_ZjZ51kpcaZVCqQN,,,,,40.730804443359375,-73.99749755859375,anonymous,EN,20,Male,SONA for course credit,,Other (please specify below):,Hebrew,Detractor,3,0,,No,,Repeat the beats in my head,Yes,"different pitches and melodies ",No,,Headphone - Apple airpods,Strongly Agree,Strongly Disagree,Agree,SSS0092,40240
2020-10-13 02:07:00,2020-10-13 02:09:01,IP Address,207.38.231.81,100,120,True,2020-10-13 02:09:01,R_u1yUmIx81zJzeM1,,,,,40.760894775390625,-73.9114990234375,anonymous,EN,22,Male,SONA for course credit,,Other (please specify below):,Chinese,Passive,7,4-5,6-11,"Yes, I do alright",Percussion,The certain notes from the beginning and the ending,No,,Yes,Start focusing on the entire piece,Headphone,Strongly Agree,Neither Agree nor Disagree,Agree,SSS0421,39654
2020-10-13 03:11:35,2020-10-13 03:13:47,IP Address,155.69.181.22,100,132,True,2020-10-13 03:13:48,R_1Lzi9tEaEqbmLI2,,,,,1.315399169921875,103.649810791015625,anonymous,EN,22,Female,SONA for course credit,,Other (please specify below):,chinese,Detractor,3,0,,"Yes, but not so well",drum set,"instinct ",Yes,sudden high pitches,No,,in-ear apple headphone,Strongly Agree,Strongly Agree,Agree,SSS0153,39983
2020-10-13 07:26:42,2020-10-13 07:30:03,IP Address,216.165.99.38,100,201,True,2020-10-13 07:30:04,R_116AQYrBri2JqsK,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,21,Female,SONA for course credit,,Other (please specify below):,Chinese,Detractor,5,1,,"Yes, but not so well",piano,"whether a note is missed, whether a note is higher or lower that seems out of place",Yes,"sometimes a note is missed, sometimes some notes are higher or lower than the test melody",No,,in ear,Agree,Agree,Agree,SSS0154,39016
