StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q16,Q17,Q14,Q18,Q3_NPS_GROUP,Q3,Q4,Q13,Q5,Q6,Q9,Q19,Q15,Q10,Q20,Q11,Q8_1,Q8_2,Q16,sub,sona,Q15 - Parent Topics,Q15 - Topics,Q9 - Parent Topics,Q9 - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How old are you?,What is your gender?,How did you arrive at this experiment?,"If you chose ""Other"", please specify below:",What is your first language?,"If you chose ""Other"", please specify below:",Would you consider yourself a musical person? - Group,Would you consider yourself a musical person?,How many years of formal musical training do you have?,"If you have had musical training, how old were you during this period (i.e., age-range)?",Do you play any instruments (with or without formal training),Which instruments do you play (if any)?,What general strategy (if any) did you use to judge the similarity across the melodies?,"Did you notice any particular changes in the music? In other words, did you base your discriminations on specific features of the melodies?","If you answered ""yes"" to the question above, please elaborate below",Did this strategy change throughout the task?,"If you answered ""yes"" to the question above, please elaborate below one which (approximate) block you changed your strategy, and how.","Did you listen to the task using headphones or speakers? Please indicate style (in-ear, over-the-ear, studio monitors, etc.), make, and model to the best of your ability",Please indicate your choice below - I understood the instructions of the task,Please indicate your choice below - I found the task difficult,"I feel that I have been adequately debriefed about the nature of the study. The investigator hasexplained the purposes of the research to me, and I feel that any questions I have asked weresatisfactorily answered.",sub,sona,Q15 - Parent Topics,Q15 - Topics,Q9 - Parent Topics,Q9 - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID2_NPS_GROUP""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID16""}","{""ImportId"":""sub""}","{""ImportId"":""sona""}","{""ImportId"":""QID21_TEXT_e1fff6d74c0f4bae8f0099c1ParTopics""}","{""ImportId"":""QID21_TEXT_e1fff6d74c0f4bae8f0099c1Topics""}","{""ImportId"":""QID9_TEXT_e1fff6d74c0f4bae8f0099c1ParTopics""}","{""ImportId"":""QID9_TEXT_e1fff6d74c0f4bae8f0099c1Topics""}"
2020-06-23 14:12:22,2020-06-23 14:16:43,IP Address,66.205.222.78,100,261,True,2020-06-23 14:16:44,R_3eb5ZB58AXwiK2w,,,,,40.4949951171875,-111.4102020263671875,anonymous,EN,20,Female,,,,,Detractor,5,4-5,5-9,"Yes, but not so well",guitar and piano,"closed eyes, hummed, moved fingers like I was playing the notes, imagined a staircase someone was going up or down,  imagined a stair case that was extending and changing shape (like turning corners and going up and downs). I also tried to focus on dissonance",,,,,in-ear noise cancelling beats headphones,Strongly Agree,Strongly Agree,Agree,OVS012,121003,,,,Unknown
2020-06-23 18:44:23,2020-06-23 18:46:20,IP Address,114.30.74.170,100,116,True,2020-06-23 18:46:21,R_23fwBf6Jakii0vk,,,,,28.6504058837890625,77.237213134765625,anonymous,EN,21,Male,,,,,Detractor,6,1,12-13 years,"Yes, I do alright",Drums,I am not sure which strategy I use,,,,,Airpods First Generation,Strongly Disagree,Agree,Agree,OVS013,120973,,,,Unknown
2020-06-23 20:05:18,2020-06-23 20:07:41,IP Address,104.162.185.192,100,143,True,2020-06-23 20:07:42,R_XYyhBA2LFjZV9g5,,,,,40.7259979248046875,-73.84799957275390625,anonymous,EN,18,Female,,,,,Detractor,3,1,7,"Yes, but not so well",Harmonium,Focus,,,,,"headphones, in-ear",Strongly Agree,Disagree,Agree,OVS014,120901,,,,Unknown
2020-06-23 21:31:35,2020-06-23 21:34:53,IP Address,24.71.248.163,100,198,True,2020-06-23 21:34:53,R_e5OTgvMFInLIjVD,,,,,49.8119964599609375,-119.507598876953125,anonymous,EN,18,Male,,,,,Detractor,5,2-3,15-18,"Yes, I do alright",Alto Saxophone,the difference between consecutive notes,,,,,"in-ear, apple air pods pro",Strongly Agree,Neither Agree nor Disagree,Agree,OVS017,120877,,,,Unknown
2020-06-23 21:43:02,2020-06-23 21:45:13,IP Address,68.100.139.139,100,130,True,2020-06-23 21:45:13,R_2rjeyzyziF0g6TD,,,,,38.984100341796875,-77.3672027587890625,anonymous,EN,22,Male,,,,,Passive,8,9+,9-18,"Yes, I do alright",piano and cello,number of notes as well as the pattern of the pitches,,,,,speakers,Strongly Agree,Agree,Agree,OVS018,120922,,,,Unknown
2020-06-23 23:59:38,2020-06-23 23:59:55,IP Address,24.71.248.163,100,17,True,2020-06-23 23:59:56,R_1PYkCw2FoFDiQ9m,,,,,49.8119964599609375,-119.507598876953125,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Agree,OVS017,120877,,,,
2020-06-24 13:56:44,2020-06-24 14:05:18,IP Address,71.246.236.168,100,513,True,2020-06-24 14:05:18,R_3r0P7SLISy5qxpz,,,,,38.8341064453125,-76.79740142822265625,anonymous,EN,20,Female,,,,,Passive,7,6-8,9-13,"Yes, I do alright",flute,I played the song over in my head what was playing out loud and if they didn't match i knew they weren't the same or the other way around and what i played in my head is what im hearing out loud so i know that means they're the same,,,,,"i was wearing beats headphones by dr dre. i dont really remeber the model but between the one with bigger ear pushions and the ones with the smaller ear cushions, i have the ones with the smaller ear cushions. hope that helps oh and they're over-the-ear",Strongly Agree,Agree,Agree,OVS031,121093,,,,Unknown
2020-06-24 15:40:53,2020-06-24 15:44:24,IP Address,73.53.200.9,100,210,True,2020-06-24 15:44:24,R_2YhMgo2xeQL4cOr,,,,,30.2754974365234375,-81.5814971923828125,anonymous,EN,21,Female,,,,,Detractor,6,4-5,On and off my whole life,"Yes, but not so well","Ukulele, Guitar and singing","Tried vocalizing only during the comparison melodies, tried vocalizing during all of them, not vocalizing at all.",,,,,in-ear Apple Earbuds,Agree,Agree,Agree,OVS032,120955,,,,Unknown
