StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q16,Q17,Q14,Q18,Q3_NPS_GROUP,Q3,Q4,Q13,Q5,Q6,Q9,Q19,Q15,Q10,Q20,Q11,Q8_1,Q8_2,Q16,sub,sona
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How old are you?,What is your gender?,How did you arrive at this experiment?,"If you chose ""Other"", please specify below:",What is your first language?,"If you chose ""Other"", please specify below:",Would you consider yourself a musical person? - Group,Would you consider yourself a musical person?,How many years of formal musical training do you have?,"If you have had musical training, how old were you during this period (i.e., age-range)?",Do you play any instruments (with or without formal training),Which instruments do you play (if any)?,What general strategy (if any) did you use to judge the similarity across the melodies?,"Did you notice any particular changes in the music? In other words, did you base your discriminations on specific features of the melodies?","If you answered ""yes"" to the question above, please elaborate below",Did this strategy change throughout the task?,"If you answered ""yes"" to the question above, please elaborate below one which (approximate) block you changed your strategy, and how.","Did you listen to the task using headphones or speakers? Please indicate style (in-ear, over-the-ear, studio monitors, etc.), make, and model to the best of your ability",Please indicate your choice below - I understood the instructions of the task,Please indicate your choice below - I found the task difficult,"I feel that I have been adequately debriefed about the nature of the study. The investigator hasexplained the purposes of the research to me, and I feel that any questions I have asked weresatisfactorily answered.",sub,sona
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID2_NPS_GROUP""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID16""}","{""ImportId"":""sub""}","{""ImportId"":""sona""}"
2021-12-02 10:39:21,2021-12-02 10:40:45,IP Address,216.165.95.160,100,84,True,2021-12-02 10:40:45,R_2VlmNL4rR3iO7EE,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,18,Female,SONA for course credit,,English,,Detractor,2,1,6-7,No,,I tried to find patterns within the sounds.,No,,No,,airpod 2 headphones,Agree,Strongly Agree,Agree,SSS2v0002,41818
2021-12-02 10:49:53,2021-12-02 10:50:50,IP Address,216.165.95.143,100,56,True,2021-12-02 10:50:50,R_32PiXqi2uXifmmm,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,19,Male,SONA for course credit,,Chinese (Mandarin),,Detractor,2,0,,No,,,No,,No,,,Strongly Agree,Agree,Agree,SSS2v0001,42091
2021-12-02 10:50:03,2021-12-02 10:52:19,IP Address,216.165.95.176,100,136,True,2021-12-02 10:52:20,R_2v7VpniDaXUEPyK,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,20,Female,SONA for course credit,,English,,Passive,8,9+,7-20,"Yes, I do alright","Cello, piano, guitar",I compared rhythm and pitch,No,,No,,I used over-the-ear headphones,Strongly Agree,Neither Agree nor Disagree,Agree,SSS2v0004,40759
2021-12-02 11:06:20,2021-12-02 11:08:56,IP Address,75.127.194.190,100,156,True,2021-12-02 11:08:57,R_a31ZD3GyzYgkYg1,,,,,40.7256011962890625,-74.15940093994140625,anonymous,EN,20,Female,SONA for course credit,,English,,Passive,7,9+,5 to 16,"Yes, I do alright",Piano,Tried to remember the melodies by using my fingers as a guidance for the notes,No,,No,,Using earphones,Agree,Agree,Agree,SSS2v0006,41473
2021-12-02 11:29:39,2021-12-02 11:30:41,IP Address,216.165.95.158,100,62,True,2021-12-02 11:30:42,R_3qHypqyciFK7vhW,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,19,Male,SONA for course credit,,English,,Detractor,2,0,,No,,,No,,No,,in-ear,Agree,Agree,Agree,SSS2v0007,41630
2021-12-02 13:04:11,2021-12-02 13:05:23,IP Address,216.165.95.167,100,71,True,2021-12-02 13:05:23,R_3g0ptzD865FvpxY,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,18,Male,SONA for course credit,,Chinese (Mandarin),,Detractor,3,0,,No,,,No,,No,,in ear,Agree,Strongly Agree,Agree,SSS2v0013,42074
2021-12-02 13:09:09,2021-12-02 13:09:55,IP Address,68.196.26.144,100,46,True,2021-12-02 13:09:55,R_w4S2XnPkYz5cd2N,,,,,40.9864044189453125,-74.11119842529296875,anonymous,EN,22,Male,SONA for course credit,,English,,Detractor,6,9+,0,No,0,0,No,,No,0,-,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,SSS2v0011,41515
2021-12-02 14:24:06,2021-12-02 14:26:00,IP Address,71.247.34.137,100,113,True,2021-12-02 14:26:00,R_2xXLOAYV3JsXGWs,,,,,40.7429046630859375,-73.93920135498046875,anonymous,EN,20,Female,SONA for course credit,,Chinese (Mandarin),,Detractor,4,2-3,6-8,No,,,No,,No,,in-ear,Strongly Agree,Agree,Agree,SSS2v0008,42259
