,subject,set,understood task,response,button_bias_Z,rt set,rt shifted,rt swapped,rt neither,rt shifted-swapped,rt shifted:swapped,length,# shifted,# swapped,# neither,# 1st button,# 2nd button,# neither button,# 1st button (task),# 2nd button (task),# neither button (task),# button presses (task),# trials,# button presses,# no_neither_trials,rate shifted,rate swapped,rate neither,rate pressed 1st,rate pressed 2nd,rate pressed neither,rate pressed 1st (task),rate pressed 2nd (task),rate pressed neither (task),rate_NN_shifted,rate_NN_swapped,rate shifted - rate swapped,rate shifted - rate swapped (NN),Unnamed: 0,subject_age,Did this strategy change throughout the task?,How did you listen to the task?,"If you have had musical training, how old were you during this period (i.e., age-range)?",What is your first language?,Did you notice any change in the music? Elaborate,How did you arrive at this experiment?,What is your first language (if other)?,"Did you notice any particular changes in the music? In other words, did you base your discriminations on specific features of the melodies?",subject_gender,How did your strategy change throughout the task?,Would you consider yourself a musical person? (0-10),How many years of formal musical training do you have?,Do you play any instruments (with or without formal training)?,Which instruments do you play (if any)?,I understood the instructions of the task,I found the task difficult,What general strategy (if any) did you use to judge the similarity across the melodies?,RecordedDate,sona
0,S1C0804,chromatic,True,BBBABBBBBBBBABBBABBABBBBBBBABBBABBBABAABBBAABBBBBBBBAAABBBBBABBBBBBBBABBBABBBBABB,0.0,1218.1000001430511,1040.9000000953674,1167.0,1581.3499999046326,-126.09999990463257,0.8919451586078555,8.0,19,16,24.0,7,28,24.0,18,63,38.0,119.0,59.0,59.0,35.0,0.3220338983050847,0.2711864406779661,0.4067796610169492,0.11864406779661017,0.4745762711864407,0.4067796610169492,0.15126050420168066,0.5294117647058824,0.31932773109243695,0.5428571428571428,0.45714285714285713,0.05084745762711862,0.08571428571428569,2,20.0,No,Earphones in-ear (not sure of the model),11-14,English,"Key changes, single note changes in the middle, etc.",SONA for course credit,,Yes,Female,,7,4,"Yes, I do alright","Piano, Alto Saxophone, Tenor Saxophone",Strongly Agree,Neither Agree nor Disagree,"I closed my eyes, and tried to move my finger along with the melody",2021-09-04 18:31:09,41436
1,S1C0804,diatonic,True,BBBABBBBBBBBABBBABBABBBBBBBABBBABBBABAABBBAABBBBBBBBAAABBBBBABBBBBBBBABBBABBBBABB,0.0,1305.4500000476837,1250.4000000953674,1274.75,1432.2000000476837,-24.34999990463257,0.9808982154111531,8.0,24,22,14.0,11,35,14.0,18,63,38.0,119.0,60.0,60.0,46.0,0.4,0.36666666666666664,0.23333333333333334,0.18333333333333332,0.5833333333333334,0.23333333333333334,0.15126050420168066,0.5294117647058824,0.31932773109243695,0.5217391304347826,0.4782608695652174,0.03333333333333338,0.04347826086956519,2,20.0,No,Earphones in-ear (not sure of the model),11-14,English,"Key changes, single note changes in the middle, etc.",SONA for course credit,,Yes,Female,,7,4,"Yes, I do alright","Piano, Alto Saxophone, Tenor Saxophone",Strongly Agree,Neither Agree nor Disagree,"I closed my eyes, and tried to move my finger along with the melody",2021-09-04 18:31:09,41436
2,S1C0805,chromatic,True,BABBBBABABBAAABABBBBBABBBBBBAABAABAABBBBABABBBBBBBBABBABBAABBBBBBBAABABABBBBBBBBABBAABABABABABABAABBABABABBBBBBAABABBBB,1.4228707485732337,1949.2000000029802,3056.85000000149,1759.6000000014901,0.0,1297.25,1.7372414185035812,8.0,22,37,0.0,21,38,0.0,40,79,0.0,119.0,59.0,59.0,59.0,0.3728813559322034,0.6271186440677966,0.0,0.3559322033898305,0.6440677966101694,0.0,0.33613445378151263,0.6638655462184874,0.0,0.3728813559322034,0.6271186440677966,-0.2542372881355932,-0.2542372881355932,3,21.0,No,over-the-ear head phones,11-14,Spanish,some notes were different,SONA for course credit,,Yes,Female,,7,3,"Yes, I do alright",piano,Agree,Neither Agree nor Disagree,quantity of different notes,2021-09-05 20:34:10,40433
3,S1C0805,diatonic,True,BABBBBABABBAAABABBBBBABBBBBBAABAABAABBBBABABBBBBBBBABBABBAABBBBBBBAABABABBBBBBBBABBAABABABABABABAABBABABABBBBBBAABABBBB,1.4228707485732337,2093.5499999970198,2050.0,2109.7999999970198,0.0,-59.79999999701977,0.9716560811465048,8.0,31,29,0.0,19,41,0.0,40,79,0.0,119.0,60.0,60.0,60.0,0.5166666666666667,0.48333333333333334,0.0,0.31666666666666665,0.6833333333333333,0.0,0.33613445378151263,0.6638655462184874,0.0,0.5166666666666667,0.48333333333333334,0.03333333333333338,0.03333333333333338,3,21.0,No,over-the-ear head phones,11-14,Spanish,some notes were different,SONA for course credit,,Yes,Female,,7,3,"Yes, I do alright",piano,Agree,Neither Agree nor Disagree,quantity of different notes,2021-09-05 20:34:10,40433
4,S1C0806,chromatic,True,BBBBBABAABABBAABABABBAAABBBAAABABBAABBBBABBABABBBAAAABABBAABAABABBBBBABBBBAAABBBBAABBABBBBBAABBBBAABBAABBBABABABAB,0.5348509865479446,1150.25,1054.2499999403954,948.5,4497.300000071526,105.74999994039536,1.1114918291411653,8.0,24,31,5.0,18,37,5.0,47,67,6.0,120.0,60.0,60.0,55.0,0.4,0.5166666666666667,0.08333333333333333,0.3,0.6166666666666667,0.08333333333333333,0.39166666666666666,0.5583333333333333,0.05,0.43636363636363634,0.5636363636363636,-0.1166666666666667,-0.12727272727272726,4,19.0,No,"Yes, I used Apple Air Pod Pros with the noise-cancelling feature.",10-15,English,,SONA for course credit,,No,Male,,4,5,"Yes, but not so well",Cello,Strongly Agree,Neither Agree nor Disagree,"Because I knew that there were only two options to choose from and that I would have a harder time differentiating between the test sound and the second option rather than the first, I would listen carefully to the test sound and the first option. If there were no differences, I would automatically know it is the second option. ",2021-09-06 00:20:36,41412
5,S1C0806,diatonic,True,BBBBBABAABABBAABABABBAAABBBAAABABBAABBBBABBABABBBAAAABABBAABAABABBBBBABBBBAAABBBBAABBABBBBBAABBBBAABBAABBBABABABAB,0.5348509865479446,757.75,732.5,1011.8000000119209,2500.6999999284744,-279.30000001192093,0.7239573038064536,8.0,43,16,1.0,29,30,1.0,47,67,6.0,120.0,60.0,60.0,59.0,0.7166666666666667,0.26666666666666666,0.016666666666666666,0.48333333333333334,0.5,0.016666666666666666,0.39166666666666666,0.5583333333333333,0.05,0.7288135593220338,0.2711864406779661,0.45,0.45762711864406774,4,19.0,No,"Yes, I used Apple Air Pod Pros with the noise-cancelling feature.",10-15,English,,SONA for course credit,,No,Male,,4,5,"Yes, but not so well",Cello,Strongly Agree,Neither Agree nor Disagree,"Because I knew that there were only two options to choose from and that I would have a harder time differentiating between the test sound and the second option rather than the first, I would listen carefully to the test sound and the first option. If there were no differences, I would automatically know it is the second option. ",2021-09-06 00:20:36,41412
6,S1C0807,chromatic,True,BBBAABABBBBAABBBBBABBBBAAABABAAAAABBBBABBABBAABBBABABABABBBAABBAABAAABABBBAAAAABBBBABBBBABBBAABBBAABAABABABAABABBBBB,-0.11534975161338476,558.1999999880791,558.1999999880791,471.69999998807907,2160.600000023842,86.5,1.1833792664875684,8.0,19,37,3.0,22,34,3.0,49,67,3.0,119.0,59.0,59.0,56.0,0.3220338983050847,0.6271186440677966,0.05084745762711865,0.3728813559322034,0.576271186440678,0.05084745762711865,0.4117647058823529,0.5630252100840336,0.025210084033613446,0.3392857142857143,0.6607142857142857,-0.3050847457627119,-0.3214285714285714,5,19.0,No,airpod pros ,since 7,English,noticing if one note in the options was not in the same key ,SONA for course credit,,Yes,Female,,8,8,"Yes, I do alright","piano, guitar",Strongly Agree,Neither Agree nor Disagree,if the melodies were in the same key and if the notes ascending or descending ,2021-09-06 13:38:49,41419
7,S1C0807,diatonic,True,BBBAABABBBBAABBBBBABBBBAAABABAAAAABBBBABBABBAABBBABABABABBBAABBAABAAABABBBAAAAABBBBABBBBABBBAABBBAABAABABABAABABBBBB,-0.11534975161338476,619.8999999761581,696.0999999642372,532.3000000119209,0.0,163.79999995231628,1.307721209747601,8.0,35,25,0.0,27,33,0.0,49,67,3.0,119.0,60.0,60.0,60.0,0.5833333333333334,0.4166666666666667,0.0,0.45,0.55,0.0,0.4117647058823529,0.5630252100840336,0.025210084033613446,0.5833333333333334,0.4166666666666667,0.16666666666666669,0.16666666666666669,5,19.0,No,airpod pros ,since 7,English,noticing if one note in the options was not in the same key ,SONA for course credit,,Yes,Female,,8,8,"Yes, I do alright","piano, guitar",Strongly Agree,Neither Agree nor Disagree,if the melodies were in the same key and if the notes ascending or descending ,2021-09-06 13:38:49,41419
8,S1C0808,chromatic,True,BBBABABBBBABBABBBBBABBABBBABBABABBBBBBB,1.919955089295106,2186.0,4642.499999970198,3008.9500000178814,1955.800000011921,1633.5499999523163,1.5428970238596882,8.0,6,12,42.0,4,14,42.0,9,30,81.0,120.0,60.0,60.0,18.0,0.1,0.2,0.7,0.06666666666666667,0.23333333333333334,0.7,0.075,0.25,0.675,0.3333333333333333,0.6666666666666666,-0.1,-0.3333333333333333,6,21.0,No,Over-the-ear bluetooth beats headphones,12,English,"It seemed like melody sometimes changed, skipped or added notes",SONA for course credit,,Yes,Male,,0,1,No,,Strongly Agree,Strongly Agree,I did my best to pick up on any of the differences,2021-09-19 07:13:57,38883
9,S1C0808,diatonic,True,BBBABABBBBABBABBBBBABBABBBABBABABBBBBBB,1.919955089295106,2184.6500000059605,3487.399999976158,2584.149999976158,2080.399999976158,903.25,1.3495346632387182,8.0,9,12,39.0,5,16,39.0,9,30,81.0,120.0,60.0,60.0,21.0,0.15,0.2,0.65,0.08333333333333333,0.26666666666666666,0.65,0.075,0.25,0.675,0.42857142857142855,0.5714285714285714,-0.05000000000000002,-0.14285714285714285,6,21.0,No,Over-the-ear bluetooth beats headphones,12,English,"It seemed like melody sometimes changed, skipped or added notes",SONA for course credit,,Yes,Male,,0,1,No,,Strongly Agree,Strongly Agree,I did my best to pick up on any of the differences,2021-09-19 07:13:57,38883
