,subject,subject_age,Did this strategy change throughout the task?,How did you listen to the task?,"If you have had musical training, how old were you during this period (i.e., age-range)?",What is your first language?,Did you notice any change in the music? Elaborate,How did you arrive at this experiment?,What is your first language (if other)?,"Did you notice any particular changes in the music? In other words, did you base your discriminations on specific features of the melodies?",subject_gender,How did your strategy change throughout the task?,Would you consider yourself a musical person? (0-10),How many years of formal musical training do you have?,Do you play any instruments (with or without formal training)?,Which instruments do you play (if any)?,I understood the instructions of the task,I found the task difficult,What general strategy (if any) did you use to judge the similarity across the melodies?,RecordedDate,sona
0,S1C0800,19,No,over the ear headphones,6-14,English,,SONA for course credit,,No,Female,,8,8,"Yes, I do alright","guitar, violin, viola, french horn",Agree,Agree,I mainly focused on the notes at the beginning and end of the melodies,2021-09-03 20:33:45,40652
1,S1C0803,20,No,,4-20,Chinese (Mandarin),,SONA for course credit,,No,Female,,10,9+,"Yes, I am near professional",piano,Strongly Agree,Strongly Disagree,the notes ,2021-09-04 17:44:56,41201
2,S1C0804,20,No,Earphones in-ear (not sure of the model),11-14,English,"Key changes, single note changes in the middle, etc.",SONA for course credit,,Yes,Female,,7,4,"Yes, I do alright","Piano, Alto Saxophone, Tenor Saxophone",Strongly Agree,Neither Agree nor Disagree,"I closed my eyes, and tried to move my finger along with the melody",2021-09-04 18:31:09,41436
3,S1C0805,21,No,over-the-ear head phones,11-14,Spanish,some notes were different,SONA for course credit,,Yes,Female,,7,3,"Yes, I do alright",piano,Agree,Neither Agree nor Disagree,quantity of different notes,2021-09-05 20:34:10,40433
4,S1C0806,19,No,"Yes, I used Apple Air Pod Pros with the noise-cancelling feature.",10-15,English,,SONA for course credit,,No,Male,,4,5,"Yes, but not so well",Cello,Strongly Agree,Neither Agree nor Disagree,"Because I knew that there were only two options to choose from and that I would have a harder time differentiating between the test sound and the second option rather than the first, I would listen carefully to the test sound and the first option. If there were no differences, I would automatically know it is the second option. ",2021-09-06 00:20:36,41412
5,S1C0807,19,No,airpod pros ,since 7,English,noticing if one note in the options was not in the same key ,SONA for course credit,,Yes,Female,,8,8,"Yes, I do alright","piano, guitar",Strongly Agree,Neither Agree nor Disagree,if the melodies were in the same key and if the notes ascending or descending ,2021-09-06 13:38:49,41419
6,S1C0808,21,No,Over-the-ear bluetooth beats headphones,12,English,"It seemed like melody sometimes changed, skipped or added notes",SONA for course credit,,Yes,Male,,0,1,No,,Strongly Agree,Strongly Agree,I did my best to pick up on any of the differences,2021-09-19 07:13:57,38883
7,S1C0809,19,Yes,"In-ear, AirPods Pro",8-18,Other (please specify below):,I listened closely to the melody and tried to identify a difference in the melodies based on the notes being played.,SONA for course credit,Russian,Yes,Female,"Throughout the experiment, I came to realize that Option 1 and Option 2 would sometimes have the same amount of notes changed from the original test melody but they were different pitches. Thus, I then focused on which one sounded most different melodically.",8,9+,"Yes, I am near professional",Piano,Strongly Agree,Neither Agree nor Disagree,I tried to memorize the test melody in my head and hum it along with each option to compare ,2021-09-06 15:44:26,41416
8,S1C0810,19,No,SPEAKER,,Chinese (Mandarin),one part of music was changed,SONA for course credit,,Yes,Male,,4,0,No,,Agree,Agree,remember.,2021-09-15 11:40:48,41444
9,S1C0811,21,No,"Yes, in-ear",6-10years old,Chinese (Mandarin),Sometimes it is a switch of different keys; sometimes it is down / up a key,SONA for course credit,,Yes,Female,,7,4,"Yes, I do alright",Piano,Strongly Agree,Disagree,the tones,2021-09-15 11:57:04,41788
10,S1C0812,18,No,In-ear headphone,16,Chinese (Mandarin),The rhythm.,SONA for course credit,,Yes,Male,,7,2,No,,Agree,Neither Agree nor Disagree,Judge the ups and downs of musical rhythm. ,2021-09-15 12:01:42,41505
11,S1C0813,19,No,in the ear,,English,high and low pitches ,SONA for course credit,,Yes,Female,,0,0,No,,Strongly Agree,Strongly Disagree,"focus, finger taps",2021-09-15 12:09:49,41857
12,S1C0814,19,Yes,one right side air pod,11-18,Chinese (Mandarin),the rythmn,SONA for course credit,,Yes,Female,"block 5, the pieces are becoming very similar",7,7,"Yes, I do alright",piano,Strongly Agree,Disagree,,2021-09-15 12:09:24,41442
