StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q16,Q17,Q14,Q18,Q3_NPS_GROUP,Q3,Q4,Q13,Q5,Q6,Q9,Q19,Q15,Q10,Q20,Q11,Q8_1,Q8_2,Q16,sub,sona
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How old are you?,What is your gender?,How did you arrive at this experiment?,"If you chose ""Other"", please specify below:",What is your first language?,"If you chose ""Other"", please specify below:",Would you consider yourself a musical person? - Group,Would you consider yourself a musical person?,How many years of formal musical training do you have?,"If you have had musical training, how old were you during this period (i.e., age-range)?",Do you play any instruments (with or without formal training),Which instruments do you play (if any)?,What general strategy (if any) did you use to judge the similarity across the melodies?,"Did you notice any particular changes in the music? In other words, did you base your discriminations on specific features of the melodies?","If you answered ""yes"" to the question above, please elaborate below",Did this strategy change throughout the task?,"If you answered ""yes"" to the question above, please elaborate below one which (approximate) block you changed your strategy, and how.","Did you listen to the task using headphones or speakers? Please indicate style (in-ear, over-the-ear, studio monitors, etc.), make, and model to the best of your ability",Please indicate your choice below - I understood the instructions of the task,Please indicate your choice below - I found the task difficult,"I feel that I have been adequately debriefed about the nature of the study. The investigator hasexplained the purposes of the research to me, and I feel that any questions I have asked weresatisfactorily answered.",sub,sona
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID2_NPS_GROUP""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID16""}","{""ImportId"":""sub""}","{""ImportId"":""sona""}"
2021-09-03 20:31:08,2021-09-03 20:33:44,IP Address,216.165.95.136,100,155,True,2021-09-03 20:33:45,R_21bwYSXrhXaxUAi,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,19,Female,SONA for course credit,,English,,Passive,8,8,6-14,"Yes, I do alright","guitar, violin, viola, french horn",I mainly focused on the notes at the beginning and end of the melodies,No,,No,,over the ear headphones,Agree,Agree,Agree,S1C0800,40652
2021-09-04 17:43:34,2021-09-04 17:44:55,IP Address,173.68.98.159,100,80,True,2021-09-04 17:44:56,R_3kIbttuGnRP36cN,,,,,40.75030517578125,-74.00140380859375,anonymous,EN,20,Female,SONA for course credit,,Chinese (Mandarin),,Promoter,10,9+,4-20,"Yes, I am near professional",piano,"the notes ",No,,No,,,Strongly Agree,Strongly Disagree,Agree,S1C0803,41201
2021-09-04 18:28:37,2021-09-04 18:31:09,IP Address,216.165.95.160,100,151,True,2021-09-04 18:31:09,R_O8UTDadRCf9nDZn,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,20,Female,SONA for course credit,,English,,Passive,7,4,11-14,"Yes, I do alright","Piano, Alto Saxophone, Tenor Saxophone","I closed my eyes, and tried to move my finger along with the melody",Yes,"Key changes, single note changes in the middle, etc.",No,,Earphones in-ear (not sure of the model),Strongly Agree,Neither Agree nor Disagree,Agree,S1C0804,41436
2021-09-04 19:32:16,2021-09-04 19:33:27,IP Address,24.188.27.53,100,71,True,2021-09-04 19:33:28,R_1Ok61bIrPOLs4cD,,,,,40.5948028564453125,-73.97149658203125,anonymous,EN,20,Female,SONA for course credit,,Other (please specify below):,Bengali,Detractor,0,0,,No,,,No,,No,,in ear headphones,Strongly Agree,Agree,Agree,S1C1201,40094
2021-09-04 20:12:40,2021-09-04 20:14:02,IP Address,52.119.83.229,100,82,True,2021-09-04 20:14:03,R_ROGcHvmNdS0rfFv,,,,,40.7429046630859375,-73.93920135498046875,anonymous,EN,,Male,SONA for course credit,,Chinese (Mandarin),,Detractor,6,0,,No,,,No,,No,,in-ear,Agree,Agree,Agree,S1C1202,41054
2021-09-05 03:01:42,2021-09-05 03:03:46,IP Address,207.38.165.16,100,123,True,2021-09-05 03:03:46,R_9twQhrogEeXcfQd,,,,,40.7787017822265625,-73.91320037841796875,anonymous,EN,20,Female,SONA for course credit,,English,,Detractor,3,0,,No,,,Yes,pitch,No,,in ear earbuds,Strongly Agree,Agree,Agree,S1C1600,41326
2021-09-05 12:19:26,2021-09-05 12:24:39,IP Address,216.165.95.182,100,313,True,2021-09-05 12:24:39,R_2veuG5NbcuEw85S,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,18,Male,SONA for course credit,,Other (please specify below):,English & Korean,Detractor,6,5,13-18,"Yes, I do alright",Flute,The high and low pitched sounds,Yes,"The difference in the high and low pitched sounds, as well as differences in the musical rhythm",No,,"In-ear earphones (specifically, the Apple AirPods Pro)",Agree,Neither Agree nor Disagree,Agree,S1C1601,41425
2021-09-05 14:59:22,2021-09-05 15:07:38,IP Address,141.157.208.38,100,495,True,2021-09-05 15:07:39,R_Y9uZpjVddlSSiOZ,,,,,40.8343048095703125,-73.92350006103515625,anonymous,EN,19,Female,SONA for course credit,,English,,Detractor,5,0,,No,,"I tried to keep track of any notes that stood with in the test sounds and tried to keep track of the rhythm of the sounds. Then I choose the option where the notes were a different pitch and rhythm. ",Yes,"The rhythm and pitches of the music helped me distinguish between melodies and made it easier to choose the most different option.  ",No,,Apple AirPods,Strongly Agree,Disagree,Agree,S1C1602,41433
