,sona,subject,set,Q1 Median,Q2 Median,Q3 Median,Q1,Q2,Q3,Q1 Mean,Q2 Mean,Q3 Mean,Q1 responses,Q2 responses,Q3 responses,Q1 RT,Q2 RT,Q3 RT,subject_gender,subject_age,understood task
0,35549,SSSQ0213,0 1 2 3 4,3.0,4.0,2.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.1,3.4,2.5,10,10,10,1787.0,672.0,950.5,Female,21,True
1,35549,SSSQ0213,0 1 2 3 6,4.0,4.0,2.5,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.8,4.0,2.8,10,10,10,1225.0,634.5,896.0,Female,21,True
2,35549,SSSQ0213,0 1 2 5 6,3.5,4.0,2.5,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.3,4.2,2.7,10,10,10,1684.0,780.5,973.5,Female,21,True
3,35549,SSSQ0213,0 1 2 5 7,3.0,4.0,2.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.1,3.7,2.2,10,10,10,1542.0,591.0,873.5,Female,21,True
4,35549,SSSQ0213,0 1 2 5 8,3.0,5.0,2.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.0,4.5,2.6,10,10,10,2064.5,399.5,598.5,Female,21,True
5,35549,SSSQ0213,0 1 2 6 8,3.0,4.0,3.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.1,3.7,3.0,10,10,10,1918.0,673.5,1237.0,Female,21,True
6,35549,SSSQ0213,0 1 3 4 5,3.0,4.0,2.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.0,4.3,2.1,10,10,10,1518.0,1070.5,978.5,Female,21,True
7,35549,SSSQ0213,0 1 3 4 6,3.0,4.0,3.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.0,4.0,2.6,10,10,10,2487.5,395.5,1118.5,Female,21,True
8,35549,SSSQ0213,0 1 4 5 6,3.0,4.0,3.5,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.0,4.0,3.1,10,10,10,2380.0,991.0,757.0,Female,21,True
9,35549,SSSQ0213,0 1 4 5 7,4.0,3.0,2.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.3,3.3,2.5,10,10,10,1487.0,616.0,1314.0,Female,21,True
10,35549,SSSQ0213,0 1 5 6 7,3.5,4.0,2.5,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.3,4.3,2.9,10,10,10,1939.0,853.5,1231.0,Female,21,True
11,35549,SSSQ0213,0 2 3 5 7,3.0,4.0,2.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.1,3.8,2.7,10,10,10,2147.5,614.5,1107.5,Female,21,True
12,35549,SSSQ0213,0 2 3 6 8,4.0,4.0,3.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.7,3.8,2.8,10,10,10,1580.5,613.5,1741.0,Female,21,True
13,35549,SSSQ0213,0 2 4 5 7,3.0,4.0,3.0,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.2,3.9,2.8,10,10,10,2238.5,433.0,965.0,Female,21,True
14,35549,SSSQ0213,0 2 4 5 8,3.5,4.0,2.5,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.,3.3,3.9,2.5,10,10,10,2367.5,596.0,1688.5,Female,21,True
