,set,Q1 Median,Q2 Median,Q3 Median,Q1 Mean,Q2 Mean,Q3 Mean,Q1 RT,Q2 RT,Q3 RT,Q1 subjects,Q2 subjects,Q3 subjects,Q1,Q2,Q3
0,0 1 2 3 4,4.0,3.0,3.0,3.4,3.3,3.1,1117.5,488.0,621.5,51,51,51,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
1,0 1 2 3 5,3.25,3.0,3.0,3.375,2.95,3.1,1043.0,350.5,538.25,52,52,52,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
2,0 1 2 3 6,3.0,3.0,3.0,3.3,2.8,2.9,878.0,432.0,491.5,48,48,48,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
3,0 1 2 3 7,3.0,3.0,3.0,3.3,3.1,3.1,994.5,440.0,636.5,55,55,55,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
4,0 1 2 4 5,3.0,3.0,3.0,3.3375,3.05,3.0,1068.5,472.25,814.25,52,52,52,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
5,0 1 2 4 6,3.25,3.0,3.0,3.3499999999999996,2.95,2.8,1064.25,479.25,523.75,54,54,54,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
6,0 1 2 4 7,3.5,3.0,3.0,3.4,3.142857142857143,3.2,980.0,400.0,527.0,55,55,55,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
7,0 1 2 4 8,3.0,3.0,3.0,3.3,2.8,2.857142857142857,908.5,489.0,529.0,60,60,60,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
8,0 1 2 5 6,3.5,3.0,2.75,3.2928571428571427,2.757142857142857,2.8,933.5,428.75,550.25,52,52,52,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
9,0 1 2 5 7,3.0,3.0,3.0,3.3,3.05,2.8785714285714286,821.25,446.75,623.25,52,52,52,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
10,0 1 2 5 8,3.75,3.0,3.0,3.3,3.1125,2.8,1088.75,492.75,678.0,54,54,54,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
11,0 1 2 6 7,3.0,3.0,3.0,3.2,3.0,2.9,1067.5,397.0,492.5,55,55,55,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
12,0 1 2 6 8,3.5,3.0,3.0,3.414285714285714,2.8285714285714283,2.95,1026.5,384.0,488.0,52,52,52,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
13,0 1 3 4 5,3.25,3.0,3.0,3.253968253968254,3.0,2.95,1003.5,378.0,542.5,51,51,51,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
14,0 1 3 4 6,3.0,3.5,3.0,3.2,3.3,3.1,910.0,385.5,543.0,49,49,49,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
15,0 1 3 4 7,3.0,3.0,3.0,3.2,3.0,2.9,1303.5,456.5,643.0,52,52,52,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
16,0 1 3 4 8,3.5,3.0,3.0,3.3,3.3,3.3,1204.0,478.0,630.0,56,56,56,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
17,0 1 3 5 6,4.0,3.25,3.0,3.5,3.2,3.1833333333333336,1080.0,453.0,557.0,47,47,47,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
18,0 1 3 5 7,3.0,3.0,3.0,3.3,3.0,3.0,1024.0,390.0,579.0,49,49,49,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
