,index,rt,stimulus,key_press,name,trial_type,trial_index,time_elapsed,internal_node_id,set,transposition,mode,mode_no,probe_pitches,question_num,response,response_numeric,subject,sona_x,block,time,malformed,Unnamed: 0,subject_age,How did you listen to the task?,"If you have had musical training, how old were you during this period (i.e., age-range)?",What is your first language?,How did you arrive at this experiment?,What is your first language (if other)?,subject_gender,How many years of formal music theory training do you have?,Do you have perfect (absolute) pitch?,What informed your judgement (if anything) of how familiar were the melodies?,What general strategy (if any) did you use to judge whether melodies had some notes that were more important than others?,Would you consider yourself a musical person? (0-10),How many years of formal musical training do you have?,Do you play any instruments (with or without formal training)?,Which instruments do you play (if any)?,I understood the instructions of the task,I found the task difficult,What general strategy (if any) did you use to judge the similarity across the melodies?,RecordedDate,sona_y,understood task
0,0,2316,Some notes felt more important than others.,52,likert,html-keyboard-response,7,43025,0.0-7.0,0 1 2 4 5,-2,"[0, 1, 8, 9, 10]",3,8 7 8 6 10 8 6 10 7 6 10 7,1,somewhat agree,4,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,probe doesn't include all set's notes.,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
1,1,2278,The melody as a whole or parts of it felt familiar.,51,likert,html-keyboard-response,9,46307,0.0-9.0,0 1 2 4 5,-2,"[0, 1, 8, 9, 10]",3,8 7 8 6 10 8 6 10 7 6 10 7,1,neutral,3,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,probe doesn't include all set's notes.,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
2,2,1162,The audio clip was melodic.,52,likert,html-keyboard-response,11,48476,0.0-11.0,0 1 2 4 5,-2,"[0, 1, 8, 9, 10]",3,8 7 8 6 10 8 6 10 7 6 10 7,1,somewhat agree,4,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,probe doesn't include all set's notes.,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
3,3,392,Some notes felt more important than others.,53,likert,html-keyboard-response,16,55212,0.0-16.0,0 1 4 5 7,3,"[0, 5, 6, 9, 10]",4,15 9 13 15 8 9 12 8 3 13 15 9,11,agree,5,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
4,4,1002,The melody as a whole or parts of it felt familiar.,50,likert,html-keyboard-response,18,57222,0.0-18.0,0 1 4 5 7,3,"[0, 5, 6, 9, 10]",4,15 9 13 15 8 9 12 8 3 13 15 9,11,somewhat disagree,2,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
5,5,847,The audio clip was melodic.,50,likert,html-keyboard-response,20,59075,0.0-20.0,0 1 4 5 7,3,"[0, 5, 6, 9, 10]",4,15 9 13 15 8 9 12 8 3 13 15 9,11,somewhat disagree,2,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
6,6,11221,Some notes felt more important than others.,52,likert,html-keyboard-response,25,76653,0.0-25.0,0 3 4 6 7,3,"[0, 1, 6, 9, 10]",3,3 4 3 4 12 4 15 3 4 12 13 4,21,somewhat agree,4,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,probe doesn't include all set's notes.,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
7,7,4966,The melody as a whole or parts of it felt familiar.,49,likert,html-keyboard-response,27,82623,0.0-27.0,0 3 4 6 7,3,"[0, 1, 6, 9, 10]",3,3 4 3 4 12 4 15 3 4 12 13 4,21,disagree,1,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,probe doesn't include all set's notes.,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
8,8,2105,The audio clip was melodic.,52,likert,html-keyboard-response,29,85732,0.0-29.0,0 3 4 6 7,3,"[0, 1, 6, 9, 10]",3,3 4 3 4 12 4 15 3 4 12 13 4,21,somewhat agree,4,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,probe doesn't include all set's notes.,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
9,9,717,Some notes felt more important than others.,53,likert,html-keyboard-response,34,92909,0.0-34.0,0 2 5 6 8,-3,"[0, 1, 3, 7, 9]",2,6 9 4 0 9 6 -3 4 0 4 0 4,31,agree,5,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,probe doesn't include all set's notes.,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
10,10,4269,The melody as a whole or parts of it felt familiar.,51,likert,html-keyboard-response,36,98180,0.0-36.0,0 2 5 6 8,-3,"[0, 1, 3, 7, 9]",2,6 9 4 0 9 6 -3 4 0 4 0 4,31,neutral,3,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,probe doesn't include all set's notes.,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
11,11,1895,The audio clip was melodic.,52,likert,html-keyboard-response,38,101077,0.0-38.0,0 2 5 6 8,-3,"[0, 1, 3, 7, 9]",2,6 9 4 0 9 6 -3 4 0 4 0 4,31,somewhat agree,4,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,probe doesn't include all set's notes.,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
12,12,6906,Some notes felt more important than others.,52,likert,html-keyboard-response,43,114302,0.0-43.0,0 2 4 7 8,-3,"[0, 1, 5, 7, 9]",3,-3 -2 2 6 2 6 4 2 9 6 4 -2,41,somewhat agree,4,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
13,13,7990,The melody as a whole or parts of it felt familiar.,52,likert,html-keyboard-response,45,123298,0.0-45.0,0 2 4 7 8,-3,"[0, 1, 5, 7, 9]",3,-3 -2 2 6 2 6 4 2 9 6 4 -2,41,somewhat agree,4,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
14,14,770,The audio clip was melodic.,51,likert,html-keyboard-response,47,125070,0.0-47.0,0 2 4 7 8,-3,"[0, 1, 5, 7, 9]",3,-3 -2 2 6 2 6 4 2 9 6 4 -2,41,neutral,3,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
15,15,2105,Some notes felt more important than others.,51,likert,html-keyboard-response,52,133427,0.0-52.0,0 3 4 6 7,-1,"[0, 1, 3, 4, 9]",1,0 3 8 2 3 2 -1 0 3 -1 0 11,51,neutral,3,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
16,16,569,The melody as a whole or parts of it felt familiar.,49,likert,html-keyboard-response,54,134998,0.0-54.0,0 3 4 6 7,-1,"[0, 1, 3, 4, 9]",1,0 3 8 2 3 2 -1 0 3 -1 0 11,51,disagree,1,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
17,17,250,The audio clip was melodic.,49,likert,html-keyboard-response,56,136253,0.0-56.0,0 3 4 6 7,-1,"[0, 1, 3, 4, 9]",1,0 3 8 2 3 2 -1 0 3 -1 0 11,51,disagree,1,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
18,18,2403,Some notes felt more important than others.,52,likert,html-keyboard-response,61,144960,0.0-61.0,0 1 4 5 7,2,"[0, 3, 4, 6, 11]",1,5 8 5 2 5 6 14 13 6 5 2 14,61,somewhat agree,4,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
19,19,2143,The melody as a whole or parts of it felt familiar.,49,likert,html-keyboard-response,63,148107,0.0-63.0,0 1 4 5 7,2,"[0, 3, 4, 6, 11]",1,5 8 5 2 5 6 14 13 6 5 2 14,61,disagree,1,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
20,20,241,The audio clip was melodic.,51,likert,html-keyboard-response,65,149352,0.0-65.0,0 1 4 5 7,2,"[0, 3, 4, 6, 11]",1,5 8 5 2 5 6 14 13 6 5 2 14,61,neutral,3,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
21,21,3304,Some notes felt more important than others.,52,likert,html-keyboard-response,70,165157,0.0-70.0,0 3 4 5 6,2,"[0, 1, 2, 3, 9]",1,14 11 5 11 3 11 4 2 11 2 14 5,71,somewhat agree,4,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
22,22,17893,The melody as a whole or parts of it felt familiar.,50,likert,html-keyboard-response,72,184053,0.0-72.0,0 3 4 5 6,2,"[0, 1, 2, 3, 9]",1,14 11 5 11 3 11 4 2 11 2 14 5,71,somewhat disagree,2,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
23,23,345,The audio clip was melodic.,51,likert,html-keyboard-response,74,185401,0.0-74.0,0 3 4 5 6,2,"[0, 1, 2, 3, 9]",1,14 11 5 11 3 11 4 2 11 2 14 5,71,neutral,3,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
24,24,5663,Some notes felt more important than others.,50,likert,html-keyboard-response,79,197325,0.0-79.0,0 1 4 6 8,-2,"[0, 2, 4, 8, 9]",2,-2 2 7 0 6 2 7 -2 10 7 2 10,81,somewhat disagree,2,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
25,25,5530,The melody as a whole or parts of it felt familiar.,50,likert,html-keyboard-response,81,203857,0.0-81.0,0 1 4 6 8,-2,"[0, 2, 4, 8, 9]",2,-2 2 7 0 6 2 7 -2 10 7 2 10,81,somewhat disagree,2,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
26,26,288,The audio clip was melodic.,51,likert,html-keyboard-response,83,205147,0.0-83.0,0 1 4 6 8,-2,"[0, 2, 4, 8, 9]",2,-2 2 7 0 6 2 7 -2 10 7 2 10,81,neutral,3,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
27,27,821,Some notes felt more important than others.,53,likert,html-keyboard-response,88,215940,0.0-88.0,0 1 2 5 6,0,"[0, 1, 7, 8, 9]",3,9 12 7 9 12 8 1 7 12 9 8 9,91,agree,5,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
28,28,3329,The melody as a whole or parts of it felt familiar.,50,likert,html-keyboard-response,90,220271,0.0-90.0,0 1 2 5 6,0,"[0, 1, 7, 8, 9]",3,9 12 7 9 12 8 1 7 12 9 8 9,91,somewhat disagree,2,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
