,subject,subject_age,How did you listen to the task?,"If you have had musical training, how old were you during this period (i.e., age-range)?",What is your first language?,How did you arrive at this experiment?,What is your first language (if other)?,subject_gender,How many years of formal music theory training do you have?,Do you have perfect (absolute) pitch?,What informed your judgement (if anything) of how familiar were the melodies?,What general strategy (if any) did you use to judge whether melodies had some notes that were more important than others?,Would you consider yourself a musical person? (0-10),How many years of formal musical training do you have?,Do you play any instruments (with or without formal training)?,Which instruments do you play (if any)?,I understood the instructions of the task,I found the task difficult,What general strategy (if any) did you use to judge the similarity across the melodies?,RecordedDate,sona
0,SSSQ0001,20,"headphones, over-the-ear bose noise canceling ",,English,SONA for course credit,,Female,0,Not sure,nothing,if it stuck out as odd,1,0,"Yes, but not so well","Piano, violin ",Strongly Agree,Agree,difference in pitch ,2020-12-05 21:07:51,39542
1,SSSQ0002,18,in ear,9-11,English,SONA for course credit,,Female,0,No,none,none,3,2-3,"Yes, but not so well",violin,Strongly Agree,Neither Agree nor Disagree,none,2020-12-05 22:12:14,39524
2,SSSQ0003,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374
3,SSSQ0004,20,Airpods ,10,English,SONA for course credit,,Male,0,No,Movies or TV shows ,The scale of the tones,3,1,No,,Strongly Agree,Neither Agree nor Disagree,How well the tones complemented each other ,2020-12-06 01:46:50,39700
4,SSSQ0005,21,"Earphones, In-ear, Apple Airpods 2nd Gen","5, 11-13, 16-17",English,SONA for course credit,,Male,2-3,No,Notes I was used to hearing/playing,If I had some familiarity of a portion of the melody,6,6-8,"Yes, I do alright","Piano, clarinet, flute",Agree,Neither Agree nor Disagree,Familiarity,2020-12-12 18:52:47,38471
5,SSSQ0006,20,Headphones ,Violin when I was 9 ,English,SONA for course credit,,Female,0,No,How low and high pitched the melodies were. ,How high some notes went up compared to others. ,1,1,No,none,Strongly Agree,Disagree,"Listening to how it began and how it ended, if it flowed together well.",2020-12-13 17:56:45,39276
6,SSSQ0007,18,in ear headphones,13,Other (please specify below):,SONA for course credit,arabic,Male,0,No,,,4,1,No,,Strongly Agree,Strongly Agree,,2020-12-12 21:06:06,39814
7,SSSQ0008,21,in ear apple headphones ,12,English,SONA for course credit,,Female,1,Not sure,hearing the melodies earlier in the experiment.,if there was a note that was a different pitch than the majority of the notes.,1,1,"Yes, but not so well",clarinet,Strongly Agree,Neither Agree nor Disagree,if they had a pattern or consistent pitch i considered them to be melodic.,2020-12-13 01:18:17,40075
8,SSSQ0009,19,in ear phones ,,English,SONA for course credit,,Female,0,No,they all sounded the same so they were all familiar ,if more notes stood out to me,3,0,No,,Strongly Agree,Neither Agree nor Disagree,if i liked listening to it ,2020-12-06 14:14:29,39503
9,SSSQ0010,19,airpods pro ,,English,SONA for course credit,,Male,0,No,intuition based,,5,0,No,,Strongly Agree,Strongly Agree,,2020-12-06 18:22:27,39964
