StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q16,Q17,Q14,Q18,Q3_NPS_GROUP,Q3,Q4,Q13,Q22,Q23,Q5,Q6,Q9,Q24,Q25,Q11,Q8_1,Q8_2,Q16,sub,sona
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How old are you?,What is your gender?,How did you arrive at this experiment?,"If you chose ""Other"", please specify below:",What is your first language?,"If you chose ""Other"", please specify below:",Would you consider yourself a musical person? - Group,Would you consider yourself a musical person?,How many years of formal musical training do you have?,"If you have had musical training, how old were you during this period (i.e., age-range)?",How many years of formal music theory training do you have?,Do you have perfect (absolute) pitch?,Do you play any instruments (with or without formal training),Which instruments do you play (if any)?,What general strategy (if any) did you use to judge how melodic were the audio clips?,What informed your judgement (if anything) of how familiar were the melodies?,What general strategy (if any) did you use to judge whether melodies had some notes that were more important than others?,"Did you listen to the task using headphones or speakers? Please indicate style (in-ear, over-the-ear, studio monitors, etc.), make, and model to the best of your ability",Please indicate your choice below - I understood the instructions of the task,Please indicate your choice below - I found the task difficult,"I feel that I have been adequately debriefed about the nature of the study. The investigator hasexplained the purposes of the research to me, and I feel that any questions I have asked weresatisfactorily answered.",sub,sona
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID2_NPS_GROUP""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID16""}","{""ImportId"":""sub""}","{""ImportId"":""sona""}"
2020-11-21 22:44:50,2020-11-21 22:52:28,IP Address,59.8.157.214,100,457,True,2020-11-21 22:52:29,R_2qCdks69BFKPrf7,,,,,37.410003662109375,127.2572021484375,anonymous,EN,20,Female,SONA for course credit,,Other (please specify below):,Korean,Passive,7,9+,6~17,0,No,No,,,,,"Headphones, over-the-ear, Beats Solo3 Wireless",Strongly Agree,Neither Agree nor Disagree,Agree,SSSQ0050,40200
2020-11-21 23:34:05,2020-11-21 23:37:02,IP Address,72.69.200.83,100,177,True,2020-11-21 23:37:03,R_2aFELXixMWft66W,,,,,40.8000030517578125,-73.9763031005859375,anonymous,EN,19,Male,SONA for course credit,,English,,Passive,8,2-3,13-16,0,No,"Yes, I do alright","Trombone, Guitar",How I thought they would sound with lyrics over them,Based on what I thought I heard before,If a note was changed would it significantly change the progression,Headphones,Strongly Agree,Disagree,Agree,SSSQ0056,40061
2020-11-21 23:56:35,2020-11-22 00:00:56,IP Address,114.37.181.111,100,261,True,2020-11-22 00:00:56,R_27fmPmMSu0mMuJC,,,,,24.8065032958984375,120.970611572265625,anonymous,EN,18,Female,SONA for course credit,,Other (please specify below):,Mandarin,Detractor,3,2-3,11-13,0,No,"Yes, but not so well",piano,,similar tone and pitch,,in-ear headphones,Agree,Strongly Agree,Agree,SSSQ0057,39606
2020-11-22 00:07:40,2020-11-22 00:10:21,IP Address,216.165.99.33,100,161,True,2020-11-22 00:10:22,R_1OnOffcBBk1dZiV,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,20,Female,SONA for course credit,,Other (please specify below):,Chinese,Detractor,6,6-8,"9-13, 18-20",0,No,"Yes, I do alright",Guzheng and violin,n/a,the scale and repitition,n/a,in-ear,Neither Agree nor Disagree,Agree,Agree,SSSQ0060,39347
2020-11-22 01:37:22,2020-11-22 01:40:56,IP Address,176.40.168.123,100,214,True,2020-11-22 01:40:57,R_XFaQDnWlW6EqcX7,,,,,41.0529022216796875,29.0012969970703125,anonymous,EN,19,Female,SONA for course credit,,Other (please specify below):,Turkish,Passive,7,2-3,12-14,1,No,No,"I used to play the piano and the violin. ",,,I tried to picture the pianist's hands on the piano.,"Headphones. Airpods. ",Agree,Neither Agree nor Disagree,Agree,SSSQ0062,39465
2020-11-22 01:44:51,2020-11-22 01:50:37,IP Address,1.235.116.212,100,346,True,2020-11-22 01:50:38,R_1yHt2O3AZTYAUPT,,,,,37.5984954833984375,126.978302001953125,anonymous,EN,20,Male,SONA for course credit,,English,,Detractor,3,0,N/A,0,Not sure,No,flute,"Mostly by the pitch and pattern of notes repeated ","Natural instinct ","Drastic change in notes such as how the note drops. ",Airpods,Agree,Neither Agree nor Disagree,Agree,SSSQ0061,39937
2020-11-22 05:23:20,2020-11-22 05:28:32,IP Address,202.66.60.169,100,312,True,2020-11-22 05:28:32,R_42DhnPqtipocUzn,,,,,22.25,114.16668701171875,anonymous,EN,19,Female,SONA for course credit,,Other (please specify below):,Chinese,Detractor,5,2-3,9-12,2-3,Not sure,"Yes, but not so well",piano,if the musical notes fit well together,"none, intuition",if certain notes repeat for many times,in-ear earphones,Strongly Agree,Agree,Agree,SSSQ0003,38374
2020-11-22 06:02:16,2020-11-22 06:05:54,IP Address,103.148.139.28,100,217,True,2020-11-22 06:05:55,R_1rkSDFbJnEJX8JX,,,,,19.074798583984375,72.8856048583984375,anonymous,EN,20,Female,SONA for course credit,,English,,Detractor,5,1,7-10,0,Yes,No,,By Taste,By previous melodies,If they were more prominent,Earphones,Strongly Disagree,Neither Agree nor Disagree,Agree,SSSQ0064,36018
