,subject,subject_age,Did this strategy change throughout the task?,How did you listen to the task?,"If you have had musical training, how old were you during this period (i.e., age-range)?",What is your first language?,Did you notice any change in the music? Elaborate,How did you arrive at this experiment?,What is your first language (if other)?,"Did you notice any particular changes in the music? In other words, did you base your discriminations on specific features of the melodies?",subject_gender,How did your strategy change throughout the task?,Would you consider yourself a musical person? (0-10),How many years of formal musical training do you have?,Do you play any instruments (with or without formal training)?,Which instruments do you play (if any)?,I understood the instructions of the task,I found the task difficult,What general strategy (if any) did you use to judge the similarity across the melodies?,RecordedDate,sona
0,BPB0001,20,No,SONY WH-1000XM5,,Other (please specify below):,,SONA for course credit,Albanian,No,Male,,2,0,No,,Agree,Agree,,2024-12-06 11:34:13,46824
1,BPB0002,20,No,in ear headphones ,,English,,SONA for course credit,,No,Female,,0,0,No,,Strongly Agree,Agree,,2024-12-06 13:31:08,44838
2,BPB0003,18,No,airpods,4-17,English,the beats were the same but the notes were different,SONA for course credit,,Yes,Female,,8,9+,"Yes, I am near professional","harp, piano, guitar, bass",Agree,Neither Agree nor Disagree,how many notes were off,2024-12-06 13:41:49,47567
3,BPB0004,20,No,Speakers of device,,Other (please specify below):,,SONA for course credit,Vietnamese,No,Male,,3,0,No,,Agree,Strongly Agree,"Just general ""cadence"" similar to how I perceive people's tone of voice",2024-12-10 04:12:20,43693
4,BPB0005,21,Yes,headphones,10-12,Spanish,sometimes the beat changed and the tone did,SONA for course credit,,Yes,Female,one was not the same as the other,7,2-3,"Yes, I do alright",pinao,Agree,Disagree,my ears,2024-12-06 16:16:04,46298
5,BPB0007,22,No,headphones,8,English,,SONA for course credit,,No,Male,,6,1,"Yes, but not so well",piano,Agree,Agree,just listening to the pattern of the notes,2024-12-06 15:57:06,47770
6,BPB0010,18,,Headphones,,English,,SONA for course credit,,No,Male,,2,0,No,,Agree,Agree,How it sounds,2024-12-08 08:54:38,47844
7,BPB0011,20,No,in-ear,5-10,English,,SONA for course credit,,No,Female,,2,2-3,"Yes, but not so well",drums,Neither Agree nor Disagree,Neither Agree nor Disagree,1,2024-12-06 17:12:54,47929
8,BPB0013,19,No,In ear,,English,,SONA for course credit,,No,Male,,1,0,No,,Agree,Agree,Nonw,2024-12-06 18:17:57,48042
9,BPB0014,19,No,headphones over the ear,4-18,Other (please specify below):,,SONA for course credit,Chinese,No,Female,,4,4-5,"Yes, I am near professional","piano, accordion, Zhongruan, guitar, guqin, double bass ",Strongly Agree,Strongly Agree,really have no idea,2024-12-06 19:25:24,47583
10,BPB0015,21,No,I used airpod pro.,9yrs old-14yrs old,Other (please specify below):,"Maybe because the given option shows ""option1 is different, none is different, and option 2 is different"" even though it sounds similar I was trying to find the difference.",SONA for course credit,Korean,Yes,Female,,6,4-5,"Yes, but not so well",Piano,Agree,Neither Agree nor Disagree,Well I basically compare those melody by the pitch (how the note is high or low).,2024-12-06 22:20:40,48177
11,BPB0016,19,No,Headphones,12-19,English,I try to see if the pitch matches each time and general pattern ,SONA for course credit,,Yes,Female,,8,6-8,"Yes, I am near professional","Clarinet, Piano ",Strongly Disagree,Strongly Agree,"Pitches, major chords, minor chords,",2024-12-06 23:25:29,47873
12,BPB0017,21,No,in ear air pods,,English,,SONA for course credit,,No,Female,,1,0,"Yes, but not so well","guitar, ukelele, clarinet, flute, piano",Agree,Disagree,I just listened and tapped on my fingers,2024-12-06 23:00:52,47671
13,BPB0018,20,No,Air Pods Pro 2,8-9,English,There were certain points where there was an extra beat or the octave was higher or lower,SONA for course credit,,No,Female,,6,1,No,,Strongly Agree,Strongly Disagree,Melody/ counts,2024-12-06 23:09:31,45048
14,BPB0019,20,No,in-ear headphones,14-17,English,,SONA for course credit,,No,Female,,6,2-3,"Yes, but not so well","Flute, Piano, Guitar",Strongly Agree,Agree,How close the pitches were and how many notes were different,2024-12-06 23:20:11,45325
15,BPB0020,18,No,in-ear headphones,,English,like the pitch would be lower sometimes,SONA for course credit,,Yes,Female,,4,0,"Yes, I do alright",flute and piano,Agree,Agree,"listen for low and high. like see if there's more low or high notes. Also, I pay more attention at the beginning and end.",2024-12-07 12:24:05,47612
16,BPB0021,19,No,yes in ear headphones (airpods),4-13,English,different notes and tones ,SONA for course credit,,Yes,Female,,9,6-8,No,,Strongly Agree,Disagree,,2024-12-07 13:50:55,47559
17,BPB0022,19,No,Over-the-ear headphones. Logitech G-Pro Wireless Headset,,English,"the volume of the melodies, some notes sounded louder than others, others sounded lower pitched than others.",SONA for course credit,,Yes,Male,,1,0,No,,Agree,Agree,,2024-12-07 17:13:57,48190
18,BPB0023,20,No,in-ear earphones,,English,,SONA for course credit,,No,Female,,2,0,No,,Strongly Agree,Neither Agree nor Disagree,pitch ,2024-12-07 15:21:35,47690
19,BPB0024,20,No,in-ear,6-15,Other (please specify below):,,SONA for course credit,Chinese,No,Female,,2,6-8,"Yes, I do alright",piano flute,Agree,Agree,1,2024-12-07 16:51:13,47511
20,BPB0025,20,No,Airpod max,,English,,SONA for course credit,,No,Female,,7,0,No,,Strongly Agree,Neither Agree nor Disagree,low and high pitch,2024-12-07 15:43:49,47494
21,BPB0026,23,No,,,Other (please specify below):,,SONA for course credit,chinese,No,Male,,6,0,No,,Neither Agree nor Disagree,Neither Agree nor Disagree,,2024-12-07 16:14:33,47032
22,BPB0027,20,No,airpods,5-17,English,if a certain note was unexpected,SONA for course credit,,Yes,Female,,8,9+,"Yes, I am near professional",piano,Strongly Agree,Strongly Agree,"patterns if the melody was ascending or descending, standout notes",2024-12-07 17:04:44,48181
23,BPB0028,20,No,,17-18,Other (please specify below):,,SONA for course credit,TURKISH,No,Male,,7,1,"Yes, I do alright",I sing,Strongly Agree,Neither Agree nor Disagree,carefully listening,2024-12-07 18:16:19,47916
24,BPB0029,19,No,in ear headphones,,English,,SONA for course credit,,No,Male,,1,0,No,,Strongly Agree,Neither Agree nor Disagree,,2024-12-07 18:05:20,47503
25,BPB0031,20,No,in ear headphones,,Spanish,,SONA for course credit,,No,Female,,0,0,No,,Strongly Agree,Agree,,2024-12-07 18:28:08,48001
26,BPB0033,19,,,,English,,SONA for course credit,,No,Female,,2,0,No,,Agree,Agree,,2024-12-07 23:10:50,47642
27,BPB0034,21,No,in-ear,,Other (please specify below):,the key change ,SONA for course credit,Chinese,Yes,Male,,5,4-5,"Yes, but not so well",piano,Neither Agree nor Disagree,Neither Agree nor Disagree,just listen,2024-12-07 22:32:30,47304
28,BPB0035,20,Yes,studio monitors,,Other (please specify below):,"""zi zi"" Sound",SONA for course credit,Chinese,Yes,Male,"The time of ""zizi""",0,0,No,,Strongly Agree,Strongly Agree,,2024-12-07 22:02:19,47550
29,BPB0036,19,No,in-ear headphone,6-10,Other (please specify below):,,SONA for course credit,Chinese,No,Female,,4,4-5,"Yes, but not so well",Piano,Agree,Agree,Level 6,2024-12-07 23:13:53,47510
