StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q16,Q17,Q14,Q18,Q3_NPS_GROUP,Q3,Q4,Q13,Q5,Q6,Q9,Q19,Q15,Q10,Q20,Q11,Q8_1,Q8_2,Q16,sub,sona
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How old are you?,What sex were you assigned at birth?,How did you arrive at this experiment?,"If you chose ""Other"", please specify below:",What is your first language?,"If you chose ""Other"", please specify below:",Would you consider yourself a musical person? - Group,Would you consider yourself a musical person?,How many years of formal musical training do you have?,"If you have had musical training, how old were you during this period (i.e., age-range)?",Do you play any instruments (with or without formal training),Which instruments do you play (if any)?,What general strategy (if any) did you use to judge the similarity across the melodies?,"Did you notice any particular changes in the music? In other words, did you base your discriminations on specific features of the melodies?","If you answered ""yes"" to the question above, please elaborate below",Did this strategy change throughout the task?,"If you answered ""yes"" to the question above, please elaborate below one which (approximate) block you changed your strategy, and how.","Did you listen to the task using headphones or speakers? Please indicate style (in-ear, over-the-ear, studio monitors, etc.), make, and model to the best of your ability",Please indicate your choice below - I understood the instructions of the task,Please indicate your choice below - I found the task difficult,"I feel that I have been adequately debriefed about the nature of the study. The investigator hasexplained the purposes of the research to me, and I feel that any questions I have asked weresatisfactorily answered.",sub,sona
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID2_NPS_GROUP""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID16""}","{""ImportId"":""sub""}","{""ImportId"":""sona""}"
2024-12-06 11:32:46,2024-12-06 11:34:13,IP Address,216.165.95.133,100,87,True,2024-12-06 11:34:13,R_7Fm7VGf0wAE2zQA,,,,,40.7359,-73.9904,anonymous,EN,20,Male,SONA for course credit,,Other (please specify below):,Albanian,Detractor,2,0,,No,,,No,,No,,SONY WH-1000XM5,Agree,Agree,Agree,BPB0001,46824
2024-12-06 13:25:24,2024-12-06 13:31:08,IP Address,172.56.162.232,100,343,True,2024-12-06 13:31:08,R_51Tuqijwcw6OJLV,,,,,40.7252,-73.944,anonymous,EN,20,Female,SONA for course credit,,English,,Detractor,0,0,n/a,No,,,No,,No,,"in ear headphones ",Strongly Agree,Agree,Agree,BPB0002,44838
2024-12-06 13:39:30,2024-12-06 13:41:49,IP Address,216.165.95.129,100,138,True,2024-12-06 13:41:49,R_7Ioz2riBSv9KTPc,,,,,40.7359,-73.9904,anonymous,EN,18,Female,SONA for course credit,,English,,Passive,8,9+,4-17,"Yes, I am near professional","harp, piano, guitar, bass",how many notes were off,Yes,the beats were the same but the notes were different,No,,airpods,Agree,Neither Agree nor Disagree,Agree,BPB0003,47567
2024-12-06 15:56:08,2024-12-06 15:57:06,IP Address,216.165.95.146,100,57,True,2024-12-06 15:57:06,R_5QazN4L8hv7rGIO,,,,,40.7359,-73.9904,anonymous,EN,22,Male,SONA for course credit,,English,,Detractor,6,1,8,"Yes, but not so well",piano,just listening to the pattern of the notes,No,,No,,headphones,Agree,Agree,Agree,BPB0007,47770
2024-12-06 16:14:34,2024-12-06 16:16:04,IP Address,50.74.134.26,100,90,True,2024-12-06 16:16:04,R_7AWvWcxjYffYtPj,,,,,40.7365,-74.0055,anonymous,EN,21,Female,SONA for course credit,,Spanish,,Passive,7,2-3,10-12,"Yes, I do alright",pinao,my ears,Yes,sometimes the beat changed and the tone did,Yes,one was not the same as the other,headphones,Agree,Disagree,Agree,BPB0005,46298
2024-12-06 17:11:43,2024-12-06 17:12:54,IP Address,108.5.118.246,100,70,True,2024-12-06 17:12:54,R_3WZqNjk6xrySGHL,,,,,40.718,-74.0733,anonymous,EN,20,Female,SONA for course credit,,English,,Detractor,2,2-3,5-10,"Yes, but not so well",drums,1,No,,No,,in-ear,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,BPB0011,47929
2024-12-06 18:17:07,2024-12-06 18:17:56,IP Address,12.74.53.82,100,49,True,2024-12-06 18:17:57,R_17BAG7iXaoSV6kj,,,,,40.6764,-73.8753,anonymous,EN,19,Male,SONA for course credit,,English,,Detractor,1,0,,No,,Nonw,No,,No,,In ear,Agree,Agree,Agree,BPB0013,48042
2024-12-06 19:20:57,2024-12-06 19:25:23,IP Address,207.96.92.112,100,266,True,2024-12-06 19:25:24,R_1HMlzC43c5wycAZ,,,,,40.763,-73.9926,anonymous,EN,19,Female,SONA for course credit,,Other (please specify below):,Chinese,Detractor,4,4-5,4-18,"Yes, I am near professional","piano, accordion, Zhongruan, guitar, guqin, double bass ",really have no idea,No,,No,,headphones over the ear,Strongly Agree,Strongly Agree,Agree,BPB0014,47583
2024-12-06 22:16:10,2024-12-06 22:20:39,IP Address,216.165.95.130,100,269,True,2024-12-06 22:20:40,R_6qZ9zzosuZGbrZT,,,,,40.7359,-73.9904,anonymous,EN,21,Female,SONA for course credit,,Other (please specify below):,Korean,Detractor,6,4-5,9yrs old-14yrs old,"Yes, but not so well",Piano,Well I basically compare those melody by the pitch (how the note is high or low).,Yes,"Maybe because the given option shows ""option1 is different, none is different, and option 2 is different"" even though it sounds similar I was trying to find the difference.",No,,I used airpod pro.,Agree,Neither Agree nor Disagree,Agree,BPB0015,48177
2024-12-06 22:59:04,2024-12-06 23:00:51,IP Address,47.230.198.70,100,106,True,2024-12-06 23:00:52,R_5c0JfVQ2VlOMA37,,,,,40.7114,-74.0005,anonymous,EN,21,Female,SONA for course credit,,English,,Detractor,1,0,,"Yes, but not so well","guitar, ukelele, clarinet, flute, piano",I just listened and tapped on my fingers,No,,No,,in ear air pods,Agree,Disagree,Agree,BPB0017,47671
2024-12-06 23:05:54,2024-12-06 23:09:31,IP Address,216.165.95.142,100,217,True,2024-12-06 23:09:31,R_1EOcVKuHpKa33gt,,,,,40.7359,-73.9904,anonymous,EN,20,Female,SONA for course credit,,English,,Detractor,6,1,8-9,No,,Melody/ counts,No,There were certain points where there was an extra beat or the octave was higher or lower,No,,Air Pods Pro 2,Strongly Agree,Strongly Disagree,Agree,BPB0018,45048
2024-12-06 23:18:06,2024-12-06 23:20:11,IP Address,72.43.174.146,100,125,True,2024-12-06 23:20:11,R_1DdAOPrEHZ1AL9c,,,,,40.8547,-73.9218,anonymous,EN,20,Female,SONA for course credit,,English,,Detractor,6,2-3,14-17,"Yes, but not so well","Flute, Piano, Guitar",How close the pitches were and how many notes were different,No,,No,,in-ear headphones,Strongly Agree,Agree,Agree,BPB0019,45325
2024-12-06 23:23:26,2024-12-06 23:25:29,IP Address,74.101.166.224,100,122,True,2024-12-06 23:25:29,R_3DweoVCfxgVF0Pf,,,,,40.7809,-73.9502,anonymous,EN,19,Female,SONA for course credit,,English,,Passive,8,6-8,12-19,"Yes, I am near professional","Clarinet, Piano ","Pitches, major chords, minor chords,",Yes,"I try to see if the pitch matches each time and general pattern ",No,,Headphones,Strongly Disagree,Strongly Agree,Agree,BPB0016,47873
2024-12-07 12:21:09,2024-12-07 12:24:04,IP Address,216.165.95.179,100,175,True,2024-12-07 12:24:05,R_7rEYdQjwYiJbPr3,,,,,40.7359,-73.9904,anonymous,EN,18,Female,SONA for course credit,,English,,Detractor,4,0,,"Yes, I do alright",flute and piano,"listen for low and high. like see if there's more low or high notes. Also, I pay more attention at the beginning and end.",Yes,like the pitch would be lower sometimes,No,,in-ear headphones,Agree,Agree,Agree,BPB0020,47612
2024-12-07 13:48:47,2024-12-07 13:50:54,IP Address,216.165.95.167,100,126,True,2024-12-07 13:50:55,R_32Qgkb438bfbVqK,,,,,40.7359,-73.9904,anonymous,EN,19,Female,SONA for course credit,,English,,Promoter,9,6-8,4-13,No,,,Yes,"different notes and tones ",No,,yes in ear headphones (airpods),Strongly Agree,Disagree,Agree,BPB0021,47559
2024-12-07 15:20:25,2024-12-07 15:21:35,IP Address,216.165.95.157,100,69,True,2024-12-07 15:21:35,R_6guPj2baTBsgTm1,,,,,40.7359,-73.9904,anonymous,EN,20,Female,SONA for course credit,,English,,Detractor,2,0,,No,,"pitch ",No,,No,,in-ear earphones,Strongly Agree,Neither Agree nor Disagree,Agree,BPB0023,47690
2024-12-07 15:42:39,2024-12-07 15:43:49,IP Address,216.165.95.141,100,69,True,2024-12-07 15:43:49,R_7SrsT1vcK4ZKKXL,,,,,40.7359,-73.9904,anonymous,EN,20,Female,SONA for course credit,,English,,Passive,7,0,,No,,low and high pitch,No,,No,,Airpod max,Strongly Agree,Neither Agree nor Disagree,Agree,BPB0025,47494
2024-12-07 16:13:46,2024-12-07 16:14:32,IP Address,38.125.76.90,100,46,True,2024-12-07 16:14:33,R_5Z3ZSWuNjaU0RtT,,,,,40.7428,-73.9712,anonymous,EN,23,Male,SONA for course credit,,Other (please specify below):,chinese,Detractor,6,0,,No,,,No,,No,,,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,BPB0026,47032
2024-12-07 16:49:46,2024-12-07 16:51:12,IP Address,216.165.95.167,100,86,True,2024-12-07 16:51:13,R_51mVxPED1TCosCA,,,,,40.7359,-73.9904,anonymous,EN,20,Female,SONA for course credit,,Other (please specify below):,Chinese,Detractor,2,6-8,6-15,"Yes, I do alright",piano flute,1,No,,No,,in-ear,Agree,Agree,Agree,BPB0024,47511
2024-12-07 17:03:14,2024-12-07 17:04:43,IP Address,216.165.95.147,100,88,True,2024-12-07 17:04:44,R_7mZYMWyjFOFjkoA,,,,,40.7359,-73.9904,anonymous,EN,20,Female,SONA for course credit,,English,,Passive,8,9+,5-17,"Yes, I am near professional",piano,"patterns if the melody was ascending or descending, standout notes",Yes,if a certain note was unexpected,No,,airpods,Strongly Agree,Strongly Agree,Agree,BPB0027,48181
2024-12-07 17:11:20,2024-12-07 17:13:57,IP Address,108.6.19.220,100,157,True,2024-12-07 17:13:57,R_30Nqs7o2jkKF5z3,,,,,40.726,-73.848,anonymous,EN,19,Male,SONA for course credit,,English,,Detractor,1,0,,No,,,Yes,"the volume of the melodies, some notes sounded louder than others, others sounded lower pitched than others.",No,,Over-the-ear headphones. Logitech G-Pro Wireless Headset,Agree,Agree,Agree,BPB0022,48190
2024-12-07 18:04:34,2024-12-07 18:05:19,IP Address,216.165.95.161,100,45,True,2024-12-07 18:05:20,R_5usJ1D3EosXvP9m,,,,,40.7359,-73.9904,anonymous,EN,19,Male,SONA for course credit,,English,,Detractor,1,0,,No,,,No,,No,,in ear headphones,Strongly Agree,Neither Agree nor Disagree,Agree,BPB0029,47503
2024-12-07 18:15:08,2024-12-07 18:16:19,IP Address,216.165.95.189,100,70,True,2024-12-07 18:16:19,R_1EXbKCW7fFDAvzb,,,,,40.7359,-73.9904,anonymous,EN,20,Male,SONA for course credit,,Other (please specify below):,TURKISH,Passive,7,1,17-18,"Yes, I do alright",I sing,carefully listening,No,,No,,,Strongly Agree,Neither Agree nor Disagree,Agree,BPB0028,47916
