,index,rt,stimulus,key_press,name_x,trial_type,trial_index,time_elapsed,internal_node_id,response,certainty,char,transposition,order,probe_pitches,shifted_pitches,swapped_pitches,shift_direction,question_num,has_decoy,subject,sona_x,block,time,malformed,set,option_1,option_2,chose,Unnamed: 0,subject_age,Did this strategy change throughout the task?,How did you listen to the task?,"If you have had musical training, how old were you during this period (i.e., age-range)?",What is your first language?,Did you notice any change in the music? Elaborate,How did you arrive at this experiment?,What is your first language (if other)?,"Did you notice any particular changes in the music? In other words, did you base your discriminations on specific features of the melodies?",subject_gender,How did your strategy change throughout the task?,Would you consider yourself a musical person? (0-10),How many years of formal musical training do you have?,Do you play any instruments (with or without formal training)?,Which instruments do you play (if any)?,I understood the instructions of the task,I found the task difficult,What general strategy (if any) did you use to judge the similarity across the melodies?,RecordedDate,sona_y,understood task,I7_count,I5_count,I1_count,I11_count,name_y,id,triads,propriety,lerdahl_instable_modes,unique_step_sizes,IC1,IC2,IC3,IC4,IC5,IC6,IV_sum,num_of_trichords,total_trichords,num_of_triads,consecutive_semitones,subset_of_diatonic,cardinality,step_mean_error,step_mean_error_cents,unevenness,binary_unevenness,subset_of_MOLT,num_of_transpositions,dissonance_min,dissonance_max,dissonance_med,dissonance_mean,violations,segments,role_clarity,motive_strength,lev_penta,lev_dia,stackable_in_3rds,fully_scalar,imperfections,area,inverse_cardinal,prime_form,diatonic_parents,harmonicm_parents,melodicm_parents,unique_diads,total_diads,sameness_quotient,coherence_quotient,note2,note3,note4,note5,unique_n_chords,unique_n_chords_prime,diatonic_n_chords,diagnostic_interval_count,diagnostic_intervals,diagnostic_combinations,necklace_family,necklace_family_members,evenness_of_spread,step_similarity,constituent_similarity,roughness,cardinality_variety_ratio,mode_variance,differences,ambiguities,contradictions,virtual_cardinality,edo,fragment1_name,fragment2_name,step_mean_error_min,step_mean_error_max,smallest_step,step_sizes,fragment1_EOS,fragment2_EOS,rahn_differences,rahn_contradictions,rahn_ambiguities,symmetry,m2,P5,Mm3,normal,normal_name,normal_as_12edo,normal12_name,normal_as_24edo,normal24_name
0,179,544.9000000022352,"[A] option 1, [L] option 2, [G] neither",76,choice,html-keyboard-response,219,513050,0.0-219.0,2nd,high,L,-2,"['shifted', 'swapped']",4 10 4 7 -2 1 -2 10 1 7 10 1 4 10 1 7,4 10 4 7 -2 1 -2 9 1 7 10 1 4 10 1 7,4 10 4 7 -2 1 -2 1 10 7 10 1 4 10 1 7,-1,191,False,ATON0007,46199,3,2023-10-02 22:10:15.919000+00:00,,diminished,shifted,swapped,swapped,3,20.0,No,speakers on monitor (laptop),,English,,SONA for course credit,,No,Male,,5.0,0,No,,Agree,Strongly Agree,hearing and paying close attention the melodies to see if there is any change ,2023-10-02 18:37:29,46199,True,0,0,0,0,585,0,0,strictly proper,0,1,0,0,4,0,0,2,6,1,4,0,0,False,4,0,0,0,0.0,1,3,0.0811925466152858,0.0811925466152858,0.0811925466152858,0.0811925466152858,8,1,2,5,3,5,True,False,4,0.6366197723675898,585,1,0,4,0,2,8,1,1,3,6,9,,4,4,4,0,,0,3 3 3 3,1,0.0,1,1,0.0811925466152858,2.5,0,0,0,0,4,12,S6-9,S6-9,0,5,300,300,0,0,0,0,0,1,0,0,0,"0,3,6,9",12-585,"0,3,6,9",12-585,"0,6,12,18",24-266305
1,177,3241.39999999851,"[A] option 1, [L] option 2, [G] neither",76,choice,html-keyboard-response,197,465106,0.0-197.0,2nd,high,L,2,"['swapped', 'shifted']",10 4 10 4 1 4 -2 4 10 7 4 1 10 7 1 7,10 4 10 4 1 4 -2 3 10 7 4 1 10 7 1 7,10 4 10 4 1 4 -2 10 4 7 4 1 10 7 1 7,-1,171,False,ATON0007,46199,3,2023-10-02 22:10:15.919000+00:00,,diminished,swapped,shifted,shifted,3,20.0,No,speakers on monitor (laptop),,English,,SONA for course credit,,No,Male,,5.0,0,No,,Agree,Strongly Agree,hearing and paying close attention the melodies to see if there is any change ,2023-10-02 18:37:29,46199,True,0,0,0,0,585,0,0,strictly proper,0,1,0,0,4,0,0,2,6,1,4,0,0,False,4,0,0,0,0.0,1,3,0.0811925466152858,0.0811925466152858,0.0811925466152858,0.0811925466152858,8,1,2,5,3,5,True,False,4,0.6366197723675898,585,1,0,4,0,2,8,1,1,3,6,9,,4,4,4,0,,0,3 3 3 3,1,0.0,1,1,0.0811925466152858,2.5,0,0,0,0,4,12,S6-9,S6-9,0,5,300,300,0,0,0,0,0,1,0,0,0,"0,3,6,9",12-585,"0,3,6,9",12-585,"0,6,12,18",24-266305
2,176,3986.10000000149,"[A] option 1, [L] option 2, [G] neither",71,choice,html-keyboard-response,186,439720,0.0-186.0,neither,high,G,-1,"['swapped', 'shifted']",-2 1 4 -2 1 10 7 -2 10 7 -2 7 4 -2 7 -2,-2 1 4 -2 1 10 7 -3 10 7 -2 7 4 -2 7 -2,-2 1 4 -2 1 10 7 10 -2 7 -2 7 4 -2 7 -2,-1,161,False,ATON0007,46199,3,2023-10-02 22:10:15.919000+00:00,,diminished,swapped,shifted,neither,3,20.0,No,speakers on monitor (laptop),,English,,SONA for course credit,,No,Male,,5.0,0,No,,Agree,Strongly Agree,hearing and paying close attention the melodies to see if there is any change ,2023-10-02 18:37:29,46199,True,0,0,0,0,585,0,0,strictly proper,0,1,0,0,4,0,0,2,6,1,4,0,0,False,4,0,0,0,0.0,1,3,0.0811925466152858,0.0811925466152858,0.0811925466152858,0.0811925466152858,8,1,2,5,3,5,True,False,4,0.6366197723675898,585,1,0,4,0,2,8,1,1,3,6,9,,4,4,4,0,,0,3 3 3 3,1,0.0,1,1,0.0811925466152858,2.5,0,0,0,0,4,12,S6-9,S6-9,0,5,300,300,0,0,0,0,0,1,0,0,0,"0,3,6,9",12-585,"0,3,6,9",12-585,"0,6,12,18",24-266305
3,174,1497.0,"[A] option 1, [L] option 2, [G] neither",71,choice,html-keyboard-response,164,388101,0.0-164.0,neither,high,G,0,"['swapped', 'shifted']",7 1 -2 1 4 1 4 1 -2 10 7 1 10 4 -2 7,7 1 -2 1 4 1 4 1 -1 10 7 1 10 4 -2 7,7 1 -2 1 4 1 4 -2 1 10 7 1 10 4 -2 7,1,141,False,ATON0007,46199,3,2023-10-02 22:10:15.919000+00:00,,diminished,swapped,shifted,neither,3,20.0,No,speakers on monitor (laptop),,English,,SONA for course credit,,No,Male,,5.0,0,No,,Agree,Strongly Agree,hearing and paying close attention the melodies to see if there is any change ,2023-10-02 18:37:29,46199,True,0,0,0,0,585,0,0,strictly proper,0,1,0,0,4,0,0,2,6,1,4,0,0,False,4,0,0,0,0.0,1,3,0.0811925466152858,0.0811925466152858,0.0811925466152858,0.0811925466152858,8,1,2,5,3,5,True,False,4,0.6366197723675898,585,1,0,4,0,2,8,1,1,3,6,9,,4,4,4,0,,0,3 3 3 3,1,0.0,1,1,0.0811925466152858,2.5,0,0,0,0,4,12,S6-9,S6-9,0,5,300,300,0,0,0,0,0,1,0,0,0,"0,3,6,9",12-585,"0,3,6,9",12-585,"0,6,12,18",24-266305
4,170,466.5999999977648,"[A] option 1, [L] option 2, [G] neither",76,choice,html-keyboard-response,120,288093,0.0-120.0,2nd,high,L,-2,"['swapped', 'shifted']",7 4 10 4 10 4 7 4 1 7 10 1 -2 4 7 4,7 4 10 4 10 4 7 4 2 7 10 1 -2 4 7 4,7 4 10 4 10 4 7 1 4 7 10 1 -2 4 7 4,1,101,False,ATON0007,46199,3,2023-10-02 22:10:15.919000+00:00,,diminished,swapped,shifted,shifted,3,20.0,No,speakers on monitor (laptop),,English,,SONA for course credit,,No,Male,,5.0,0,No,,Agree,Strongly Agree,hearing and paying close attention the melodies to see if there is any change ,2023-10-02 18:37:29,46199,True,0,0,0,0,585,0,0,strictly proper,0,1,0,0,4,0,0,2,6,1,4,0,0,False,4,0,0,0,0.0,1,3,0.0811925466152858,0.0811925466152858,0.0811925466152858,0.0811925466152858,8,1,2,5,3,5,True,False,4,0.6366197723675898,585,1,0,4,0,2,8,1,1,3,6,9,,4,4,4,0,,0,3 3 3 3,1,0.0,1,1,0.0811925466152858,2.5,0,0,0,0,4,12,S6-9,S6-9,0,5,300,300,0,0,0,0,0,1,0,0,0,"0,3,6,9",12-585,"0,3,6,9",12-585,"0,6,12,18",24-266305
5,168,4758.699999999255,"[A] option 1, [L] option 2, [G] neither",65,choice,html-keyboard-response,98,239295,0.0-98.0,1st,high,A,1,"['shifted', 'swapped']",4 7 4 10 7 1 4 -2 10 7 4 1 -2 10 -2 1,4 7 4 10 7 1 4 -3 10 7 4 1 -2 10 -2 1,4 7 4 10 7 1 4 10 -2 7 4 1 -2 10 -2 1,-1,81,False,ATON0007,46199,3,2023-10-02 22:10:15.919000+00:00,,diminished,shifted,swapped,shifted,3,20.0,No,speakers on monitor (laptop),,English,,SONA for course credit,,No,Male,,5.0,0,No,,Agree,Strongly Agree,hearing and paying close attention the melodies to see if there is any change ,2023-10-02 18:37:29,46199,True,0,0,0,0,585,0,0,strictly proper,0,1,0,0,4,0,0,2,6,1,4,0,0,False,4,0,0,0,0.0,1,3,0.0811925466152858,0.0811925466152858,0.0811925466152858,0.0811925466152858,8,1,2,5,3,5,True,False,4,0.6366197723675898,585,1,0,4,0,2,8,1,1,3,6,9,,4,4,4,0,,0,3 3 3 3,1,0.0,1,1,0.0811925466152858,2.5,0,0,0,0,4,12,S6-9,S6-9,0,5,300,300,0,0,0,0,0,1,0,0,0,"0,3,6,9",12-585,"0,3,6,9",12-585,"0,6,12,18",24-266305
6,166,1881.6000000014901,"[A] option 1, [L] option 2, [G] neither",71,choice,html-keyboard-response,76,185025,0.0-76.0,neither,high,G,3,"['swapped', 'shifted']",-2 4 7 4 1 7 4 7 -2 4 7 10 -2 1 7 4,-2 4 7 4 1 7 4 7 -1 4 7 10 -2 1 7 4,-2 4 7 4 1 7 4 -2 7 4 7 10 -2 1 7 4,1,61,False,ATON0007,46199,3,2023-10-02 22:10:15.919000+00:00,,diminished,swapped,shifted,neither,3,20.0,No,speakers on monitor (laptop),,English,,SONA for course credit,,No,Male,,5.0,0,No,,Agree,Strongly Agree,hearing and paying close attention the melodies to see if there is any change ,2023-10-02 18:37:29,46199,True,0,0,0,0,585,0,0,strictly proper,0,1,0,0,4,0,0,2,6,1,4,0,0,False,4,0,0,0,0.0,1,3,0.0811925466152858,0.0811925466152858,0.0811925466152858,0.0811925466152858,8,1,2,5,3,5,True,False,4,0.6366197723675898,585,1,0,4,0,2,8,1,1,3,6,9,,4,4,4,0,,0,3 3 3 3,1,0.0,1,1,0.0811925466152858,2.5,0,0,0,0,4,12,S6-9,S6-9,0,5,300,300,0,0,0,0,0,1,0,0,0,"0,3,6,9",12-585,"0,3,6,9",12-585,"0,6,12,18",24-266305
7,165,1704.0999999977648,"[A] option 1, [L] option 2, [G] neither",71,choice,html-keyboard-response,65,160490,0.0-65.0,neither,high,G,-3,"['shifted', 'swapped']",-2 1 -2 4 -2 7 10 -2 7 10 7 4 7 4 10 7,-2 1 -2 4 -2 7 10 -2 6 10 7 4 7 4 10 7,-2 1 -2 4 -2 7 10 7 -2 10 7 4 7 4 10 7,-1,51,False,ATON0007,46199,3,2023-10-02 22:10:15.919000+00:00,,diminished,shifted,swapped,neither,3,20.0,No,speakers on monitor (laptop),,English,,SONA for course credit,,No,Male,,5.0,0,No,,Agree,Strongly Agree,hearing and paying close attention the melodies to see if there is any change ,2023-10-02 18:37:29,46199,True,0,0,0,0,585,0,0,strictly proper,0,1,0,0,4,0,0,2,6,1,4,0,0,False,4,0,0,0,0.0,1,3,0.0811925466152858,0.0811925466152858,0.0811925466152858,0.0811925466152858,8,1,2,5,3,5,True,False,4,0.6366197723675898,585,1,0,4,0,2,8,1,1,3,6,9,,4,4,4,0,,0,3 3 3 3,1,0.0,1,1,0.0811925466152858,2.5,0,0,0,0,4,12,S6-9,S6-9,0,5,300,300,0,0,0,0,0,1,0,0,0,"0,3,6,9",12-585,"0,3,6,9",12-585,"0,6,12,18",24-266305
8,162,5165.60000000149,"[A] option 1, [L] option 2, [G] neither",76,choice,html-keyboard-response,32,82629,0.0-32.0,2nd,high,L,-1,"['shifted', 'swapped']",10 4 7 4 -2 4 10 -2 1 7 -2 7 4 7 4 7,10 4 7 4 -2 4 10 -1 1 7 -2 7 4 7 4 7,10 4 7 4 -2 4 10 1 -2 7 -2 7 4 7 4 7,1,21,False,ATON0007,46199,3,2023-10-02 22:10:15.919000+00:00,,diminished,shifted,swapped,swapped,3,20.0,No,speakers on monitor (laptop),,English,,SONA for course credit,,No,Male,,5.0,0,No,,Agree,Strongly Agree,hearing and paying close attention the melodies to see if there is any change ,2023-10-02 18:37:29,46199,True,0,0,0,0,585,0,0,strictly proper,0,1,0,0,4,0,0,2,6,1,4,0,0,False,4,0,0,0,0.0,1,3,0.0811925466152858,0.0811925466152858,0.0811925466152858,0.0811925466152858,8,1,2,5,3,5,True,False,4,0.6366197723675898,585,1,0,4,0,2,8,1,1,3,6,9,,4,4,4,0,,0,3 3 3 3,1,0.0,1,1,0.0811925466152858,2.5,0,0,0,0,4,12,S6-9,S6-9,0,5,300,300,0,0,0,0,0,1,0,0,0,"0,3,6,9",12-585,"0,3,6,9",12-585,"0,6,12,18",24-266305
9,161,2516.5,"[A] option 1, [L] option 2, [G] neither",76,choice,html-keyboard-response,21,54573,0.0-21.0,2nd,high,L,-3,"['shifted', 'swapped']",-2 1 -2 4 10 1 10 7 1 4 7 10 4 7 -2 7,-2 1 -2 4 10 1 10 7 2 4 7 10 4 7 -2 7,-2 1 -2 4 10 1 10 1 7 4 7 10 4 7 -2 7,1,11,False,ATON0007,46199,3,2023-10-02 22:10:15.919000+00:00,,diminished,shifted,swapped,swapped,3,20.0,No,speakers on monitor (laptop),,English,,SONA for course credit,,No,Male,,5.0,0,No,,Agree,Strongly Agree,hearing and paying close attention the melodies to see if there is any change ,2023-10-02 18:37:29,46199,True,0,0,0,0,585,0,0,strictly proper,0,1,0,0,4,0,0,2,6,1,4,0,0,False,4,0,0,0,0.0,1,3,0.0811925466152858,0.0811925466152858,0.0811925466152858,0.0811925466152858,8,1,2,5,3,5,True,False,4,0.6366197723675898,585,1,0,4,0,2,8,1,1,3,6,9,,4,4,4,0,,0,3 3 3 3,1,0.0,1,1,0.0811925466152858,2.5,0,0,0,0,4,12,S6-9,S6-9,0,5,300,300,0,0,0,0,0,1,0,0,0,"0,3,6,9",12-585,"0,3,6,9",12-585,"0,6,12,18",24-266305
