StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q16,Q17,Q14,Q18,Q3_NPS_GROUP,Q3,Q4,Q13,Q5,Q6,Q9,Q19,Q15,Q10,Q20,Q11,Q8_1,Q8_2,Q16,sub,sona
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How old are you?,What sex were you assigned at birth?,How did you arrive at this experiment?,"If you chose ""Other"", please specify below:",What is your first language?,"If you chose ""Other"", please specify below:",Would you consider yourself a musical person? - Group,Would you consider yourself a musical person?,How many years of formal musical training do you have?,"If you have had musical training, how old were you during this period (i.e., age-range)?",Do you play any instruments (with or without formal training),Which instruments do you play (if any)?,What general strategy (if any) did you use to judge the similarity across the melodies?,"Did you notice any particular changes in the music? In other words, did you base your discriminations on specific features of the melodies?","If you answered ""yes"" to the question above, please elaborate below",Did this strategy change throughout the task?,"If you answered ""yes"" to the question above, please elaborate below one which (approximate) block you changed your strategy, and how.","Did you listen to the task using headphones or speakers? Please indicate style (in-ear, over-the-ear, studio monitors, etc.), make, and model to the best of your ability",Please indicate your choice below - I understood the instructions of the task,Please indicate your choice below - I found the task difficult,"I feel that I have been adequately debriefed about the nature of the study. The investigator hasexplained the purposes of the research to me, and I feel that any questions I have asked weresatisfactorily answered.",sub,sona
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID2_NPS_GROUP""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID16""}","{""ImportId"":""sub""}","{""ImportId"":""sona""}"
2024-12-04 15:51:29,2024-12-04 15:53:04,IP Address,216.165.95.190,100,95,True,2024-12-04 15:53:05,R_6fNcuc6B9jZp7kR,,,,,40.7359,-73.9904,anonymous,EN,20,Female,SONA for course credit,,English,,Passive,8,0,,No,,High vs low notes,No,,No,,Over the ear Airpod Max,Strongly Agree,Neither Agree nor Disagree,Agree,ATONB0004,47494
2024-12-04 15:58:47,2024-12-04 15:59:52,IP Address,216.165.95.150,100,64,True,2024-12-04 15:59:52,R_5JLMIUQe2uB16R8,,,,,40.7359,-73.9904,anonymous,EN,,Male,SONA for course credit,,Other (please specify below):,Chinese,Detractor,3,0,,"Yes, but not so well",Guitar,Nope,No,,No,,Speaker,Agree,Agree,Agree,ATONB0002,47989
2024-12-04 16:35:00,2024-12-04 16:35:59,IP Address,216.165.95.147,100,58,True,2024-12-04 16:35:59,R_6QMhyI7kzLGF2nr,,,,,40.7359,-73.9904,anonymous,EN,18,Female,SONA for course credit,,English,,Detractor,2,2-3,9-11,No,,I tried to listen for differences in notes.,No,,No,,"Headphones, in the ear, AirPods Pro",Strongly Disagree,Neither Agree nor Disagree,Agree,ATONB0005,47507
2024-12-04 16:30:19,2024-12-04 16:36:05,IP Address,216.165.95.133,100,345,True,2024-12-04 16:36:06,R_1SoMQm2wGjHKjAJ,,,,,40.7359,-73.9904,anonymous,EN,20,Female,SONA for course credit,,English,,Detractor,4,4-5,8-13 and a little at 17,"Yes, but not so well",guitar/piano,tried to visualize piano but didn't know it well enough so it was mostly about the patterns.,Yes,"Sometimes a particular sour note, a timing difference, or a key change.",Yes,Oh maybe 4. I'm not sure though.,Airpods pro,Agree,Agree,Agree,ATONB0007,46066
2024-12-04 16:43:43,2024-12-04 16:45:59,IP Address,216.165.95.161,100,135,True,2024-12-04 16:46:00,R_5zWL4MCZnn9gcAV,,,,,40.7359,-73.9904,anonymous,EN,20,Female,SONA for course credit,,Other (please specify below):,Chinese,Detractor,3,0,,No,,memory?,No,,No,,in-ear,Agree,Agree,Agree,ATONB0009,48222
2024-12-04 17:21:55,2024-12-04 17:22:46,IP Address,216.165.95.185,100,51,True,2024-12-04 17:22:47,R_5IMBAJEzSyRkFI8,,,,,40.7359,-73.9904,anonymous,EN,19,Female,SONA for course credit,,English,,Detractor,3,0,,No,,n/a,No,,No,,headphones,Agree,Neither Agree nor Disagree,Agree,ATONB0011,47874
2024-12-04 17:50:00,2024-12-04 17:51:16,IP Address,216.165.95.170,100,75,True,2024-12-04 17:51:16,R_6Bj4gD0MbEZzvrj,,,,,40.7359,-73.9904,anonymous,EN,20,Male,SONA for course credit,,English,,Passive,7,2-3,5-10,"Yes, but not so well",Saxphone,No,No,,No,,Yes,Agree,Neither Agree nor Disagree,Agree,ATONB0015,47984
2024-12-04 18:05:49,2024-12-04 18:07:12,IP Address,216.165.95.184,100,82,True,2024-12-04 18:07:12,R_3pK130BejM1kRYU,,,,,40.7359,-73.9904,anonymous,EN,19,Female,SONA for course credit,,English,,Passive,7,9+,7-18,"Yes, I do alright",cello,,No,,No,,headphones,Agree,Agree,Agree,ATONB0018,47571
2024-12-04 18:44:15,2024-12-04 18:45:32,IP Address,216.165.95.166,100,76,True,2024-12-04 18:45:32,R_3ivTLOfZeotDJPu,,,,,40.7359,-73.9904,anonymous,EN,22,Male,SONA for course credit,,English,,Passive,7,2-3,8-10,"Yes, but not so well","piano, violen",just following the notes,No,,No,,headphones,Agree,Neither Agree nor Disagree,Agree,ATONB0022,47770
2024-12-04 18:49:04,2024-12-04 18:51:03,IP Address,216.165.95.129,100,118,True,2024-12-04 18:51:03,R_1YJlzXPEz5sjHdl,,,,,40.7359,-73.9904,anonymous,EN,20,Female,SONA for course credit,,English,,Passive,7,2-3,12-14 and 8-10 and 16-17,"Yes, but not so well","Violin, Piano",not sure,No,,No,,Out loud,Strongly Agree,Strongly Disagree,Agree,ATONB0020,45803
2024-12-04 18:48:55,2024-12-04 18:52:06,IP Address,69.64.198.20,100,191,True,2024-12-04 18:52:07,R_7r1jb1Tx0N66dKu,,,,,40.5802,-74.3594,anonymous,EN,22,Male,SONA for course credit,,Other (please specify below):,Chinese,Detractor,2,4-5,8-14,"Yes, but not so well","piano, clarinet ","based on the tempo and the height of the sound ",Yes,"The tone/pitch ",No,,"Headphone, in ear ",Agree,Strongly Agree,Agree,ATONB0023,48007
2024-12-04 19:06:59,2024-12-04 19:08:42,IP Address,47.230.205.155,100,102,True,2024-12-04 19:08:42,R_7eGEWu2Thfe47QZ,,,,,40.7428,-73.9712,anonymous,EN,21,Male,SONA for course credit,,English,,Detractor,6,4-5,11-16,No,,listen for errant pitches,Yes,pitches that repeated themselves,No,,over the ear headphones,Strongly Agree,Agree,Agree,ATONB0017,47851
2024-12-04 19:17:50,2024-12-04 19:19:15,IP Address,216.165.95.131,100,85,True,2024-12-04 19:19:15,R_7O1z7cegk7drtqt,,,,,40.7359,-73.9904,anonymous,EN,19,Female,SONA for course credit,,English,,Passive,7,2-3,senior year,"Yes, but not so well",percussion,NA,No,,No,,HEADPHONES,Strongly Agree,Strongly Agree,Agree,ATONB0010,48221
2024-12-04 19:33:27,2024-12-04 19:38:14,IP Address,47.230.189.148,100,287,True,2024-12-04 19:38:15,R_1Es60aIn2Q1N0Qj,,,,,40.7365,-74.0055,anonymous,EN,20,Female,SONA for course credit,,English,,Detractor,5,0,,No,,"trying not to focus on the test melody but rather listen freely and see which option felt off. ",Yes,"the pitches of certain notes were off ",No,,"over-the-ear JBL headphones ",Strongly Agree,Strongly Agree,Agree,ATONB0028,48032
2024-12-04 20:24:11,2024-12-04 20:25:48,IP Address,216.165.95.169,100,97,True,2024-12-04 20:25:49,R_520BpJbcSSpTdUR,,,,,40.7359,-73.9904,anonymous,EN,19,Male,SONA for course credit,,Other (please specify below):,Chinese,Promoter,10,9+,4-19,"Yes, I am a professional","Piano ",can not explain,No,,No,,headphones,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,ATONB0026,48015
2024-12-04 20:26:33,2024-12-04 20:28:17,IP Address,216.165.95.145,100,103,True,2024-12-04 20:28:17,R_11AcsMSCghZvQm9,,,,,40.7359,-73.9904,anonymous,EN,20,Female,SONA for course credit,,Other (please specify below):,Chinese,Detractor,2,2-3,6-16,"Yes, I do alright",piano flute,2,No,,No,,in-ear,Strongly Agree,Agree,Agree,ATONB0035,47511
2024-12-04 21:25:01,2024-12-04 21:26:58,IP Address,98.109.98.207,100,117,True,2024-12-04 21:26:59,R_70LSF2WqlSQ2cb7,,,,,40.798,-74.2416,anonymous,EN,19,Female,SONA for course credit,,Spanish,,Detractor,0,0,,"Yes, but not so well",piano,"the tone of the notes ",Yes,"if it was in high or low keys ",No,,"in ear headphones (AirPods) with noise canceling ",Strongly Agree,Strongly Disagree,Agree,ATONB0036,47602
2024-12-04 21:31:36,2024-12-04 21:32:39,IP Address,108.14.74.174,100,62,True,2024-12-04 21:32:39,R_6QKJ1WYGv8esEcO,,,,,40.6665,-73.5455,anonymous,EN,19,Male,SONA for course credit,,English,,Detractor,1,0,,No,,nothing really,No,,No,,in ear,Strongly Agree,Neither Agree nor Disagree,Agree,ATONB0041,48042
2024-12-04 21:48:04,2024-12-04 21:50:44,IP Address,207.38.152.189,100,160,True,2024-12-04 21:50:45,R_1g73fRuXawH5kzU,,,,,40.7263,-73.9818,anonymous,EN,20,Female,SONA for course credit,,Other (please specify below):,Mandarin,Detractor,3,1,3-5 years old,"Yes, but not so well",Piano,Tone or any notes that trails off,Yes,I based similarity on similar tones and difference on different notes,No,,in-ear (airpods),Strongly Agree,Disagree,Agree,ATONB0042,48017
2024-12-04 22:08:04,2024-12-04 22:09:06,IP Address,104.162.10.130,100,61,True,2024-12-04 22:09:07,R_6kFaPvym83rOMDR,,,,,40.7279,-73.9966,anonymous,EN,19,Male,SONA for course credit,,English,,Detractor,5,2-3,10,No,piano,listening,No,,No,,monitors,Agree,Disagree,Agree,ATONB0016,48172
2024-12-04 23:06:06,2024-12-04 23:08:50,IP Address,216.165.95.190,100,163,True,2024-12-04 23:08:50,R_1E55b7pzRNDMBqx,,,,,40.7359,-73.9904,anonymous,EN,18,Female,SONA for course credit,,Other (please specify below):,Mandarin,Detractor,4,1,11,"Yes, but not so well",Guitar,,No,,No,,Earphones in my left ear. Airpod pros,Agree,Agree,Agree,ATONB0003,47912
2024-12-04 23:35:10,2024-12-04 23:37:45,IP Address,47.230.90.114,100,155,True,2024-12-04 23:37:46,R_2wAmWeWNZJIwVjZ,,,,,40.7609,-73.9115,anonymous,EN,19,Female,SONA for course credit,,Other (please specify below):,Mandarin,Detractor,4,4-5,9-14,"Yes, I do alright",piano,,Yes,When there is a big jump,No,,in-ear headphones,Strongly Agree,Agree,Agree,ATONB0039,47918
2024-12-05 02:00:40,2024-12-05 02:03:07,IP Address,216.165.95.130,100,147,True,2024-12-05 02:03:08,R_3Xe5LhtR1ZFVaz7,,,,,40.7359,-73.9904,anonymous,EN,20,Male,SONA for course credit,,English,,Passive,8,9+,5-18,"Yes, I am near professional","Piano ","Specific different notes, or different patterns",Yes,I rated ones with shifted intervals as more different than ones with one particular wrong note,No,,"Headphones, in ear (wired apple earbuds)",Agree,Disagree,Agree,ATONB0037,48179
