StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q16,Q17,Q14,Q18,Q3_NPS_GROUP,Q3,Q4,Q13,Q5,Q6,Q9,Q19,Q15,Q10,Q20,Q11,Q8_1,Q8_2,Q16,sub,sona
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How old are you?,What sex were you assigned at birth?,How did you arrive at this experiment?,"If you chose ""Other"", please specify below:",What is your first language?,"If you chose ""Other"", please specify below:",Would you consider yourself a musical person? - Group,Would you consider yourself a musical person?,How many years of formal musical training do you have?,"If you have had musical training, how old were you during this period (i.e., age-range)?",Do you play any instruments (with or without formal training),Which instruments do you play (if any)?,What general strategy (if any) did you use to judge the similarity across the melodies?,"Did you notice any particular changes in the music? In other words, did you base your discriminations on specific features of the melodies?","If you answered ""yes"" to the question above, please elaborate below",Did this strategy change throughout the task?,"If you answered ""yes"" to the question above, please elaborate below one which (approximate) block you changed your strategy, and how.","Did you listen to the task using headphones or speakers? Please indicate style (in-ear, over-the-ear, studio monitors, etc.), make, and model to the best of your ability",Please indicate your choice below - I understood the instructions of the task,Please indicate your choice below - I found the task difficult,"I feel that I have been adequately debriefed about the nature of the study. The investigator hasexplained the purposes of the research to me, and I feel that any questions I have asked weresatisfactorily answered.",sub,sona
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID2_NPS_GROUP""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID16""}","{""ImportId"":""sub""}","{""ImportId"":""sona""}"
2023-10-02 18:14:54,2023-10-02 18:16:21,IP Address,207.237.153.90,100,87,True,2023-10-02 18:16:22,R_231vnpRakCKBVyI,,,,,40.7429,-73.9392,anonymous,EN,19,Female,SONA for course credit,,Other (please specify below):,chinese,Detractor,3,0,,No,,,No,,No,,in ear,Agree,Disagree,Agree,ATON0005,45841
2023-10-02 18:35:02,2023-10-02 18:37:29,IP Address,108.14.83.161,100,146,True,2023-10-02 18:37:29,R_38JmAyGKDz2K7yp,,,,,40.7123,-74.0068,anonymous,EN,20,Male,SONA for course credit,,English,,Detractor,5,0,,No,,"hearing and paying close attention the melodies to see if there is any change ",No,,No,,speakers on monitor (laptop),Agree,Strongly Agree,Agree,ATON0007,46199
2023-10-02 18:45:24,2023-10-02 18:47:32,IP Address,68.175.81.142,100,128,True,2023-10-02 18:47:33,R_2xFPcPc0p7BX2g0,,,,,40.7503,-74.0014,anonymous,EN,19,Female,SONA for course credit,,English,,Detractor,1,1,7-8,No,,closed my eyes to notice any notes that stood out,No,,No,,headphones,Agree,Strongly Agree,Agree,ATON0006,46118
2023-10-02 20:34:39,2023-10-02 20:37:15,IP Address,96.238.110.176,100,156,True,2023-10-02 20:37:16,R_1FR0occeIidF4MP,,,,,40.7429,-73.9392,anonymous,EN,19,Female,SONA for course credit,,Other (please specify below):,Chinese,Detractor,0,2-3,6-14,"Yes, but not so well",piano,different time,Yes,different time,No,,in-ear,Neither Agree nor Disagree,Strongly Agree,Agree,ATON0010,45766
2023-10-02 20:46:13,2023-10-02 20:53:36,IP Address,72.43.174.146,100,442,True,2023-10-02 20:53:36,R_3PRmK6SdXxdSpVZ,,,,,40.7359,-73.9904,anonymous,EN,21,Male,SONA for course credit,,English,,Detractor,1,0,,No,,I tried following the pitch changes in the melodies.,Yes,"For the lower pitch melodies, I could hear syllables (like a voice repeating a-a-a e-e-e). For the higher pitch melodies, I picked out the number of times the highest pitch was struck.",No,,TUINYO TP19 Over-the-Ear Bluetooth Headphones,Strongly Agree,Disagree,Agree,ATON0012,45589
2023-10-02 21:51:04,2023-10-02 21:52:39,IP Address,216.165.95.145,100,95,True,2023-10-02 21:52:39,R_ZdTntMUwYiRtvZn,,,,,40.7359,-73.9904,anonymous,EN,20,Male,SONA for course credit,,English,,Passive,7,2-3,5-6 and 17-18,"Yes, but not so well",Piano,"Listening for outliers, musical instinct ",No,,No,,Headphones in-ear,Strongly Agree,Agree,Agree,ATON0016,46090
2023-10-02 22:03:16,2023-10-02 22:05:18,IP Address,68.160.225.185,100,122,True,2023-10-02 22:05:19,R_3M5L4a5BpNnhkYl,,,,,40.6994,-73.8883,anonymous,EN,18,Female,SONA for course credit,,English,,Detractor,3,0,,No,,"Pitch, tone, how they ended",Yes,"How high or low they went ",No,,in-ear headphones,Strongly Agree,Neither Agree nor Disagree,Agree,ATON0015,45617
2023-10-02 23:35:31,2023-10-02 23:39:57,IP Address,216.165.95.185,100,266,True,2023-10-02 23:39:58,R_3Jr4tRT5sXq1Ju7,,,,,40.7359,-73.9904,anonymous,EN,18,Female,SONA for course credit,,English,,Detractor,4,4-5,10-14,"Yes, I do alright","Alto Saxophone, Piano, Recorder ","I chose the melodies that sounded most similar ",Yes,"Some of the sounds of the melodies were slightly higher or lower than the other ",Yes,at the third block i had to pay attention to the beginning and end of the melodies because those had more variations in pitch and tempo,"I used apple airpods to listen to the melodies ",Strongly Agree,Neither Agree nor Disagree,Agree,ATON0018,45628
2023-10-02 23:40:13,2023-10-02 23:43:17,IP Address,216.165.95.133,100,183,True,2023-10-02 23:43:18,R_2zNEIiIuw0IPZ1b,,,,,40.7359,-73.9904,anonymous,EN,19,Female,SONA for course credit,,English,,Detractor,6,6-8,10-18,"Yes, I do alright",Piano and Flute,The one that sounded the most out of tune is the one that I went with,Yes,"Based on if the notes went up or down the scale ",No,,"Used over-the-ear headphones ",Agree,Neither Agree nor Disagree,Agree,ATON0017,45568
2023-10-03 00:31:02,2023-10-03 00:35:08,IP Address,216.165.95.140,100,246,True,2023-10-03 00:35:09,R_3pltL3jcCay6SDc,,,,,40.7359,-73.9904,anonymous,EN,19,Female,SONA for course credit,,English,,Detractor,3,0,,No,,Looked for any notes that stuck out and if those particular notes were present the same way in the the 2 option melodies,Yes,Certain notes would be in different orders/patterns,No,,"Yes, in-ear, samsung galaxy buds+ BTS edition",Strongly Agree,Agree,Agree,ATON0019,44267
2023-10-03 10:30:02,2023-10-03 10:38:05,IP Address,100.12.190.115,100,482,True,2023-10-03 10:38:05,R_2XmSHilHzi1bWVo,,,,,40.7465,-73.909,anonymous,EN,19,Female,SONA for course credit,,English,,Detractor,4,2-3,8-10,"Yes, I do alright","recorder, guitar, violin ","It's been many years since I've played the instrument, so I based it off of instincts and focusing on the notes in the middle. ",Yes,"For some of them, I felt an echo and a note or two change, but I'm not really sure. I tend to focus on the middle portion, because I feel like the ending was similar for most of them. There are many parts of the experiment where I cannot differentiate the sound anymore so I took a break. ",Yes,"Second block, I went from focusing on entire one to middle portion. Third block, I started comparing options and 4th block, went back to trying to do both focusing on middle portion of notes and comparing options. ","I was listening to speakers, specifically Sony SRS-A45 (if that helps). it's right in front of me for my desktop and listening inside my room (a quiet space).",Strongly Agree,Agree,Agree,ATON0020,45592
2023-10-03 11:51:12,2023-10-03 11:54:27,IP Address,216.165.95.138,100,194,True,2023-10-03 11:54:27,R_1GNVueykk3lqGT9,,,,,40.7359,-73.9904,anonymous,EN,19,Female,SONA for course credit,,English,,Passive,7,6-8,10-18,"Yes, I do alright",Flute,I was looking for notes and upbeats,No,,No,,"I used my airpods, 2nd generation",Strongly Agree,Neither Agree nor Disagree,Agree,ATON0022,45546
2023-10-03 12:28:20,2023-10-03 12:30:49,IP Address,98.116.201.26,100,149,True,2023-10-03 12:30:49,R_1NsOKOSnbLKBFyP,,,,,40.7428,-73.9712,anonymous,EN,21,Male,SONA for course credit,,Other (please specify below):,chinese,Detractor,1,0,,No,no,by listening,No,,No,,,Agree,Agree,Agree,ATON0021,46072
2023-10-03 14:39:33,2023-10-03 14:43:57,IP Address,216.165.95.160,100,263,True,2023-10-03 14:43:57,R_26b6QmbM9xLO0hO,,,,,40.7359,-73.9904,anonymous,EN,21,Female,SONA for course credit,,Other (please specify below):,Korean,Detractor,5,2-3,5-8,"Yes, but not so well",Piano,"I tried to focus on the keys and see if there is any off-note. ",No,,No,,"yes, earphones (Airpods)",Strongly Agree,Disagree,Agree,ATON0008,46238
2023-10-03 16:31:21,2023-10-03 16:33:48,IP Address,216.165.95.183,100,146,True,2023-10-03 16:33:49,R_3EEZFUZkrnnd1l0,,,,,40.7359,-73.9904,anonymous,EN,21,Male,SONA for course credit,,Other (please specify below):,Chinese,Detractor,3,4-5,6-11,"Yes, but not so well","Piano, Guitar, etc",Not really a strategy because there are different ways to make a difference.,No,,No,,Headphone,Agree,Neither Agree nor Disagree,Agree,ATON0024,46025
2023-10-03 23:27:26,2023-10-03 23:29:39,IP Address,207.96.92.183,100,132,True,2023-10-03 23:29:39,R_3QFNeD4aEIy0FF1,,,,,40.7123,-74.0068,anonymous,EN,18,Female,SONA for course credit,,Other (please specify below):,Chinese,Detractor,5,9+,5-14,"Yes, but not so well",piano,,No,,No,,"in-ear, AirPods Pro",Strongly Agree,Neither Agree nor Disagree,Agree,ATON0026,46237
2023-10-04 18:12:54,2023-10-04 18:13:30,IP Address,216.165.95.155,100,36,True,2023-10-04 18:13:31,R_3JItV89SEwyhPb4,,,,,40.7359,-73.9904,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Agree,ATON0027,45621
2023-10-05 21:48:35,2023-10-05 21:57:45,IP Address,158.222.214.245,100,550,True,2023-10-05 21:57:46,R_21iadM29PYTnCU3,,,,,40.7123,-74.0068,anonymous,EN,20,Female,SONA for course credit,,Spanish,,Detractor,2,0,,No,,I primarily listened for any differences; particularly in any different high or low notes.,Yes,I felt like the different one usual had one or two different notes like any random high or low notes in the melody that were different to the original one.,No,,In-ear headphones (airpods),Strongly Agree,Disagree,Agree,ATON0029,43834
2023-10-06 20:49:21,2023-10-06 20:51:44,IP Address,216.165.95.158,100,142,True,2023-10-06 20:51:44,R_3snxHFLJeALJPNq,,,,,40.7359,-73.9904,anonymous,EN,20,Female,SONA for course credit,,English,,Detractor,1,0,,No,,,Yes,i judged the changes based on the loudness and pitch of the melodies,Yes,the pitch was different in some melodies,,Strongly Agree,Neither Agree nor Disagree,Agree,ATON0030,44339
2023-10-11 02:18:06,2023-10-11 02:19:23,IP Address,216.165.95.181,100,76,True,2023-10-11 02:19:24,R_z0aPDprEfdmfQ6R,,,,,40.7359,-73.9904,anonymous,EN,19,Female,SONA for course credit,,Other (please specify below):,chinese,Detractor,0,0,,No,,no,Yes,,Yes,,speaker,Agree,Disagree,Agree,ATON0040,45641
2023-10-11 10:07:12,2023-10-11 10:11:09,IP Address,216.165.95.138,100,237,True,2023-10-11 10:11:10,R_2VkVq3mhuUaFm97,,,,,40.7359,-73.9904,anonymous,EN,18,Female,SONA for course credit,,English,,Passive,7,2-3,13-17,"Yes, I do alright","Clarinet, Trumpet , Flute, Percussion ",I tried to also pay attention to the pitches of each key also,No,,No,,"I used headphones ",Agree,Strongly Agree,Agree,ATON0042,46028
