set,auc,entropy
0 1 2 3 4 5 6,3.801,2.314
0 1 2 3 4 5 7,2.408,2.599
0 1 2 3 4 5 8,2.187,2.675
0 1 2 3 4 6 7,2.185,2.675
0 1 2 3 4 6 8,2.18,2.678
0 1 2 3 4 6 9,2.163,2.685
0 1 2 3 4 7 8,2.197,2.669
0 1 2 3 4 7 9,1.943,2.759
0 1 2 3 5 6 7,2.203,2.665
0 1 2 3 5 6 8,1.943,2.759
0 1 2 3 5 6 9,2.175,2.679
0 1 2 3 5 7 8,2.203,2.665
0 1 2 3 5 7 9,2.18,2.678
0 1 2 3 6 7 8,3.151,2.441
0 1 2 3 6 7 9,2.78,2.576
0 1 2 3 6 8 9,2.78,2.576
0 1 2 4 5 6 7,2.203,2.665
0 1 2 4 5 6 8,2.18,2.678
0 1 2 4 5 6 9,2.213,2.663
0 1 2 4 5 7 8,1.937,2.762
0 1 2 4 5 7 9,2.187,2.675
0 1 2 4 5 8 9,3.304,2.453
0 1 2 4 6 7 8,2.802,2.567
0 1 2 4 6 7 9,2.185,2.675
0 1 2 4 6 8 9,2.18,2.678
0 1 2 4 6 8 10,4.237,2.223
0 1 2 5 6 7 8,3.151,2.441
0 1 2 5 6 7 9,2.197,2.669
0 1 2 5 6 8 9,2.264,2.637
0 1 3 4 5 6 7,2.185,2.675
0 1 3 4 5 6 8,1.97,2.746
0 1 3 4 5 6 9,2.175,2.679
0 1 3 4 5 7 8,2.213,2.663
0 1 3 4 5 7 9,2.18,2.678
0 1 3 4 5 8 9,3.304,2.453
0 1 3 4 6 7 8,1.937,2.762
0 1 3 4 6 7 9,4.375,2.224
0 1 3 4 6 8 9,2.175,2.679
0 1 3 4 6 8 10,2.264,2.637
0 1 3 5 6 7 8,2.203,2.665
0 1 3 5 6 7 9,2.757,2.589
0 1 3 5 6 8 9,2.175,2.679
0 1 3 5 6 8 10,3.801,2.314
0 1 3 5 7 8 9,2.18,2.678
0 1 4 5 6 7 8,2.197,2.669
0 1 4 5 6 7 9,1.937,2.762
0 2 3 4 5 6 7,2.408,2.599
0 2 3 4 5 6 8,2.264,2.637
0 2 3 4 5 6 9,2.163,2.685
0 2 3 4 5 7 8,1.97,2.746
0 2 3 4 5 7 9,2.408,2.599
0 2 3 4 5 8 9,1.937,2.762
0 2 3 4 6 7 8,2.18,2.678
0 2 3 4 6 7 9,2.163,2.685
0 2 3 4 6 8 9,2.757,2.589
0 2 3 4 7 8 9,2.197,2.669
0 2 3 5 6 7 8,1.943,2.759
0 2 3 5 6 7 9,2.163,2.685
0 2 3 5 6 8 9,4.375,2.224
0 2 3 5 7 8 9,2.185,2.675
0 2 4 5 6 7 8,2.18,2.678
0 2 4 5 6 7 9,2.408,2.599
0 2 4 5 6 8 9,2.18,2.678
0 2 4 5 7 8 9,2.187,2.675
0 2 4 6 7 8 9,2.18,2.678
0 3 4 5 6 7 8,2.187,2.675
0 1 2 3 4,2.34,2.388
0 1 2 3 5,1.3,2.71
0 1 2 3 6,1.079,2.831
0 1 2 3 7,1.079,2.831
0 1 2 4 5,1.125,2.799
0 1 2 4 6,1.079,2.831
0 1 2 4 7,0.904,2.92
0 1 2 4 8,1.05,2.845
0 1 2 5 6,1.079,2.831
0 1 2 5 7,1.079,2.831
0 1 2 5 8,0.904,2.92
0 1 2 6 7,1.864,2.525
0 1 2 6 8,1.602,2.662
0 1 3 4 5,1.125,2.799
0 1 3 4 6,1.079,2.831
0 1 3 4 7,1.079,2.831
0 1 3 4 8,1.096,2.812
0 1 3 5 6,0.904,2.92
0 1 3 5 7,1.079,2.831
0 1 3 5 8,1.125,2.799
0 1 3 6 7,1.509,2.727
0 1 3 6 8,1.079,2.831
0 1 3 6 9,2.159,2.501
0 1 4 5 6,1.079,2.831
0 1 4 5 7,0.904,2.92
0 1 4 5 8,2.223,2.45
0 1 4 6 7,1.509,2.727
0 1 4 6 8,1.05,2.845
0 1 4 6 9,1.079,2.831
0 1 4 7 8,1.143,2.78
0 1 5 6 7,1.864,2.525
0 1 5 6 8,1.079,2.831
0 2 3 4 5,1.3,2.71
0 2 3 4 6,1.172,2.767
0 2 3 4 7,0.951,2.888
0 2 3 4 8,1.05,2.845
0 2 3 5 6,1.079,2.831
0 2 3 5 7,1.3,2.71
0 2 3 5 8,1.079,2.831
0 2 3 6 7,0.904,2.92
0 2 3 6 8,1.509,2.727
0 2 3 6 9,2.159,2.501
0 2 3 7 8,1.079,2.831
0 2 4 5 6,1.079,2.831
0 2 4 5 7,1.3,2.71
0 2 4 5 8,1.05,2.845
0 2 4 6 7,1.079,2.831
0 2 4 6 8,3.915,1.893
0 2 4 6 9,1.172,2.767
0 2 4 7 8,1.05,2.845
0 2 4 7 9,2.34,2.388
0 2 5 6 7,1.079,2.831
0 2 5 6 8,1.509,2.727
0 2 5 6 9,1.079,2.831
0 2 5 7 8,1.079,2.831
0 3 4 5 6,1.079,2.831
0 3 4 5 7,0.951,2.888
0 3 4 5 8,1.096,2.812
0 3 4 6 7,1.079,2.831
0 3 4 6 8,1.05,2.845
0 3 4 7 8,2.223,2.45
0 3 5 6 7,0.904,2.92
0 3 5 6 8,1.079,2.831
0 3 5 7 8,1.125,2.799
0 3 6 7 8,0.904,2.92
0 4 5 6 7,1.079,2.831
