,Set,Bias towards note deviation,IC1,IC2,IC3,IC4,IC5,IC6,Evenness
7,0 1 2 4 8,-0.0080,2,2,1,3,1,1,0.9057
2,0 1 2 3 6,0.0327,3,2,2,1,1,1,0.8731
3,0 1 2 3 7,0.0552,3,2,1,1,2,1,0.8821
59,0 3 4 6 8,0.0627,1,2,2,3,1,1,0.9333
65,0 4 5 6 7,0.0675,3,2,1,1,2,1,0.8821
11,0 1 2 6 7,0.0836,3,1,0,1,3,2,0.9150
61,0 3 5 6 7,0.0839,2,2,2,1,2,1,0.9028
5,0 1 2 4 6,0.0845,2,3,1,2,1,1,0.8894
52,0 2 5 6 8,0.0870,1,2,2,2,1,2,0.9423
43,0 2 4 5 6,0.0871,2,3,1,2,1,1,0.8894
9,0 1 2 5 7,0.0893,2,2,1,1,3,1,0.9150
1,0 1 2 3 5,0.0962,3,3,2,1,1,0,0.8566
51,0 2 5 6 7,0.0965,2,2,1,1,3,1,0.9150
25,0 1 4 5 8,0.0984,2,0,2,4,2,0,0.9376
12,0 1 2 6 8,0.0995,2,2,0,2,2,2,0.9255
45,0 2 4 5 8,0.1059,1,2,2,3,1,1,0.9333
32,0 2 3 4 5,0.1110,3,3,2,1,1,0,0.8566
18,0 1 3 5 7,0.1154,1,3,1,2,2,1,0.9255
36,0 2 3 5 6,0.1167,2,2,3,1,1,1,0.8920
17,0 1 3 5 6,0.1211,2,2,2,1,2,1,0.9028
41,0 2 3 6 9,0.1232,1,1,4,1,1,2,0.9473
30,0 1 5 6 7,0.1255,3,1,0,1,3,2,0.9150
28,0 1 4 6 9,0.1270,1,1,3,2,2,1,0.9592
14,0 1 3 4 6,0.1317,2,2,3,1,1,1,0.8920
27,0 1 4 6 8,0.1320,1,2,1,3,2,1,0.9529
24,0 1 4 5 7,0.1327,2,1,2,2,2,1,0.9218
13,0 1 3 4 5,0.1338,3,2,2,2,1,0,0.8688
6,0 1 2 4 7,0.1363,2,2,2,1,2,1,0.9028
34,0 2 3 4 7,0.1372,2,2,2,2,2,0,0.8973
47,0 2 4 6 8,0.1385,0,4,0,4,0,2,0.9529
29,0 1 4 7 8,0.1390,2,0,2,3,2,1,0.9473
22,0 1 3 6 9,0.1392,1,1,4,1,1,2,0.9473
10,0 1 2 5 8,0.1402,2,1,2,2,2,1,0.9218
33,0 2 3 4 6,0.1411,2,3,2,2,0,1,0.8798
40,0 2 3 6 8,0.1412,1,2,2,2,1,2,0.9423
4,0 1 2 4 5,0.1431,3,2,2,2,1,0,0.8688
46,0 2 4 6 7,0.1457,1,3,1,2,2,1,0.9255
23,0 1 4 5 6,0.1469,3,1,1,2,2,1,0.8973
35,0 2 3 4 8,0.1479,2,2,1,3,1,1,0.9057
57,0 3 4 5 8,0.1516,2,1,2,3,2,0,0.9150
55,0 3 4 5 6,0.1569,3,2,2,1,1,1,0.8731
49,0 2 4 7 8,0.1599,1,2,1,3,2,1,0.9529
53,0 2 5 6 9,0.1635,1,1,3,2,2,1,0.9592
64,0 3 6 7 8,0.1691,2,1,2,2,2,1,0.9218
58,0 3 4 6 7,0.1760,2,1,3,2,1,1,0.9087
21,0 1 3 6 8,0.1829,1,2,2,1,3,1,0.9473
48,0 2 4 6 9,0.1838,0,3,2,2,2,1,0.9667
60,0 3 4 7 8,0.1865,2,0,2,4,2,0,0.9376
0,0 1 2 3 4,0.1904,4,3,2,1,0,0,0.8350
38,0 2 3 5 8,0.1922,1,2,3,1,2,1,0.9293
20,0 1 3 6 7,0.1927,2,1,2,1,2,2,0.9293
54,0 2 5 7 8,0.2011,1,2,2,1,3,1,0.9473
15,0 1 3 4 7,0.2127,2,1,3,2,1,1,0.9087
56,0 3 4 5 7,0.2190,2,2,2,2,2,0,0.8973
31,0 1 5 6 8,0.2197,2,1,1,2,3,1,0.9376
26,0 1 4 6 7,0.2290,2,1,2,1,2,2,0.9293
63,0 3 5 7 8,0.2313,1,2,2,2,3,0,0.9376
8,0 1 2 5 6,0.2328,3,1,1,2,2,1,0.8973
39,0 2 3 6 7,0.2336,2,1,2,2,2,1,0.9218
42,0 2 3 7 8,0.2405,2,1,1,2,3,1,0.9376
62,0 3 5 6 8,0.2457,1,2,3,1,2,1,0.9293
37,0 2 3 5 7,0.2568,1,3,2,1,3,0,0.9150
16,0 1 3 4 8,0.2600,2,1,2,3,2,0,0.9150
44,0 2 4 5 7,0.2874,1,3,2,1,3,0,0.9150
19,0 1 3 5 8,0.3180,1,2,2,2,3,0,0.9376
50,0 2 4 7 9,0.3205,0,3,2,1,4,0,0.9764
